,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
25,37.32982987,37.32982987,36.18122483,36.18122483,1.135774311,10.53273765,"35.1 - 39.56",86,,,,,,,,,,,,,,,,,26.49941784,26.49941784,24.81204509,24.81204509,1.21801734,9.114807157,"24.11 - 28.89",56,,,,,,,,,16.42102089,16.42102089,15.63432609,15.63432609,0.523917985,3.885479764,"15.39 - 17.45",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30701704,28.41364932,16.37051102,26.12745455,0.878019886,12.32359636,"16.59 - 20.03",197
40,26.40444161,26.40444161,26.52925771,26.52925771,1.345966379,10.07229009,"23.77 - 29.04",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.40444161,26.40444161,26.52925771,26.52925771,1.345966379,10.07229009,"23.77 - 29.04",56
50,,,,,,,,,22.08669432,22.08669432,23.07694521,23.07694521,0.762014771,5.224110068,"20.59 - 23.58",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.41906631,21.41906631,21.75313132,21.75313132,0.834506916,6.355415325,"19.78 - 23.05",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79715911,13.79715911,13.13711111,13.13711111,0.856731998,5.350289611,"12.12 - 15.48",39,19.57578955,19.57270614,20.14171943,20.70732986,0.559284926,6.711419117,"18.48 - 20.67",144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69774725,25.69774725,25.97006027,25.97006027,1.407332763,8.900753914,"22.94 - 28.46",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69774725,25.69774725,25.97006027,25.97006027,1.407332763,8.900753914,"22.94 - 28.46",40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48389265,16.48389265,13.83512654,13.83512654,1.07233161,6.94950311,"14.38 - 18.59",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50164216,10.50164216,9.431134615,9.431134615,0.688394512,5.011587693,"9.15 - 11.85",53,12.08126828,12.08126828,12.24962826,12.24962826,0.543689506,3.438594356,"11.02 - 13.15",40,12.73206689,12.83082413,12.59859705,12.58554167,0.505239244,5.870349534,"11.74 - 13.72",135
80,26.82200348,26.82200348,27.09083333,27.09083333,0.847381227,7.720010387,"25.16 - 28.48",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.82200348,26.82200348,27.09083333,27.09083333,0.847381227,7.720010387,"25.16 - 28.48",83
100,21.80359405,21.80359405,21.3213861,21.3213861,1.394300243,9.036098332,"19.07 - 24.54",42,,,,,,,,,,,,,,,,,,,,,,,,,26.80990561,26.80990561,25.17521212,25.17521212,1.351828485,10.02542836,"24.16 - 29.46",55,18.03016779,18.03016779,17.9743027,17.9743027,0.685907311,5.223714454,"16.69 - 19.37",58,,,,,,,,,24.95023517,24.95023517,25.70407463,25.70407463,1.224745912,7.842200236,"22.55 - 27.35",41,13.04665459,13.04665459,13.14493182,13.14493182,0.398721518,2.457884509,"12.27 - 13.83",38,,,,,,,,,10.39534241,10.39534241,9.997666667,9.997666667,0.759854484,4.865442662,"8.91 - 11.88",41,12.62411176,12.62411176,12.59847723,12.59847723,0.361423393,3.192004982,"11.92 - 13.33",78,22.46446161,18.03305316,21.32075282,15.73883908,0.46752468,8.783991242,"21.55 - 23.38",353
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1461669,18.1461669,16.89287328,16.89287328,0.625153997,4.240000699,"16.92 - 19.37",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1461669,18.1461669,16.89287328,16.89287328,0.625153997,4.240000699,"16.92 - 19.37",46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6734457,13.6734457,12.75764171,12.75764171,0.574584237,3.541975119,"12.55 - 14.8",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6734457,13.6734457,12.75764171,12.75764171,0.574584237,3.541975119,"12.55 - 14.8",38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2217793,24.2217793,22.44331185,22.44331185,1.394379291,12.7796973,"21.49 - 26.95",84,17.27937208,17.27937208,16.17604018,16.17604018,0.675676618,5.489222794,"15.96 - 18.6",66,,,,,,,,,25.26149706,25.26149706,25.3635,25.3635,1.045007826,7.462848596,"23.21 - 27.31",51,12.88619776,12.88619776,12.40211461,12.40211461,0.34325504,2.614152504,"12.21 - 13.56",58,,,,,,,,,,,,,,,,,,,,,,,,,20.69106559,20.11893374,17.80771361,17.20941667,0.611873474,9.847171637,"19.49 - 21.89",259
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2643391,11.2643391,10.23619188,10.23619188,0.742561312,4.812347318,"9.81 - 12.72",42,,,,,,,,,,,,,,,,,11.2643391,11.2643391,10.23619188,10.23619188,0.742561312,4.812347318,"9.81 - 12.72",42
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98372536,16.98372536,14.811575,14.811575,0.76197359,5.902222052,"15.49 - 18.48",60,18.19015923,18.19015923,16.70183562,16.70183562,1.089076151,6.801278383,"16.06 - 20.32",39,,,,,,,,,11.70526293,11.70526293,11.55130769,11.55130769,0.263456973,1.645288269,"11.19 - 12.22",39,,,,,,,,,,,,,,,,,,,,,,,,,16.3097331,15.83293468,14.13412243,13.63087104,0.507878022,5.966215861,"15.31 - 17.31",138
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.87579749,25.87579749,24.80046154,24.80046154,0.865731677,8.258553845,"24.18 - 27.57",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.87579749,25.87579749,24.80046154,24.80046154,0.865731677,8.258553845,"24.18 - 27.57",91
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21322385,25.21322385,25.63663793,25.63663793,1.129695422,7.407908281,"23 - 27.43",43,,,,,,,,,10.89336276,10.89336276,10.29135849,10.29135849,0.143435201,1.70319864,"10.61 - 11.17",141,6.424956267,6.424956267,4.70775,4.70775,0.459755512,3.819016106,"5.52 - 7.33",69,,,,,,,,,10.50778965,12.10851683,9.515661931,10.29102381,0.460572424,7.325852866,"9.61 - 11.41",253
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roundtrip latency (ms)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offpeak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
