,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
25,1.347053172750518,1.347053172750518,0.6423761467889914,0.6423761467889908,0,1.4992844837619361,"1.03 - 1.66",87,,,,,,,,,,,,,,,,,0.8868317370492789,0.8868317370492789,0.6762363797549968,0.6762363797549968,0,0.7478769708189799,"0.69 - 1.08",56,,,,,,,,,1.0377890043327642,1.037789004332764,0.8896503496503497,0.8896503496503496,0,0.6982760642284607,"0.86 - 1.22",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.046067253887654,1.130050882755111,0.8667813849439044,0.70644751866491,0,1.1414479643553768,"0.89 - 1.2",200
40,0.6660106635823835,0.6660106635823835,0.5109620253164557,0.5109620253164557,0,0.510851405584867,"0.53 - 0.8",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6660106635823835,0.6660106635823835,0.5109620253164557,0.5109620253164557,0,0.510851405584867,"0.53 - 0.8",55
50,,,,,,,,,0.45553155752649965,0.45553155752649965,0.3836839080459763,0.383683908045977,0,0.27461021553639775,"0.38 - 0.53",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40752806519131174,0.40752806519131174,0.3407558265428238,0.340755826542823,0,0.3165918962963205,"0.33 - 0.49",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7340600637059866,0.7340600637059866,0.511905704697987,0.5119057046979866,0,0.8880879153837441,"0.45 - 1.02",38,0.4880078411595889,0.5100761776620214,0.36826784696382603,0.383683908045977,0,0.537470038963106,"0.4 - 0.58",143
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598992852778948,0.5989928527789479,0.3976455337690625,0.3976455337690632,0,0.5781444476689716,"0.42 - 0.78",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598992852778948,0.5989928527789479,0.3976455337690625,0.3976455337690632,0,0.5781444476689716,"0.42 - 0.78",38
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5318263977847197,0.5318263977847197,0.4287521551724137,0.42875215517241383,0,0.364403310706495,"0.42 - 0.64",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7434410365902402,0.7434410365902401,0.6253333333333332,0.6253333333333333,0,0.4777751558933975,"0.61 - 0.87",53,0.9142663610152891,0.9142663610152892,0.8470929925970997,0.8470929925970998,0,0.5019484246339561,"0.76 - 1.07",40,0.8191947204735918,0.7311735736186699,0.7308395871477256,0.63184,0,0.4752463281173471,"0.74 - 0.9",133
80,0.870912365650257,0.8709123656502571,0.3172608695652174,0.3172608695652174,0,2.4000492349087432,"0.35 - 1.39",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870912365650257,0.8709123656502571,0.3172608695652174,0.3172608695652174,0,2.4000492349087432,"0.35 - 1.39",81
100,0.39232575119278035,0.39232575119278035,0.3009991359447003,0.3009991359447005,0,0.4205858362589206,"0.27 - 0.52",42,,,,,,,,,,,,,,,,,,,,,,,,,0.7210033169531223,0.7210033169531221,0.45906358381502893,0.45906358381502893,0,0.602134176024419,"0.56 - 0.88",55,0.4675776448192948,0.46757764481929476,0.35647226277372274,0.3564722627737227,0,0.308551700858012,"0.39 - 0.55",58,,,,,,,,,0.4263271978759297,0.4263271978759297,0.34734104046242753,0.34734104046242775,0,0.30974055594949623,"0.33 - 0.52",41,0.6712970174720173,0.6712970174720172,0.5343516746411483,0.5343516746411483,0,0.3860371638656278,"0.55 - 0.79",38,,,,,,,,,0.42685842218525744,0.42685842218525744,0.379360540950455,0.379360540950455,0,0.2091867594279518,"0.36 - 0.49",40,0.5068156164470812,0.5068156164470812,0.40072073683549864,0.4007207368354987,0,0.3257655426067227,"0.43 - 0.58",78,0.6214846150490207,0.519451773094233,0.43815466570322836,0.3928836904761905,0,0.39994146131631436,"0.58 - 0.66",352
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8593508150457817,0.8593508150457817,0.12801881181502262,0.12801881181502273,1,4.192853691554762,"-0.35 - 2.07",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8593508150457817,0.8593508150457817,0.12801881181502262,0.12801881181502273,1,4.192853691554762,"-0.35 - 2.07",46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3359978593900433,0.33599785939004323,0.2959659540424019,0.2959659540424019,0,0.1808672421100169,"0.28 - 0.39",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3359978593900433,0.33599785939004323,0.2959659540424019,0.2959659540424019,0,0.1808672421100169,"0.28 - 0.39",38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6542508211726276,0.6542508211726276,0.47024665189324555,0.470246651893246,0,0.5897535216955961,"0.53 - 0.78",82,0.2927117830147436,0.2927117830147436,0.2725183526011564,0.2725183526011561,0,0.18390039107032619,"0.25 - 0.34",66,,,,,,,,,0.42948167478893884,0.4294816747889389,0.39051851851851854,0.39051851851851854,0,0.29227456544479435,"0.35 - 0.51",51,0.5562492661147509,0.5562492661147509,0.41005521472392636,0.41005521472392636,0,0.44247350982890893,"0.44 - 0.67",57,,,,,,,,,,,,,,,,,,,,,,,,,0.494866238001175,0.49444265077306726,0.35345761943841353,0.37220513819985823,0,0.44641879781177,"0.44 - 0.55",256
