,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
10,9.7744264,0.9774426399999998,9.8667376,8.7944056,5.713559613026069,5.713559613026069,97,,,,,,,,,,,,,,,,,,,,,,11.14978368,1.114978368,11.379699200000001,11.45232,0.606562375805995,0.606562375805995,130,11.56217736,1.156217736,11.598883999999998,11.5891752,1.2443990252889796,1.2443990252889796,90,9.5680956,0.95680956,9.632630799999998,9.5273104,0.36348006050237497,0.36348006050237497,78,11.157724,1.1157724,11.442535999999999,10.1561728,1.635088190586888,1.635088190586888,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.918776,0.9918776,11.117058,9.5273104,2.8931690368633807,2.8931690368633807,436
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.786164799999998,1.0893082399999998,22.769452799999996,22.817503999999996,1.8712440043019667,1.8712440043019667,105,,,,,,,,,,,,,,,22.292991999999998,1.1146496,23.653536799999998,23.693535999999995,2.5353351533928725,2.5353351533928725,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1042292,1.1052114599999998,22.7839272,22.817503999999996,2.2213037257001016,2.2213037257001016,156
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.595588,0.9531862666666666,28.693617599999996,28.693617599999996,3.1597999209851033,3.1597999209851033,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.595588,0.9531862666666666,28.693617599999996,28.693617599999996,3.1597999209851033,3.1597999209851033,39
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.906552319999996,0.9973300662857141,35.48148,41.189036,3.5818240507266634,3.5818240507266634,149,,,,,,,,,,,,,,,,,,,,,,34.906552319999996,0.9973300662857141,35.48148,41.189036,3.5818240507266634,3.5818240507266634,149
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.13860864,1.2227721728,61.8566304,73.173512,3.0673549467517898,3.0673549467517898,38,61.13860864,1.2227721728,61.8566304,73.173512,3.0673549467517898,3.0673549467517898,38
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.01045919999999,0.9734727893333333,83.16668719999998,74.8325792,7.761728457537078,7.761728457537078,53,83.20594911999999,1.1094126549333332,85.87432199999999,93.91012319999999,7.370193271547572,7.370193271547572,40,74.52306288,0.9936408384000002,85.51595999999999,93.91012319999999,7.729740378812368,7.729740378812368,93
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.63374431999999,1.0563374432,105.887146,105.6420832,2.3513566759217115,2.3513566759217115,42,101.52636,1.0152636,114.9099816,115.411024,9.128810705545943,9.128810705545943,41,115.69010623999998,1.1569010623999998,117.7534608,118.58452799999999,10.698632173704574,10.698632173704574,77,106.05630815999999,1.0605630816,115.33904,105.6420832,9.75798451162921,9.75798451162921,160
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.82884031999998,1.0546307225599998,131.93455519999998,132.06388479999998,7.1825921905432555,7.1825921905432555,140,,,,,,,,,,,,,,,131.82884031999998,1.0546307225599998,131.93455519999998,132.06388479999998,7.1825921905432555,7.1825921905432555,140
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
