"Consistent speed Download 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
1.5,1.08972832,0.7264855466666666,1.1676976,1.8477679999999999,0.24133540636128287,0.24133540636128287,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08972832,0.7264855466666666,1.1676976,1.8477679999999999,0.24133540636128287,0.24133540636128287,65
3,2.3620820799999995,0.7873606933333333,2.7047772,4.176956,0.7838952319725614,0.7838952319725614,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3620820799999995,0.7873606933333333,2.7047772,4.176956,0.7838952319725614,0.7838952319725614,50
5,,,,,,,,3.4587991999999996,0.6917598399999999,3.9756784,4.76968,1.1366158244806448,1.1366158244806448,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4587991999999996,0.6917598399999999,3.9756784,4.76968,1.1366158244806448,1.1366158244806448,49
10,8.5288944,0.85288944,9.308960800000001,9.400043199999999,1.4785497328692068,1.4785497328692068,71,,,,,,,,,,,,,,,8.91179296,0.891179296,9.640702399999999,9.2748768,1.8483136873909236,1.8483136873909236,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6560656,0.86560656,9.418329199999999,9.2748768,1.6481450079753204,1.6481450079753204,126
12,10.36575648,0.8638130399999999,12.125740799999999,12.9326048,2.721011181420979,2.721011181420979,65,,,,,,,,10.2178452,0.8514871,11.319232,14.908364800000001,2.76315780236128,2.76315780236128,66,11.93265384,0.9943878199999999,12.332846399999998,14.020831999999999,1.5281885591280833,1.5281885591280833,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.892408,0.9077006666666666,12.053863999999999,12.9326048,2.465074857728121,2.465074857728121,181
15,,,,,,,,,,,,,,,,,,,,,,15.302186559999999,1.0201457706666666,16.01912,17.5402768,1.2014341468273,1.2014341468273,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.302186559999999,1.0201457706666666,16.01912,17.5402768,1.2014341468273,1.2014341468273,45
18,,,,,,,,,,,,,,,16.11602224,0.8953345688888888,17.4628152,23.610464,2.894828359332127,2.894828359332127,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11602224,0.8953345688888888,17.4628152,23.610464,2.894828359332127,2.894828359332127,44
20,18.143079039999996,0.9071539519999999,19.2378944,19.9521712,2.8898320548810728,2.8898320548810728,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.143079039999996,0.9071539519999999,19.2378944,19.9521712,2.8898320548810728,2.8898320548810728,57
