"Consistent speed Download 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22.713429599999998,0.9085371839999999,23.4939944,27.384003999999997,2.879357470988987,2.879357470988987,86,,,,,,,,,,,,,,,23.0328852,0.921315408,24.8147448,25.660503999999996,3.0147067250047974,3.0147067250047974,56,,,,,,,,28.468659199999998,1.1387463679999998,29.2779664,29.7413904,1.486282315114639,1.486282315114639,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35621728,0.9342486912,24.8808064,25.660503999999996,3.5279208868761325,3.5279208868761325,199
40,38.132690000000004,0.95331725,40.131102,45.866623999999995,5.337713022128093,5.337713022128093,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.132690000000004,0.95331725,40.131102,45.866623999999995,5.337713022128093,5.337713022128093,56
50,,,,,,,,38.2463312,0.7649266239999999,40.6433184,45.5276528,8.011856516740703,8.011856516740703,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.97624328,1.1595248656,59.078511999999996,59.5925704,5.138667867626754,5.138667867626754,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.75856511999999,1.1351713023999999,56.87839679999999,57.340208,1.7512000442810551,1.7512000442810551,39,46.70654088,0.9341308176,56.775304399999996,57.340208,9.297469095204312,9.297469095204312,144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.82190111999999,1.3136983519999998,79.4820928,78.915352,12.505383080155985,12.505383080155985,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.82190111999999,1.3136983519999998,79.4820928,78.915352,12.505383080155985,12.505383080155985,40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.36828272,1.1382437696,87.1534856,89.1833264,2.7944535541591695,2.7944535541591695,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.21539888,1.0428719850666666,81.05778719999999,82.8595488,3.3293253548658854,3.3293253548658854,53,80.14831199999999,1.0686441599999998,81.90229599999999,81.935976,2.3584089440215266,2.3584089440215266,40,80.83441632,1.0777922176,82.01364960000001,81.935976,4.14747188836424,4.14747188836424,135
80,74.92362528,0.936545316,78.072744,92.68552,7.069497655063724,7.069497655063724,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.92362528,0.936545316,78.072744,92.68552,7.069497655063724,7.069497655063724,83
100,92.98705136,0.9298705136000001,98.04020119999998,104.30596159999999,6.4719473183638705,6.4719473183638705,42,,,,,,,,,,,,,,,,,,,,,,112.78784544,1.1278784544,114.07382240000001,140.054896,7.211564605109885,7.211564605109885,55,115.99052415999999,1.1599052416,117.9962832,118.95170399999999,8.516814897939664,8.516814897939664,58,,,,,,,,128.52836,1.2852835999999999,130.72404,133.2455392,6.307225520793461,6.307225520793461,41,111.74075887999999,1.1174075888,114.33111199999999,115.357272,2.977733382942704,2.977733382942704,38,,,,,,,,97.5330992,0.975330992,98.79037759999999,99.25375199999999,2.897898327777867,2.897898327777867,41,98.59460448,0.9859460448,99.679156,99.959552,1.933420429501925,1.933420429501925,77,99.69866696,0.9969866695999999,106.950312,104.30596159999999,12.057676977656602,12.057676977656602,352
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.92062319999997,1.0661374879999999,171.65021159999998,176.6779496,13.337295848898574,13.337295848898574,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.92062319999997,1.0661374879999999,171.65021159999998,176.6779496,13.337295848898574,13.337295848898574,46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.49707239999998,1.1571261279999998,206.32225519999997,207.9948528,12.418618990012007,12.418618990012007,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.49707239999998,1.1571261279999998,206.32225519999997,207.9948528,12.418618990012007,12.418618990012007,38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.40721824,1.1320360911999998,229.5974352,233.87415760000002,30.58873068727661,30.58873068727661,84,228.88059599999997,1.1444029799999997,234.61546399999997,238.0581536,13.388522308952215,13.388522308952215,66,,,,,,,,230.9355632,1.154677816,251.1384144,266.65003839999997,33.253047519269366,33.253047519269366,51,208.23294303999995,1.0411647151999999,217.8112592,228.409716,25.449098446331195,25.449098446331195,58,,,,,,,,,,,,,,,,,,,,,,220.66621119999996,1.1033310559999998,228.81351999999998,228.409716,28.699803665667748,28.699803665667748,259
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.505122,1.082020488,271.98195680000003,272.2827824,12.80732946122722,12.80732946122722,42,,,,,,,,,,,,,,,270.505122,1.082020488,271.98195680000003,272.2827824,12.80732946122722,12.80732946122722,42
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.69371775999997,1.1656457258666666,354.95603719999997,351.18691679999995,27.05756000039204,27.05756000039204,60,313.50437407999993,1.0450145802666666,330.986296,346.1773616,34.61700197354602,34.61700197354602,39,,,,,,,,300.06539448,1.0002179815999999,321.43590079999996,342.838712,36.718460110930764,36.718460110930764,38,,,,,,,,,,,,,,,,,,,,,,320.60200671999996,1.0686733557333332,337.119276,342.838712,35.316192681048214,35.316192681048214,137
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.88068999999996,1.1297017249999999,461.873598,478.8241504,59.16763963018775,59.16763963018775,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.88068999999996,1.1297017249999999,461.873598,478.8241504,59.16763963018775,59.16763963018775,90
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.6900820799999,1.1093801641599998,564.37604,571.3224319999999,78.35532512191128,78.35532512191128,43,,,,,,,,340.44142544,0.68088285088,357.26204640000003,546.0295656,100.81187005564146,100.81187005564146,139,498.5042823999999,0.9970085647999999,502.15725239999995,569.0889599999999,63.28257390978054,63.28257390978054,68,,,,,,,,357.29810088000005,0.71459620176,501.1034592,569.0889599999999,99.47700942910443,99.47700942910443,250
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consistent speed Download 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offpeak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
1.5,1.1647721599999998,0.7765147733333333,1.2334863999999999,1.8505575999999997,0.16891503044039807,0.16891503044039807,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1647721599999998,0.7765147733333333,1.2334863999999999,1.8505575999999997,0.16891503044039807,0.16891503044039807,65
3,2.50847584,0.8361586133333333,2.8069711999999996,5.0338144,0.7998417032124908,0.7998417032124908,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50847584,0.8361586133333333,2.8069711999999996,5.0338144,0.7998417032124908,0.7998417032124908,50
5,,,,,,,,3.8177616,0.7635523199999998,4.2131544,4.2926079999999995,1.0843705085909014,1.0843705085909014,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8177616,0.7635523199999998,4.2131544,4.2926079999999995,1.0843705085909014,1.0843705085909014,49
10,9.46427272,0.946427272,9.621515599999999,10.0678544,1.0917022568477943,1.0917022568477943,72,,,,,,,,,,,,,,,9.73990848,0.973990848,10.5317552,10.762392,1.6825374937962603,1.6825374937962603,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.526546879999998,0.9526546879999997,9.83242,10.762392,1.382517186119972,1.382517186119972,127
12,11.15061968,0.9292183066666666,12.242883200000001,12.9408528,2.2483960875385267,2.2483960875385267,65,,,,,,,,10.924057600000001,0.9103381333333334,11.413085599999999,15.589431999999999,2.5706847702816904,2.5706847702816904,66,12.354565439999998,1.02954712,13.245728799999998,14.0342208,1.3678654742278609,1.3678654742278609,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.358328,0.9465273333333334,12.350463999999999,12.9408528,2.1717430878394026,2.1717430878394026,181
15,,,,,,,,,,,,,,,,,,,,,,15.9092136,1.0606142399999998,16.383056,17.5391968,0.9223401193658365,0.9223401193658365,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9092136,1.0606142399999998,16.383056,17.5391968,0.9223401193658365,0.9223401193658365,45
18,,,,,,,,,,,,,,,17.17706496,0.9542813866666665,18.2560676,23.6361648,3.183652226880786,3.183652226880786,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17706496,0.9542813866666665,18.2560676,23.6361648,3.183652226880786,3.183652226880786,44
20,18.98980288,0.9494901439999999,19.888540799999998,19.935944,2.2431685135802173,2.2431685135802173,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.98980288,0.9494901439999999,19.888540799999998,19.935944,2.2431685135802173,2.2431685135802173,57
25,23.15872208,0.9263488832,24.140144,27.456068,1.7512948012770306,1.7512948012770306,87,,,,,,,,,,,,,,,24.224055200000002,0.968962208,25.6364,26.354332799999998,2.768329422432453,2.768329422432453,56,,,,,,,,29.51055968,1.1804223872,29.656651999999998,29.742195199999998,3.471930839177258,3.471930839177258,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15919296,0.9663677184,25.1308924,26.354332799999998,3.3969121300901963,3.3969121300901963,200
40,39.37568,0.9843919999999999,40.6325844,46.400875199999994,4.248556114767983,4.248556114767983,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37568,0.9843919999999999,40.6325844,46.400875199999994,4.248556114767983,4.248556114767983,56
50,,,,,,,,41.73100048,0.8346200095999999,43.370536,45.537198399999994,7.480937107014494,7.480937107014494,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26759856,1.1853519711999998,59.4230964,59.7303816,5.117868727706435,5.117868727706435,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8873056,1.1377461119999999,56.93345119999999,57.3154256,1.4461901673118585,1.4461901673118585,39,46.73203392,0.9346406783999999,56.920950399999995,57.3154256,8.5270124790322,8.5270124790322,144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.40893496,1.3234822493333331,79.7380944,79.291868,9.703943825458293,9.703943825458293,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.40893496,1.3234822493333331,79.7380944,79.291868,9.703943825458293,9.703943825458293,40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.46812632,1.1795750176,89.0135544,89.17308,1.3951824421146146,1.3951824421146146,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.22837024,1.0830449365333332,81.9602224,82.8675504,1.88329745111401,1.88329745111401,53,81.89720223999998,1.0919626965333333,81.9764648,89.8680976,1.5323334336221812,1.5323334336221812,40,81.9442608,1.0925901439999999,82.1769144,89.8680976,3.6112061156381134,3.6112061156381134,135
80,76.9870488,0.9623381099999999,79.2541576,92.3304528,5.384996960402208,5.384996960402208,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9870488,0.9623381099999999,79.2541576,92.3304528,5.384996960402208,5.384996960402208,83
100,93.68480231999999,0.9368480232,98.3989032,104.414544,6.1040283061088045,6.1040283061088045,42,,,,,,,,,,,,,,,,,,,,,,114.19598400000001,1.1419598400000002,114.27510799999999,140.79088,4.271582323254708,4.271582323254708,55,118.25914648,1.1825914647999998,118.74288719999998,119.0915552,8.245133203170642,8.245133203170642,58,,,,,,,,131.47830879999998,1.3147830879999998,132.78454879999998,133.2878992,4.532707838789302,4.532707838789302,41,114.25522951999999,1.1425522952,114.63025880000001,115.3674672,2.5740672844309542,2.5740672844309542,38,,,,,,,,98.9170288,0.989170288,99.5502064,101.2224224,1.6768186586834113,1.6768186586834113,41,99.4378108,0.994378108,99.8191284,99.96346319999999,1.220179853131386,1.220179853131386,78,99.86408064,0.9986408063999999,109.64458239999999,104.414544,12.010135322684524,12.010135322684524,353
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.22226528,1.1214817685333334,174.1641328,178.924104,13.937491647923192,13.937491647923192,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.22226528,1.1214817685333334,174.1641328,178.924104,13.937491647923192,13.937491647923192,47
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.91900895999999,1.1766800512,207.972724,208.65360320000002,10.785542656225829,10.785542656225829,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.91900895999999,1.1766800512,207.972724,208.65360320000002,10.785542656225829,10.785542656225829,39
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.51499199999998,1.1425749600000001,233.2095976,234.064188,18.27979637103157,18.27979637103157,84,233.95945519999998,1.1697972759999997,237.4070736,238.0486992,8.06693880487393,8.06693880487393,66,,,,,,,,246.96576800000003,1.23482884,263.324284,266.65803999999997,26.42837715277162,26.42837715277162,51,216.99496159999998,1.084974808,224.24964799999998,228.5487632,24.13030506732613,24.13030506732613,58,,,,,,,,,,,,,,,,,,,,,,227.26309376,1.1363154688,233.35362399999997,228.5487632,22.806671384103918,22.806671384103918,259
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.04056944,1.08816227776,272.2013292,272.4111824,13.418604447265386,13.418604447265386,42,,,,,,,,,,,,,,,272.04056944,1.08816227776,272.2013292,272.4111824,13.418604447265386,13.418604447265386,42
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.84474976,1.1794824992000001,355.96607040000004,353.3795712,28.379336019401798,28.379336019401798,60,308.13911487999997,1.0271303829333334,331.73368320000003,350.496756,33.38765638408864,33.38765638408864,39,,,,,,,,322.05563552,1.0735187850666668,331.211776,342.834304,24.37551415959333,24.37551415959333,39,,,,,,,,,,,,,,,,,,,,,,327.31863231999995,1.0910621077333333,341.36683,342.834304,30.910545913582702,30.910545913582702,138
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.934796,1.14233699,475.2518784,479.24281599999995,60.362166745177085,60.362166745177085,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.934796,1.14233699,475.2518784,479.24281599999995,60.362166745177085,60.362166745177085,91
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.61576128,1.12323152256,568.2086336,571.305656,55.606593307775086,55.606593307775086,43,,,,,,,,336.5196544,0.6730393088,349.4639952,546.0473056,102.96900262809675,102.96900262809675,141,499.4147264,0.9988294528,503.1484048,569.0748544,60.34541175547434,60.34541175547434,69,,,,,,,,350.70087903999996,0.7014017580799998,502.34172879999994,569.0748544,99.94496911024764,99.94496911024764,253
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consistent speed Download 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
1.5,1.1675859199999998,0.7783906133333334,1.232368,1.246888,0.1835973300055046,0.1835973300055046,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1675859199999998,0.7783906133333334,1.232368,1.246888,0.1835973300055046,0.1835973300055046,65
3,2.46904624,0.8230154133333333,2.7753672,5.044440799999999,0.8731822956652281,0.8731822956652281,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46904624,0.8230154133333333,2.7753672,5.044440799999999,0.8731822956652281,0.8731822956652281,50
5,,,,,,,,3.8805456,0.7761091199999999,4.2171968,4.7741456,1.10503603328644,1.10503603328644,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8805456,0.7761091199999999,4.2171968,4.7741456,1.10503603328644,1.10503603328644,49
10,8.973367679999999,0.897336768,9.6278352,10.555016,1.2204494354670643,1.2204494354670643,72,,,,,,,,,,,,,,,9.4051864,0.94051864,10.553732799999999,9.914983999999999,1.6283015975122697,1.6283015975122697,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24073184,0.924073184,9.666967999999999,9.914983999999999,1.4280487216008166,1.4280487216008166,127
12,10.845602079999999,0.9038001733333334,12.245432,12.959242399999999,2.2574737213869938,2.2574737213869938,65,,,,,,,,10.856639999999999,0.90472,11.3953696,15.539792799999999,2.5736127795349124,2.5736127795349124,66,12.339795839999997,1.02831632,12.8569008,14.027223199999998,1.4075335017240707,1.4075335017240707,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.186256,0.932188,12.327,12.959242399999999,2.1832790086616587,2.1832790086616587,181
