,CenturyLink,,,,,,,,,,,"Cincinnati Bell DSL",,,,,,,,,,,"Frontier DSL",,,,,,,,,,,Windstream,,,,,,,,,,,Charter,,,,,,,,,,,Comcast,,,,,,,,,,,Cox,,,,,,,,,,,Mediacom,,,,,,,,,,,Optimum,,,,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,,,,"Frontier Fiber",,,,,,,,,,,Verizon,,,,,,,,,,,Total,,,,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N"
25,23.07301666500894,23.073016665008936,23.589660799999994,23.589660799999997,0.9229206666003574,0.9229206666003574,0.9508154139534885,0.9508154139534883,2.3468971974021104,"22.58 - 23.57",86,,,,,,,,,,,,,,,,,,,,,,,24.376035361870272,24.376035361870272,24.70568387044534,24.70568387044534,0.975041414474811,0.975041414474811,1.0045367628571427,1.0045367628571429,2.470625353352055,"23.73 - 25.02",56,,,,,,,,,,,,28.57846444941246,28.57846444941246,28.920025,28.920025,1.1431385779764984,1.1431385779764984,1.1730373866666666,1.1730373866666666,1.2494854302425997,"28.25 - 28.9",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.980602953339204,25.01663259835183,28.33165918174676,25.430505279120297,1.1192241181335683,1.0006653039340732,1.1489789402192325,1.0295844992964824,3.14812570697169,"27.54 - 28.42",199
40,39.48772292395871,39.48772292395871,39.45391354285714,39.45391354285714,0.9871930730989678,0.9871930730989678,1.0114050785714286,1.0114050785714286,4.45135175187392,"38.32 - 40.65",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.48772292395871,39.48772292395871,39.45391354285714,39.45391354285714,0.9871930730989678,0.9871930730989678,1.0114050785714286,1.0114050785714286,4.45135175187392,"38.32 - 40.65",56
50,,,,,,,,,,,,41.49688137415,41.49688137415,41.65196838095238,41.65196838095238,0.829937627483,0.829937627483,0.8426246212765958,0.8426246212765958,7.675677509576592,"39.3 - 43.69",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78806984920775,56.78806984920775,58.396073894736844,58.396073894736844,1.135761396984155,1.135761396984155,1.1507058000000001,1.1507058,5.031886531911108,"55.49 - 58.08",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.131918405144425,56.131918405144425,56.550094736842105,56.5500947368421,1.1226383681028884,1.1226383681028886,1.1311027425641025,1.1311027425641025,1.5388682472731556,"55.65 - 56.61",39,56.32654207319335,51.61948815027592,57.61607510982267,52.431031212057924,1.126530841463867,1.0323897630055183,1.1398523784505286,1.044842365,8.929741497317803,"54.87 - 57.79",144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63434508513812,75.63434508513812,79.2852942072829,79.2852942072829,1.2605724180856355,1.2605724180856355,1.2780715933333333,1.2780715933333333,9.364491078336021,"72.73 - 78.54",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63434508513812,75.63434508513812,79.2852942072829,79.2852942072829,1.2605724180856355,1.2605724180856355,1.2780715933333333,1.2780715933333333,9.364491078336021,"72.73 - 78.54",40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9123320456771,86.9123320456771,87.21189766666666,87.21189766666666,1.1588310939423616,1.1588310939423614,1.1735422603174603,1.1735422603174603,2.1396693799422137,"86.27 - 87.56",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.77842486543412,79.77842486543412,81.04354878350514,81.04354878350516,1.0637123315391217,1.0637123315391215,1.0738342339622642,1.0738342339622642,3.2441936650213807,"78.91 - 80.65",53,80.98324994693387,80.98324994693388,81.41931853571428,81.41931853571428,1.0797766659591184,1.0797766659591184,1.090058644,1.090058644,2.31262042376269,"80.27 - 81.7",40,81.9751022596582,82.3548478641763,82.4885886933112,83.07392984410625,1.0930013634621092,1.0980646381890173,1.1041168593552984,1.1096617414320986,4.091313874386202,"81.28 - 82.67",135
80,76.56354570320879,76.56354570320879,77.14466969369369,77.14466969369369,0.9570443212901099,0.9570443212901099,0.9786602608433734,0.9786602608433734,5.843274462497425,"75.31 - 77.82",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56354570320879,76.56354570320879,77.14466969369369,77.14466969369369,0.9570443212901099,0.9570443212901099,0.9786602608433734,0.9786602608433734,5.843274462497425,"75.31 - 77.82",83
100,95.75845761003825,95.75845761003826,97.50170681940145,97.50170681940145,0.9575845761003826,0.9575845761003826,0.9763899266666666,0.9763899266666667,5.675722797620275,"94.04 - 97.47",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.41330558846047,113.41330558846046,114.07749270588235,114.07749270588235,1.1341330558846048,1.1341330558846046,1.1507458887272728,1.1507458887272728,6.224530278014186,"111.77 - 115.06",55,113.3410078945371,113.34100789453709,116.69430339473682,116.69430339473683,1.133410078945371,1.133410078945371,1.1512263731034482,1.1512263731034482,7.978698399438404,"111.29 - 115.39",58,,,,,,,,,,,,129.0081675357225,129.0081675357225,130.63371692307692,130.63371692307692,1.290081675357225,1.2900816753572248,1.3104452195121952,1.3104452195121952,4.77495385630812,"127.55 - 130.47",41,111.97938360061033,111.97938360061032,113.25461444444443,113.25461444444443,1.1197938360061033,1.1197938360061033,1.1373027263157895,1.1373027263157895,3.219247265071468,"110.96 - 113",38,,,,,,,,,,,,97.57085630622612,97.57085630622612,98.25455238095238,98.25455238095238,0.9757085630622612,0.9757085630622613,0.9845503219512194,0.9845503219512195,2.6038282791850214,"96.77 - 98.37",41,98.61227490804032,98.6122749080403,99.18127771428571,99.18127771428571,0.9861227490804031,0.9861227490804031,0.9932746888311689,0.9932746888311688,1.5560684619705778,"98.26 - 98.96",77,112.02497452654346,107.8734863838985,113.40079284892163,109.26890953547505,1.1202497452654343,1.078734863838985,1.1362633616853621,1.09336648375,11.729260969501729,"110.8 - 113.25",352
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.93808911542413,166.93808911542413,170.2677600190476,170.2677600190476,1.1129205941028277,1.1129205941028275,1.1327246231884058,1.1327246231884058,11.98697264163283,"163.47 - 170.4",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.93808911542413,166.93808911542413,170.2677600190476,170.2677600190476,1.1129205941028277,1.1129205941028275,1.1327246231884058,1.1327246231884058,11.98697264163283,"163.47 - 170.4",46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.55150882873426,201.55150882873426,205.8831334363636,205.8831334363636,1.1517229075927673,1.1517229075927673,1.1671900757894738,1.1671900757894735,10.666472001914446,"198.16 - 204.94",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.55150882873426,201.55150882873426,205.8831334363636,205.8831334363636,1.1517229075927673,1.1517229075927673,1.1671900757894738,1.1671900757894735,10.666472001914446,"198.16 - 204.94",38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.9960630301907,220.99606303019073,230.15458441666664,230.15458441666664,1.1049803151509536,1.1049803151509536,1.1153409369047618,1.1153409369047618,25.50470616883285,"215.54 - 226.45",84,228.8771325676118,228.87713256761182,234.57921113333333,234.57921113333333,1.144385662838059,1.144385662838059,1.162251181212121,1.1622511812121212,11.486353079300486,"226.11 - 231.65",66,,,,,,,,,,,,240.60776602330603,240.60776602330603,249.53483284210526,249.53483284210526,1.2030388301165302,1.2030388301165302,1.2270260384313725,1.2270260384313725,29.549147327698257,"232.5 - 248.72",51,209.5907161180269,209.5907161180269,220.58696878947367,220.58696878947367,1.0479535805901345,1.0479535805901345,1.0622243286206896,1.0622243286206896,21.281703816425555,"204.11 - 215.07",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.87925028287395,224.312037243369,231.69276127247701,232.95572853489128,1.1193962514143698,1.121560186216845,1.1332758230477156,1.1373921068725867,24.93805016422053,"220.84 - 226.92",259
