"Custom Tables",,,download_tier_by_region_tech[average_tier_speed],,,,,,,,,,
"Download speeds by region",,,,,,,,,,,,,
,,,"Average Tier Speed","Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,,"Average Tier Speed",Mean,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25,29.013474503776585,19,"28.6 - 29.4",0.20081181348294516,0.8753184016412965,1.1605389801510635,19,"114% - 118%",0.008032472539317806,0.03501273606565186
,,DSL,12.944847333272511,12.115088732622999,290,"11.2 - 13",0.45252805426206555,7.7062750774496225,0.9106704398149255,290,"89% - 93%",0.009483764258062665,0.16150268575391247
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 50 Mbps",Cable,28.641435838937294,33.23218749461298,30,"28.1 - 38.3",2.6097650585322416,14.29427192346899,1.1603926752716747,30,"115% - 118%",0.007511645083745242,0.04114297456340051
,,DSL,14.871773551553662,14.014981276876888,306,"13 - 15.1",0.538268934555756,9.415860791652738,0.9149977214498859,306,"90% - 93%",0.009211412952983507,0.16113391743720515
,,Fiber,50.00000000000001,56.581357077051806,15,"56.3 - 56.9",0.15869233232693633,0.6146127602730374,1.131627141541036,15,"113% - 114%",0.003173846646538729,0.012292255205460756
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
MIDWEST,"All Download tiers",Cable,176.9771780606049,195.71160066971,262,"175.8 - 215.6",10.14294814241681,164.17795838411513,1.1169473019518317,262,"110% - 114%",0.009716260443322255,0.1572714146138669
,,DSL,20.746040247798234,19.938496458036585,332,"17.6 - 22.3",1.2156312675571463,22.14985583962075,0.9533667309015603,332,"93% - 97%",0.00939278128008636,0.1711446199513135
,,Fiber,450.88166737211316,398.5284798642976,153,"381.6 - 415.4",8.611859265555921,106.52281615452358,0.9032018417983789,153,"87% - 93%",0.015390979960004117,0.19037590817058495
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 4 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,2.105926827643261,2.030779158607598,22,"1.6 - 2.5",0.2351073060592819,1.1027510135900864,0.928099996045391,22,"83% - 102%",0.04893388452857907,0.22952026318222718
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 10 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,7.757326364201836,7.115376128135851,95,"6.5 - 7.8",0.33288724786320645,3.2445835449321203,0.9136310482084357,95,"88% - 95%",0.019408045177866987,0.1891662249834308
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25.000000000000004,28.29108812212476,12,"27.5 - 29.1",0.42069075819920826,1.4573155349514038,1.1316435248849903,12,"110% - 116%",0.01682763032796833,0.05829262139805615
,,DSL,13.491463937794515,12.877787614998285,247,"12 - 13.8",0.47319510008165155,7.436844752789802,0.948431207682763,247,"93% - 97%",0.011473931188902362,0.18032698339719877
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 50 Mbps",Cable,29.926180247120662,33.520506345622636,22,"27.6 - 39.4",3.005694501545659,14.097956859264386,1.124738289773539,22,"109% - 116%",0.019044701112960017,0.08932756624135448
,,DSL,17.5123274835419,16.86231399312345,304,"15.4 - 18.4",0.7701377693298733,13.427810836451025,0.9533797528675368,304,"93% - 97%",0.010149092322861994,0.17695547121607966
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
WEST,"All Download tiers",Cable,159.09678546307364,178.61786932765227,267,"165.2 - 192",6.832744480928429,111.64796476793771,1.1292582931353403,267,"112% - 114%",0.005428398222471692,0.08870075782586602
,,DSL,25.067221809813677,24.25372933301022,284,"20.5 - 28",1.9233060070094283,32.412128949422446,0.9574036027036061,284,"94% - 98%",0.009443658250750012,0.15914735765502452
,,Fiber,270.4249016698616,268.9677369524389,50,"211.9 - 326.1",29.13542734763928,206.0185825028372,1.0025546390790128,50,"99% - 102%",0.007375430871264439,0.052152171832436915
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 4 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,2.1930401457997117,1.9885847692117835,50,"1.7 - 2.3",0.14664969030355676,1.0369699047255208,0.8761564781177146,50,"81% - 94%",0.03411039763169926,0.241196934743441
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 10 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,5.626901774849422,5.233931728082818,71,"4.4 - 6.1",0.4292846744593339,3.6172169623236035,0.9027842215962495,71,"85% - 95%",0.025767486668801663,0.217120701949648
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25,28.534766010493843,23,"28 - 29.1",0.27588407567133133,1.3230935468845624,1.1413906404197538,23,"112% - 116%",0.011035363026853252,0.052923741875382485
,,DSL,11.487049019296887,11.178578095536539,176,"10.1 - 12.3",0.5478923852911951,7.268613870014919,0.9521616220318183,176,"92% - 98%",0.014356436282021824,0.19045964989644515
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 50 Mbps",Cable,32.887627772331456,37.493668283075344,59,"33.8 - 41.2",1.900848078912955,14.600691138686456,1.140511395582303,59,"112% - 116%",0.011668142580992021,0.08962470377151151
,,DSL,17.144323826126957,16.746882871935572,205,"15.1 - 18.4",0.8429047343338701,12.068559159580845,0.9578989193756885,205,"93% - 98%",0.01278994614362698,0.18312416029339254
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
