"Consistent speed Upload 80/80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
0.512,0.19526016000000002,0.38136749999999997,0.335404,0.11630399999999999,0.1500103369629763,0.1500103369629763,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19526016000000002,0.38136749999999997,0.335404,0.11630399999999999,0.1500103369629763,0.1500103369629763,50
0.768,0.54943808,0.7154141666666667,0.6429712,0.851192,0.09647452406847419,0.09647452406847419,53,0.49649471999999994,0.6464775,0.536824,0.55584,0.1004763675200029,0.1004763675200029,49,,,,,,,,0.56241088,0.7323058333333333,0.5976016,0.5788719999999999,0.13312462413888493,0.13312462413888493,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52416896,0.6825116666666666,0.588272,0.55584,0.12252751144679071,0.12252751144679071,167
0.896,0.59523968,0.6643300000000001,0.67518,0.790704,0.11015340464702841,0.11015340464702841,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59523968,0.6643300000000001,0.67518,0.790704,0.11015340464702841,0.11015340464702841,132
1,,,,,,,,,,,,,,,0.6233388799999999,0.6233388799999999,0.8778792,1.0748848,0.362954552512433,0.362954552512433,130,0.84089984,0.84089984,0.9359071999999999,1.101824,0.10750148870018233,0.10750148870018233,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708208,0.708208,0.907512,1.101824,0.29725835633524383,0.29725835633524383,203
1.5,,,,,,,,,,,,,,,,,,,,,,1.26066432,0.8404428799999999,1.3361024,1.6844544,0.2510870197212716,0.2510870197212716,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26066432,0.8404428799999999,1.3361024,1.6844544,0.2510870197212716,0.2510870197212716,127
2,1.4622582400000002,0.7311291200000001,1.7621920000000002,2.1976496,0.33901974212572084,0.33901974212572084,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4622582400000002,0.7311291200000001,1.7621920000000002,2.1976496,0.33901974212572084,0.33901974212572084,122
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8226553599999997,0.9408851199999999,2.858124,2.8512591999999994,0.08012091243105754,0.08012091243105754,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8226553599999997,0.9408851199999999,2.858124,2.8512591999999994,0.08012091243105754,0.08012091243105754,58
5,2.9580431999999997,0.5916086399999999,4.8566512,5.0601199999999995,1.1989613500305132,1.1989613500305132,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.682319999999999,1.136464,5.7972848,5.83796,0.4940632111056601,0.4940632111056601,183,,,,,,,,5.5501628799999985,1.1100325759999998,5.6815488,5.778528,1.28457685371015,1.28457685371015,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0323568000000005,1.0064713600000001,5.756472,5.83796,0.995198693967539,0.995198693967539,281
