,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
25,1871.7286641904439,1871.7286641904436,1628.1150705882346,1628.115070588235,101.1299277711813,937.8403686269716,"1673.51 - 2069.94",86,,,,,,,,,,,,,,,,,1888.9084631671153,1888.9084631671155,1589.5407073683564,1589.5407073683564,148.62683539700987,1112.2213930721134,"1597.6 - 2180.22",56,,,,,,,,,2999.2485676292704,2999.2485676292704,1441.0752705314012,1441.075270531401,371.41794888855725,2804.1440203964607,"2271.27 - 3727.23",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860.4804714944244,2199.5211427769095,1506.7330954829472,1609.3558078602618,126.87229109711404,1789.7539136423025,"2611.81 - 3109.15",199
40,2932.344037316434,2932.3440373164335,1647.7941011938083,1647.7941011938083,366.279951840751,2740.988174864299,"2214.44 - 3650.25",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932.344037316434,2932.3440373164335,1647.7941011938083,1647.7941011938083,366.279951840751,2740.988174864299,"2214.44 - 3650.25",56
50,,,,,,,,,1355.044551985044,1355.044551985044,1274.6801460674155,1274.6801460674158,54.18931408432118,371.5032203947536,"1248.83 - 1461.26",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.2560631976903,2138.2560631976903,1283.969719388545,1283.969719388545,282.7066081366504,2153.029383097109,"1584.15 - 2692.36",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.271225712711,2322.271225712711,1099.9114744186047,1099.9114744186047,440.55694506113923,2751.2772400873278,"1458.78 - 3185.76",39,2167.622645423681,1932.4619681358254,1252.9525107927273,1257.3626655428216,168.15607572599404,2017.8729087119284,"1838.04 - 2497.21",144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818.2000763443784,2818.2000763443784,1721.6042249797847,1721.6042249797847,411.3913855358336,2601.867576131367,"2011.87 - 3624.53",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818.2000763443784,2818.2000763443784,1721.6042249797847,1721.6042249797847,411.3913855358336,2601.867576131367,"2011.87 - 3624.53",40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.7630464029216,2569.7630464029216,1319.8068353778904,1319.8068353778904,447.47643090276296,2899.9787173298287,"1692.71 - 3446.82",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.2143129004055,1590.2143129004055,1177.5515517241379,1177.5515517241379,208.51902330217996,1518.041403645315,"1181.52 - 1998.91",53,3021.194151248169,3021.194151248169,1311.2924103756807,1311.2924103756866,485.6477545733264,3071.506089996332,"2069.32 - 3973.06",40,2755.169209556772,2318.9568339449697,1210.8482391776354,1197.8498012820512,220.94351275996993,2567.1316361157883,"2322.12 - 3188.22",135
80,1610.3856704310545,1610.3856704310545,1280.5164730538925,1280.5164730538922,149.3700056927066,1360.8255155798092,"1317.62 - 1903.15",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.3856704310545,1610.3856704310545,1280.5164730538925,1280.5164730538922,149.3700056927066,1360.8255155798092,"1317.62 - 1903.15",83
100,1642.1181648619431,1642.1181648619431,1270.4973595282079,1270.497359528208,209.09409646034456,1355.084620727374,"1232.29 - 2051.94",42,,,,,,,,,,,,,,,,,,,,,,,,,2026.6900372705993,2026.690037270599,1557.2167291666678,1557.2167291666667,134.50167909665447,997.4911490284353,"1763.07 - 2290.31",55,3567.739338763051,3567.739338763051,1485.6400217931346,1485.6400217931346,430.6711633911314,3279.8938636252997,"2723.62 - 4411.85",58,,,,,,,,,1990.1865106275816,1990.1865106275818,1386.8189580838323,1386.8189580838323,239.9658360262267,1536.5310608153688,"1519.85 - 2460.52",41,2187.1223860397836,2187.1223860397836,1126.7889509969582,1126.7889509969582,374.77161401741716,2310.2473853642505,"1452.57 - 2921.67",38,,,,,,,,,1604.5448537917155,1604.5448537917157,1208.0433936507936,1208.0433936507936,261.8876616026136,1676.8992334923073,"1091.25 - 2117.84",41,2633.963569012424,2633.963569012424,1098.0119599999998,1098.01196,381.3164974327732,3346.0386852976844,"1886.58 - 3381.34",77,2467.146313584288,2331.464852406253,1456.4912321359657,1273.3309774774775,131.77644994851275,2472.3453504483505,"2208.86 - 2725.43",352
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.0026829604312,1462.0026829604312,1276.1424221239783,1276.1424221239797,83.51314564463775,566.413711690734,"1298.32 - 1625.69",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.0026829604312,1462.0026829604312,1276.1424221239783,1276.1424221239797,83.51314564463775,566.413711690734,"1298.32 - 1625.69",46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.1630885989637,1352.1630885989637,1228.5128942028985,1228.5128942028987,58.099391967154205,358.14870540630864,"1238.29 - 1466.04",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.1630885989637,1352.1630885989637,1228.5128942028985,1228.5128942028987,58.099391967154205,358.14870540630864,"1238.29 - 1466.04",38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.118881485882,1595.118881485882,1277.837166391372,1277.8371663913717,72.93114251051813,668.424962148122,"1452.17 - 1738.06",84,1325.4390534142153,1325.4390534142153,1194.2157015063754,1194.2157015063754,41.4806314407653,336.9902428733272,"1244.14 - 1406.74",66,,,,,,,,,1589.6354181886059,1589.635418188606,1287.1362,1287.1362,97.79715518426848,698.4113842635517,"1397.95 - 1781.32",51,1475.7408304254102,1475.7408304254102,1170.6346852403462,1170.6346852403472,68.60703687572835,522.4956263111854,"1341.27 - 1610.21",58,,,,,,,,,,,,,,,,,,,,,,,,,1475.5177648394315,1498.584316843417,1256.1324890345752,1254.1173623188406,36.21313928747101,582.7953220273204,"1404.54 - 1546.5",259
