,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
25,0.001822019,0.001822019,0.000946,0.000946,0.00032,0.002963535,"0 - 0",86,,,,,,,,,,,,,,,,,0.002264591,0.002264591,0.00089,0.00089,0.000558,0.004172568,"0 - 0",56,,,,,,,,,0.001554756,0.001554756,0.000389,0.000389,0.000477,0.003539784,"0 - 0",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001616854,0.00187321,0.000427,0.000612,0.000249,0.003495689,"0 - 0",197
40,0.001280549,0.001280549,0.000421,0.000421,0.000352,0.002635952,"0 - 0",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001280549,0.001280549,0.000421,0.000421,0.000352,0.002635952,"0 - 0",56
50,,,,,,,,,0.000915,0.000915,0.000317,0.000317,0.000196,0.001340764,"0 - 0",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000983,0.000983,0.000445,0.000445,0.000244,0.001858006,"0 - 0",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000343,0.000343,5.99E-05,5.99E-05,0.00017,0.001063266,"0 - 0",39,0.000826,0.000788,0.000314,0.000265,0.000127,0.001526247,"0 - 0",144
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00246285,0.00246285,0.000374,0.000374,0.000764,0.004833858,"0 - 0",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00246285,0.00246285,0.000374,0.000374,0.000764,0.004833858,"0 - 0",40
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001161127,0.001161127,0.000114,0.000114,0.000344,0.002227652,"0 - 0",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000375,0.000375,8.48E-05,8.48E-05,0.000174,0.001267989,"0 - 0",53,0.000234,0.000234,0.0001,0.0001,7.7E-05,0.000487,"0 - 0",40,0.00043,0.000578,0.000104,9.52E-05,0.000132,0.001539352,"0 - 0",135
80,0.000794,0.000794,0.000327,0.000327,0.000121,0.001102983,"0 - 0",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000794,0.000794,0.000327,0.000327,0.000121,0.001102983,"0 - 0",83
100,0.0006,0.0006,0.000159,0.000159,0.000185,0.001201771,"0 - 0",42,,,,,,,,,,,,,,,,,,,,,,,,,0.001026145,0.001026145,0.000177,0.000177,0.00026,0.001926804,"0 - 0",55,0.000603,0.000603,0.000191,0.000191,0.000134,0.001020527,"0 - 0",58,,,,,,,,,0.000997,0.000997,0.000557,0.000557,0.0002,0.0012807,"0 - 0",41,0.001739046,0.001739046,0.000971,0.000971,0.00031,0.001912733,"0 - 0",38,,,,,,,,,0.00043,0.00043,0.000219,0.000219,9.06E-05,0.00058,"0 - 0",41,0.000439,0.000439,0.000133,0.000133,0.000133,0.001176582,"0 - 0",78,0.000876,0.00078,0.000208,0.000241,7.49E-05,0.001407684,"0 - 0",353
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002502562,0.002502562,0.000361,0.000361,0.000775,0.005253187,"0 - 0",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002502562,0.002502562,0.000361,0.000361,0.000775,0.005253187,"0 - 0",46
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002307136,0.002307136,8.91E-05,8.91E-05,0.000684,0.004213526,"0 - 0",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002307136,0.002307136,8.91E-05,8.91E-05,0.000684,0.004213526,"0 - 0",38
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000779,0.000779,0.000262,0.000262,0.000141,0.001289142,"0 - 0",84,0.000644,0.000644,0.000173,0.000173,0.000196,0.001589486,"0 - 0",66,,,,,,,,,0.001699461,0.001699461,0.000589,0.000589,0.000426,0.003040644,"0 - 0",51,0.001177913,0.001177913,0.000837,0.000837,0.000135,0.001030415,"0 - 0",58,,,,,,,,,,,,,,,,,,,,,,,,,0.000755,0.001015002,0.000241,0.000404,0.000113721,0.001830166,"0 - 0",259
