"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400043US01","Alabama -- Rural","2010613","22369"
"0400043US02","Alaska -- Rural","257063","7253"
"0400043US04","Arizona -- Rural","776388","18057"
"0400043US05","Arkansas -- Rural","1308167","18706"
"0400043US06","California -- Rural","1954848","26669"
"0400043US08","Colorado -- Rural","829850","15862"
"0400043US09","Connecticut -- Rural","410637","12714"
"0400043US10","Delaware -- Rural","178378","8852"
"0400043US12","Florida -- Rural","1996214","37410"
"0400043US13","Georgia -- Rural","2589590","26921"
"0400043US15","Hawaii -- Rural","102605","6700"
"0400043US16","Idaho -- Rural","521747","14174"
"0400043US17","Illinois -- Rural","1462351","22815"
"0400043US18","Indiana -- Rural","1811705","19914"
"0400043US19","Iowa -- Rural","1125825","19226"
"0400043US20","Kansas -- Rural","770146","16322"
"0400043US21","Kentucky -- Rural","1833122","16773"
"0400043US22","Louisiana -- Rural","1262251","21573"
"0400043US23","Maine -- Rural","826139","11059"
"0400043US24","Maryland -- Rural","777562","16885"
"0400043US25","Massachusetts -- Rural","548665","16286"
"0400043US26","Michigan -- Rural","2534187","21860"
"0400043US27","Minnesota -- Rural","1491453","27023"
"0400043US28","Mississippi -- Rural","1488022","20829"
"0400043US29","Missouri -- Rural","1785995","20133"
"0400043US30","Montana -- Rural","485331","10740"
"0400043US31","Nebraska -- Rural","509915","11834"
"0400043US32","Nevada -- Rural","181500","9974"
"0400043US33","New Hampshire -- Rural","549463","10396"
"0400043US34","New Jersey -- Rural","463756","13056"
"0400043US35","New Mexico -- Rural","472594","13932"
"0400043US36","New York -- Rural","2321658","21467"
"0400043US37","North Carolina -- Rural","3432496","33017"
"0400043US38","North Dakota -- Rural","322239","7732"
"0400043US39","Ohio -- Rural","2548882","27404"
"0400043US40","Oklahoma -- Rural","1346981","15782"
"0400043US41","Oregon -- Rural","778998","14727"
"0400043US42","Pennsylvania -- Rural","2711259","25025"
"0400043US44","Rhode Island -- Rural","98186","6714"
"0400043US45","South Carolina -- Rural","1659604","25430"
"0400043US46","South Dakota -- Rural","379333","8302"
"0400043US47","Tennessee -- Rural","2258634","22988"
"0400043US48","Texas -- Rural","4661467","45817"
"0400043US49","Utah -- Rural","340689","12416"
"0400043US50","Vermont -- Rural","385117","7886"
"0400043US51","Virginia -- Rural","2083990","18462"
"0400043US53","Washington -- Rural","1180739","20923"
"0400043US54","West Virginia -- Rural","910328","14240"
"0400043US55","Wisconsin -- Rural","1749806","25163"
"0400043US56","Wyoming -- Rural","204733","8159"
"0400043US72","Puerto Rico -- Rural","173290","9748"
