state,stateTotalRecords,AreaBuilding,AreaBuildingDefinitionCode,AreaLotSF,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BedroomsCount,CensusBlock,ContactOwnerMailAddressFull,ContactOwnerMailAddressInfoFormat,DeedOwner1NameFull,Fireplace,FireplaceCount,GeoQuality,LegalDescription,OwnerTypeDescription1,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFull,PreviousAssessedValue,PropertyAddressFull,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseStandardized,RoofConstruction,RoomsCount,RoomsFamilyCode,RoomsGameFlag,StatusOwnerOccupiedFlag,StoriesCount,TaxAssessedValueImprovements,TaxAssessedValueTotal,TaxMarketValueImprovements,TaxMarketValueTotal,TaxMarketValueYear,TaxYearAssessed,UnitsCount,YearBuilt
NE,1203405,62,61,91,48,69,30,38,49,97,88,69,99,21,20,99,100,92,51,44,35,100,98,68,89,89,100,100,52,25,0,1,80,61,65,93,65,92,92,100,37,62
NH,705227,80,79,84,56,67,0,0,75,100,100,88,100,16,15,100,100,100,27,0,5,100,98,99,97,97,100,100,74,53,0,0,80,78,83,98,0,0,0,100,71,80
NJ,3271036,83,81,92,66,88,4,5,15,99,98,45,95,3,0,100,98,75,36,0,26,100,99,100,98,98,100,100,6,8,0,0,77,66,88,99,87,97,96,100,86,83
NM,1659783,42,40,77,0,20,0,1,24,98,98,84,100,4,1,100,100,97,9,8,4,100,97,58,74,74,100,100,18,11,1,0,83,29,51,97,51,97,96,100,23,39
NV,1303465,79,79,93,65,85,42,47,70,98,98,75,99,31,31,100,100,92,64,62,61,100,98,92,95,95,100,100,70,54,28,0,63,77,81,98,81,97,97,100,66,82
NY,6538468,72,67,87,22,32,4,7,43,99,99,83,97,19,18,100,98,95,41,31,31,100,99,99,97,97,100,100,5,18,0,8,81,70,78,91,71,91,90,100,63,70
OH,6422353,70,67,90,50,86,24,43,63,96,96,83,100,31,25,100,100,97,55,48,48,100,99,97,92,92,100,100,15,60,12,4,74,68,71,96,71,96,96,100,55,69
OK,2416928,66,61,87,46,83,33,59,47,69,94,68,99,28,26,100,100,90,49,40,28,100,99,67,83,83,100,100,60,39,0,0,74,64,65,93,65,94,94,100,39,64
OR,1995873,73,71,90,60,77,15,22,64,98,97,53,95,41,29,99,96,82,51,47,42,100,99,83,93,93,100,100,49,12,2,0,69,53,13,94,78,98,93,100,50,75
PA,6056555,71,68,93,56,86,20,26,58,99,99,80,99,21,21,100,100,92,37,16,23,100,99,96,97,97,100,100,15,57,4,3,78,67,71,89,74,97,96,100,55,69
RI,426997,83,83,91,65,85,0,0,78,100,96,82,99,28,28,100,100,95,42,0,13,100,97,100,98,98,100,100,81,78,0,4,82,83,87,99,0,0,0,100,82,83
