state,stateTotalRecords,ATTOMID,AccessabilityElevatorFlag,AccessabilityHandicapFlag,ArborPergolaFlag,Area1stFloor,Area2ndFloor,AreaBuilding,AreaBuildingDefinitionCode,AreaGross,AreaLotAcres,AreaLotDepth,AreaLotSF,AreaLotWidth,AreaUpperFloors,ArenaFlag,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BalconyArea,BathCount,BathHouseArea,BathHouseFlag,BathPartialCount,BedroomsCount,BoatAccessFlag,BoatHouseArea,BoatHouseFlag,BoatLiftFlag,BreezewayFlag,BuildingsCount,CBSACode,CBSAName,CabinArea,CabinFlag,CanopyArea,CanopyFlag,CensusBlock,CensusBlockGroup,CensusFIPSPlaceCode,CensusTract,CentralVacuumFlag,CombinedStatisticalArea,CommunityRecRoomFlag,CompanyFlag,CongressionalDistrictHouse,Construction,ConstructionFireResistanceClass,ContactOwnerMailAddressCRRT,ContactOwnerMailAddressCity,ContactOwnerMailAddressFull,ContactOwnerMailAddressHouseNumber,ContactOwnerMailAddressInfoFormat,ContactOwnerMailAddressState,ContactOwnerMailAddressStreetDirection,ContactOwnerMailAddressStreetName,ContactOwnerMailAddressStreetPostDirection,ContactOwnerMailAddressStreetSuffix,ContactOwnerMailAddressUnit,ContactOwnerMailAddressUnitPrefix,ContactOwnerMailAddressZIP,ContactOwnerMailAddressZIP4,ContactOwnerMailInfoPrivacy,ContactOwnerMailingCounty,ContactOwnerMailingFIPS,ContentIntercomFlag,ContentOverheadDoorFlag,ContentSaunaFlag,ContentSoundSystemFlag,ContentStormShutterFlag,CourtyardArea,CourtyardFlag,DeckArea,DeckFlag,DeedLastDocumentNumber,DeedLastSaleDate,DeedLastSaleDocumentBook,DeedLastSaleDocumentPage,DeedLastSalePrice,DeedLastSaleTransactionID,DeedOwner1NameFirst,DeedOwner1NameFull,DeedOwner1NameLast,DeedOwner1NameMiddle,DeedOwner1NameSuffix,DeedOwner2NameFirst,DeedOwner2NameFull,DeedOwner2NameLast,DeedOwner2NameMiddle,DeedOwner2NameSuffix,DeedOwner3NameFirst,DeedOwner3NameFull,DeedOwner3NameLast,DeedOwner3NameMiddle,DeedOwner3NameSuffix,DeedOwner4NameFirst,DeedOwner4NameFull,DeedOwner4NameLast,DeedOwner4NameMiddle,DeedOwner4NameSuffix,DrivewayArea,DrivewayMaterial,EscalatorFlag,Exterior1Code,FeatureBalconyFlag,FenceArea,FenceCode,Fireplace,FireplaceCount,FlooringMaterialPrimary,Foundation,GazeboArea,GazeboFlag,GeoQuality,GolfCourseGreenFlag,GraineryArea,GraineryFlag,GreenHouseArea,GreenHouseFlag,GuestHouseArea,GuestHouseFlag,HVACCoolingDetail,HVACHeatingDetail,HVACHeatingFuel,InteriorStructure,KennelArea,KennelFlag,LastAssessorTaxRollUpdate,LastOwnershipTransferDate,LastOwnershipTransferDocumentNumber,LastOwnershipTransferTransactionID,LeanToArea,LeanToFlag,LegalBlock1,LegalBlock2,LegalDescription,LegalLotNumber1,LegalLotNumber2,LegalLotNumber3,LegalPhase,LegalQuarter,LegalQuarterQuarter,LegalRange,LegalSection,LegalSubdivision,LegalTownship,LegalTractNumber,LegalUnit,LoadingPlatformArea,LoadingPlatformFlag,MSACode,MSAName,MetropolitanDivision,MilkHouseArea,MilkHouseFlag,MinorCivilDivisionCode,MinorCivilDivisionName,NeighborhoodCode,OutdoorKitchenFireplaceFlag,OwnerTypeDescription1,OwnerTypeDescription2,OwnershipVestingRelationCode,ParcelAccountNumber,ParcelMapBook,ParcelMapPage,ParcelNumberAlternate,ParcelNumberFormatted,ParcelNumberPrevious,ParcelNumberRaw,ParcelNumberYearAdded,ParcelNumberYearChange,ParcelShellRecord,ParkingCarport,ParkingCarportArea,ParkingGarage,ParkingGarageArea,ParkingRVParkingFlag,ParkingSpaceCount,PartyOwner1NameFirst,PartyOwner1NameFull,PartyOwner1NameLast,PartyOwner1NameMiddle,PartyOwner1NameSuffix,PartyOwner2NameFirst,PartyOwner2NameFull,PartyOwner2NameLast,PartyOwner2NameMiddle,PartyOwner2NameSuffix,PartyOwner3NameFirst,PartyOwner3NameFull,PartyOwner3NameLast,PartyOwner3NameMiddle,PartyOwner3NameSuffix,PartyOwner4NameFirst,PartyOwner4NameFull,PartyOwner4NameLast,PartyOwner4NameMiddle,PartyOwner4NameSuffix,PatioArea,PlumbingFixturesCount,PoleStructureArea,PoleStructureFlag,PondFlag,Pool,PoolArea,PoolHouseArea,PoolHouseFlag,PorchArea,PorchCode,PoultryHouseArea,PoultryHouseFlag,PreviousAssessedValue,PropertyAddressCRRT,PropertyAddressCity,PropertyAddressFull,PropertyAddressHouseNumber,PropertyAddressInfoPrivacy,PropertyAddressState,PropertyAddressStreetDirection,PropertyAddressStreetName,PropertyAddressStreetPostDirection,PropertyAddressStreetSuffix,PropertyAddressUnitPrefix,PropertyAddressUnitValue,PropertyAddressZIP,PropertyAddressZIP4,PropertyJurisdictionName,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseMuni,PropertyUseStandardized,QuonsetArea,QuonsetFlag,RoofConstruction,RoofMaterial,RoomsAtticArea,RoomsAtticFlag,RoomsBasementArea,RoomsBasementAreaFinished,RoomsBasementAreaUnfinished,RoomsBonusRoomFlag,RoomsBreakfastNookFlag,RoomsCellarFlag,RoomsCellarWineFlag,RoomsCount,RoomsExerciseFlag,RoomsFamilyCode,RoomsGameFlag,RoomsGreatFlag,RoomsHobbyFlag,RoomsLaundryFlag,RoomsMediaFlag,RoomsMudFlag,RoomsOfficeArea,RoomsOfficeFlag,RoomsSafeRoomFlag,RoomsSittingFlag,RoomsStormShelter,RoomsStudyFlag,RoomsSunroomFlag,RoomsUtilityArea,RoomsUtilityCode,SafetyFireSprinklersFlag,SecurityAlarmFlag,ShedArea,ShedCode,SiloArea,SiloFlag,SitusCounty,SitusStateCountyFIPS,SportsCourtFlag,SprinklersFlag,StableArea,StableFlag,StatusOwnerOccupiedFlag,StorageBuildingArea,StorageBuildingFlag,StoriesCount,StructureStyle,TaxAssessedImprovementsPerc,TaxAssessedValueImprovements,TaxAssessedValueLand,TaxAssessedValueTotal,TaxBilledAmount,TaxDelinquentYear,TaxExemptionAdditional,TaxExemptionDisabledFlag,TaxExemptionHomeownerFlag,TaxExemptionSeniorFlag,TaxExemptionVeteranFlag,TaxExemptionWidowFlag,TaxFiscalYear,TaxMarketImprovementsPerc,TaxMarketValueImprovements,TaxMarketValueLand,TaxMarketValueTotal,TaxMarketValueYear,TaxRateArea,TaxYearAssessed,TennisCourtFlag,TopographyCode,TotalRecords,TrustDescription,UnitsCount,UtilitiesMobileHomeHookupFlag,UtilitiesSewageUsage,UtilitiesWaterSource,UtilityBuildingArea,UtilityBuildingFlag,ViewDescription,WaterFeatureFlag,WetBarFlag,YearBuilt,YearBuiltEffective,ZonedCodeLocal
FL,10935635,100,1,0,0,4,1,78,77,74,84,33,87,38,6,0,63,90,52,71,1,69,0,0,4,60,2,0,0,0,0,11,97,97,0,0,1,1,98,2,1,2,0,0,0,18,74,51,2,93,97,98,93,46,98,26,98,6,89,15,8,97,94,0,97,97,0,0,0,0,0,0,0,7,5,93,100,50,48,99,58,75,99,99,49,3,31,32,32,19,1,1,2,2,1,0,0,0,0,0,0,5,0,0,62,1,0,9,11,10,32,26,0,0,100,0,0,0,0,0,0,0,57,52,26,48,0,0,100,100,84,71,0,0,52,0,100,80,8,0,7,0,0,96,96,93,96,97,14,0,0,96,96,22,0,0,2,0,74,0,77,28,100,63,0,0,19,0,30,100,75,32,0,41,4,49,39,0,31,73,100,99,45,3,27,27,27,16,1,13,16,16,8,0,1,1,1,0,0,24,9,0,0,0,17,12,1,1,50,47,0,0,97,82,99,94,88,0,100,26,94,7,90,15,15,99,84,100,96,96,100,99,100,0,0,53,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,5,0,0,100,1207211,0,2,0,0,65,2,2,64,10,33,33,43,98,94,3,4,1,20,1,1,2,100,73,73,82,98,98,78,100,100,2,40025935,39,65,0,5,6,4,4,97,0,0,79,72,64
GA,4743998,100,0,0,0,3,0,79,77,67,83,21,92,27,4,0,49,79,34,55,0,72,0,0,21,57,1,0,0,0,0,9,88,88,0,0,3,3,96,4,1,4,0,1,0,17,55,35,1,91,94,94,86,65,94,5,94,12,84,6,4,94,90,0,94,94,0,0,0,0,0,0,0,15,9,88,99,56,56,98,48,81,98,98,55,4,28,29,29,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,54,44,35,53,0,0,99,0,0,0,0,0,0,0,69,70,33,40,0,0,100,100,71,54,1,1,33,0,98,67,3,0,10,0,0,0,1,77,0,95,3,0,0,86,86,0,0,0,2,0,76,1,89,17,100,75,0,0,12,1,65,100,87,78,0,42,4,45,36,0,28,80,100,99,53,4,24,24,24,15,1,8,9,9,5,0,0,0,0,0,0,35,23,1,1,0,4,4,0,0,54,15,0,0,99,81,98,96,86,0,100,5,96,13,92,3,3,98,82,100,97,97,100,96,100,0,0,52,1,5,0,18,10,15,0,0,0,0,39,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,100,1313674,0,0,0,0,75,4,4,75,45,80,80,96,99,97,0,6,0,17,3,0,0,100,80,81,96,99,98,92,100,99,46,10827852,26,70,0,41,43,6,6,95,0,0,79,41,75
HI,601447,100,0,0,0,31,9,79,77,77,70,1,70,1,3,0,43,92,35,75,1,78,0,0,18,73,0,0,0,0,0,5,100,100,0,0,0,0,99,1,1,1,0,1,0,41,67,55,0,90,94,95,78,82,94,5,95,1,75,24,22,94,90,0,93,93,0,0,0,0,0,1,1,10,9,71,100,0,0,97,45,60,99,99,52,3,10,12,12,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,76,1,0,0,1,1,67,72,0,0,100,0,0,0,0,0,0,0,59,1,0,69,0,0,100,100,76,65,0,0,8,0,85,71,9,0,1,0,0,0,0,91,0,95,6,0,0,100,100,0,0,0,1,0,94,0,97,23,100,0,0,0,1,1,2,100,87,4,0,30,17,68,30,0,54,56,100,100,45,3,6,6,6,5,0,32,45,45,27,1,1,1,1,0,0,12,74,0,0,0,15,3,0,0,56,52,0,0,98,72,99,94,85,0,100,3,94,0,91,35,35,99,75,100,95,95,100,86,100,0,0,72,0,0,0,8,6,5,0,0,0,0,76,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,100,1500359,0,0,0,0,58,0,0,78,74,74,74,92,98,93,7,2,0,12,0,0,0,99,74,74,91,98,97,94,100,99,0,22599401,48,66,0,0,0,0,0,92,0,0,79,27,98
IA,2701199,100,0,0,0,6,0,49,49,42,92,25,92,27,3,0,36,73,24,43,0,45,0,0,16,43,0,0,0,0,0,9,60,60,0,0,0,0,95,5,0,5,0,0,0,29,18,36,0,95,96,96,88,87,96,19,96,7,84,5,5,96,94,0,96,96,0,1,0,0,0,0,0,18,19,68,99,15,15,99,23,69,99,99,54,1,28,29,29,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,41,0,0,1,17,15,8,41,0,0,99,0,1,3,0,0,0,0,43,43,25,33,0,0,100,100,31,26,0,1,22,0,99,49,3,0,0,0,0,36,36,42,36,52,0,0,0,58,58,0,0,0,1,0,12,0,97,23,100,0,0,0,6,1,9,100,24,33,0,25,1,39,34,0,34,66,100,100,50,1,21,21,21,15,0,17,22,22,12,0,2,2,2,1,0,20,3,0,0,0,1,0,0,0,28,27,0,0,98,53,93,59,56,0,100,14,59,6,57,3,3,93,52,100,93,93,100,84,100,0,0,44,0,3,3,36,17,20,0,0,0,0,41,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,100,1910646,0,0,0,0,89,0,0,46,21,52,52,89,93,91,2,26,0,17,0,0,0,100,51,51,87,93,92,39,100,99,7,5359453,35,18,0,5,34,1,1,52,0,0,50,15,10
ID,1148279,100,0,0,0,20,0,58,57,29,89,3,90,4,7,0,5,32,0,0,0,50,0,0,3,50,1,0,0,0,0,2,83,83,0,0,0,0,98,2,0,2,0,0,0,28,20,14,0,96,98,98,82,88,98,48,98,9,70,6,6,98,96,0,98,98,0,0,0,0,0,0,0,6,7,62,100,0,0,96,32,73,100,100,55,2,18,19,19,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,1,25,14,2,15,0,0,99,0,0,0,0,0,0,0,45,42,21,6,0,0,100,100,49,33,2,2,50,0,100,59,2,0,2,8,0,37,37,61,37,42,2,0,0,76,76,0,0,0,1,0,13,0,99,33,100,20,0,0,8,0,16,100,38,22,0,24,2,42,38,0,37,70,100,100,46,2,10,10,10,6,0,29,33,33,17,0,0,1,1,0,0,19,8,3,3,0,2,1,0,0,15,14,0,0,96,63,95,77,73,0,100,43,77,8,67,3,3,95,63,100,90,90,100,84,100,0,0,28,0,3,1,13,9,7,0,0,0,0,17,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,100,1603481,0,1,0,0,82,0,0,45,17,64,65,80,91,89,6,8,0,21,0,0,0,100,65,65,80,90,90,12,100,100,5,7438711,38,22,0,5,5,1,1,36,0,0,59,17,23
IL,6135835,100,0,0,0,8,3,52,47,20,77,15,86,15,2,0,36,60,11,15,0,41,0,0,16,37,0,0,0,0,0,1,90,90,0,0,0,0,99,1,1,1,0,0,0,20,58,35,0,93,97,97,92,72,97,40,96,2,88,10,7,97,93,0,96,96,0,0,0,0,0,0,0,3,3,76,100,2,2,99,44,78,99,99,44,2,27,29,29,14,0,0,1,1,0,0,0,0,0,0,0,1,0,0,39,0,0,0,17,14,2,9,0,0,99,0,0,0,0,0,0,0,40,17,2,3,0,0,100,100,66,50,0,0,54,0,98,63,4,0,2,40,0,61,61,71,63,76,8,0,0,89,89,54,0,0,1,0,31,0,93,16,100,6,0,0,31,0,13,100,55,20,0,35,0,44,19,0,34,75,100,100,41,2,23,23,23,12,0,8,10,10,4,0,0,1,1,0,0,4,9,0,0,0,0,0,0,0,6,7,0,0,98,77,97,87,83,0,100,39,87,1,83,10,10,97,78,100,95,95,100,97,100,0,0,27,0,1,6,15,3,11,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,1708658,0,0,0,0,79,0,0,46,37,76,76,94,95,91,0,6,1,26,8,0,0,99,73,73,85,86,85,70,100,100,1,67190322,32,44,0,2,1,0,0,75,0,0,59,8,12
IN,3658939,100,0,0,0,0,0,69,68,68,98,52,99,52,1,0,2,84,0,0,0,62,0,0,20,60,0,0,0,0,0,2,92,92,0,0,0,0,98,2,1,2,0,0,0,21,37,61,3,96,99,98,93,89,99,43,98,13,75,4,3,99,96,0,99,99,0,0,0,0,0,0,0,1,0,36,100,0,0,86,38,78,99,99,58,3,38,38,38,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,26,26,2,33,1,1,99,0,0,1,0,0,0,0,52,65,0,0,0,0,100,100,45,44,4,4,14,0,100,59,5,0,1,0,0,46,47,55,47,97,0,0,0,91,91,10,0,0,3,0,95,0,98,9,100,99,0,0,82,0,28,100,90,89,0,53,3,56,54,0,54,76,100,100,56,3,33,33,33,23,0,6,6,6,4,0,0,0,0,0,0,7,82,0,0,0,6,5,0,0,8,0,0,0,98,76,100,99,85,0,100,43,99,12,78,2,2,100,76,100,96,96,100,99,100,0,0,63,0,7,6,32,5,31,0,0,0,0,59,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,24,0,0,100,1808788,0,0,0,0,81,0,0,69,6,71,71,94,94,91,0,6,0,13,0,0,0,100,71,72,94,94,94,94,100,100,79,9960261,28,50,0,100,99,0,0,97,0,0,73,68,13
KS,1676178,100,0,0,0,4,0,65,65,49,95,37,98,37,1,0,19,27,9,2,0,60,0,0,18,59,0,0,0,0,0,2,72,72,0,0,2,2,99,1,1,1,0,0,0,30,11,43,0,90,92,92,81,89,92,44,92,2,76,4,4,93,90,0,92,92,0,0,0,0,0,0,0,34,30,48,100,23,23,100,17,71,100,100,53,2,32,32,32,21,0,1,2,2,1,0,0,0,0,0,0,0,0,0,64,0,0,1,27,26,20,59,0,0,100,0,1,1,0,0,0,0,57,63,28,24,0,0,100,100,30,18,2,2,44,0,100,64,8,0,0,0,0,50,50,72,50,69,0,0,0,72,72,0,0,0,1,0,66,0,100,20,100,48,0,0,93,0,41,100,63,64,0,40,4,54,43,0,51,69,100,100,50,2,23,24,24,16,0,16,20,20,11,0,1,1,1,1,0,26,49,0,0,0,2,1,0,0,54,45,0,0,99,69,99,92,76,0,100,49,92,2,85,1,2,99,68,100,95,95,100,94,100,0,0,59,0,0,0,40,24,29,0,0,0,0,59,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,100,2011550,0,0,0,0,84,4,4,61,55,63,63,88,93,52,0,4,0,0,0,0,0,68,65,65,91,96,96,61,100,100,78,8229333,44,42,0,52,55,5,5,71,0,0,66,8,22
KY,2467051,100,0,0,0,1,0,61,60,16,73,13,75,17,0,0,44,63,18,24,0,47,0,0,11,38,0,0,0,0,0,3,73,73,0,0,0,0,96,4,5,4,0,0,0,16,20,30,1,93,96,95,85,89,96,8,95,2,79,3,3,96,93,0,96,96,0,0,0,0,0,0,0,7,7,85,100,30,30,99,27,86,100,100,52,4,40,41,41,19,0,1,1,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,18,13,10,42,0,0,99,0,0,0,0,0,0,0,51,52,29,4,0,0,100,100,39,29,0,0,7,0,98,41,1,0,4,0,0,0,0,40,0,38,4,0,0,69,69,0,0,0,5,0,8,1,98,16,100,76,0,0,6,0,6,100,8,33,0,11,1,42,25,0,30,83,100,100,49,4,31,31,31,14,0,14,15,15,8,0,1,1,1,0,0,13,4,0,0,0,2,1,0,0,19,20,0,0,96,74,97,96,79,0,100,8,96,2,86,3,3,97,75,100,93,93,100,32,100,0,0,48,0,0,0,15,4,6,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,2111395,0,0,0,0,83,0,0,57,9,35,35,44,95,85,2,5,1,13,0,0,0,98,34,34,43,93,93,29,100,100,25,6918068,18,23,0,18,27,0,0,37,0,0,53,1,21
LA,2698248,100,0,0,0,4,0,35,32,7,49,10,55,12,0,0,38,74,4,10,0,14,0,0,1,13,0,0,0,0,0,5,91,91,0,0,0,0,98,2,1,2,0,0,0,20,30,8,0,95,98,97,84,92,98,8,97,1,78,5,4,98,95,0,97,97,0,0,0,0,0,0,0,0,0,77,100,14,14,98,25,82,100,100,64,7,17,17,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,2,6,0,0,99,0,0,0,0,0,0,0,3,5,0,0,0,0,100,100,34,26,0,0,32,0,100,72,7,0,7,0,0,42,41,71,42,72,5,0,0,91,91,0,0,0,2,0,9,0,99,17,100,13,0,0,10,0,18,100,37,54,0,5,1,10,8,0,5,79,100,100,60,6,14,14,14,10,0,14,16,16,11,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,3,0,0,97,69,93,81,76,0,100,7,81,1,73,3,3,93,68,100,83,83,100,88,100,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2205992,0,0,0,0,84,0,1,10,1,69,69,91,99,94,4,3,0,37,0,0,0,100,68,68,89,96,96,50,100,100,0,9125372,29,37,0,0,0,0,0,70,0,0,28,0,0
MA,2582991,100,0,0,0,21,0,85,85,80,89,0,89,0,0,0,72,91,0,1,0,82,0,0,37,80,0,0,0,0,0,85,99,99,0,0,0,0,99,1,1,1,0,1,0,17,74,48,0,92,95,95,90,80,95,3,95,0,89,10,9,95,92,0,95,95,0,0,0,0,0,0,0,0,12,88,100,46,46,98,52,84,98,98,65,0,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,35,33,0,2,0,0,100,0,0,0,0,0,0,0,34,83,74,0,0,0,100,100,73,70,0,0,51,0,100,56,0,0,0,0,0,0,0,20,0,97,0,0,0,99,99,57,0,0,3,0,0,0,93,42,100,52,0,0,0,2,29,100,91,30,0,26,0,32,0,0,15,79,100,100,52,0,3,3,3,2,0,40,40,40,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,98,84,100,100,93,0,100,3,100,0,99,11,11,100,86,100,98,98,100,100,100,0,0,74,1,3,2,42,25,34,0,0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2501591,0,0,0,0,77,0,0,84,81,87,87,84,99,94,0,1,0,0,0,0,0,100,0,0,0,0,0,0,100,98,0,27910468,31,81,0,0,0,0,1,97,0,0,85,20,71
MD,2399039,100,0,0,0,0,0,84,83,82,85,17,97,22,0,0,67,93,53,71,1,76,0,0,40,0,2,0,0,0,0,1,97,97,0,0,0,0,100,0,2,0,0,0,0,19,81,27,2,97,99,99,95,94,99,6,99,2,94,10,10,99,97,0,99,99,0,0,0,0,0,0,0,35,34,98,100,56,55,98,59,83,100,100,68,7,17,17,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,83,37,0,1,0,0,100,0,0,0,0,0,0,0,88,90,3,0,0,0,100,100,80,67,0,0,41,0,100,81,13,0,5,1,0,0,15,82,0,99,1,0,0,97,97,39,0,0,3,0,4,0,98,35,100,100,0,0,0,0,47,100,95,49,0,85,3,86,40,0,38,81,100,100,58,6,15,15,15,11,0,32,34,34,22,1,0,0,0,0,0,13,0,0,0,0,5,4,0,0,39,37,0,0,99,87,99,99,91,0,100,6,99,1,98,9,9,99,88,100,94,94,100,100,100,0,0,71,0,2,0,27,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,5,0,0,100,2407130,0,0,0,0,80,0,0,75,74,36,36,46,98,95,0,4,1,38,0,1,0,100,86,86,98,98,98,97,100,100,6,20215127,25,93,0,68,30,0,0,99,0,0,85,1,76
ME,708056,100,0,0,0,20,0,62,61,35,90,0,90,0,0,0,22,50,0,1,0,54,0,0,16,51,0,0,0,0,0,44,69,69,0,0,0,0,99,1,0,1,0,1,0,13,61,17,0,91,94,94,81,77,94,3,94,1,79,5,3,94,91,0,94,94,0,0,0,0,0,0,0,0,21,84,99,25,25,96,26,86,98,98,69,1,10,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,10,10,0,2,0,0,100,0,0,0,0,0,0,0,6,52,37,0,0,0,100,100,49,29,0,0,26,0,100,81,0,0,0,0,0,0,0,17,0,90,0,0,0,69,69,0,0,0,1,0,0,0,95,44,100,39,0,0,1,2,35,100,84,40,0,16,0,18,0,0,1,84,100,100,58,1,7,7,7,5,0,38,38,38,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,78,100,98,91,0,100,3,98,1,96,5,5,100,79,100,98,98,100,90,100,0,0,46,0,4,2,18,7,15,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2301511,0,0,0,0,71,0,0,55,57,88,88,94,99,95,0,2,0,0,0,0,0,100,0,0,0,0,0,88,100,98,0,7473265,29,50,0,3,2,0,0,90,0,0,59,6,48
MI,5506716,100,0,0,0,2,0,58,57,22,82,46,85,47,0,0,41,60,16,26,1,56,0,0,21,33,0,0,0,0,0,12,85,85,0,0,0,0,98,2,0,2,0,1,0,20,52,11,2,94,97,98,93,67,97,18,98,5,90,7,4,97,94,0,97,97,0,0,0,0,0,0,0,7,7,60,99,28,28,100,36,77,99,99,42,3,33,34,34,17,0,1,3,3,1,0,1,1,1,0,0,0,0,0,36,1,0,0,26,23,1,10,0,0,99,0,0,0,0,1,0,0,32,67,20,1,0,0,100,100,58,46,0,0,19,0,100,56,3,0,0,0,0,31,31,60,31,72,12,0,0,83,83,36,0,0,1,1,2,0,90,20,100,32,0,0,0,1,19,100,20,37,0,26,0,48,43,0,42,76,100,100,40,2,26,26,26,13,0,11,14,14,6,0,1,1,1,1,0,8,10,0,0,0,3,1,0,0,19,15,0,1,98,82,99,93,85,0,100,18,93,5,89,2,2,99,82,100,97,97,100,98,100,0,0,7,0,0,0,45,6,30,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,2610223,0,1,0,0,69,0,0,48,34,9,9,15,88,72,0,7,0,34,0,0,0,86,9,9,16,88,87,19,100,99,13,27561079,33,46,0,3,4,0,0,72,0,0,56,7,56
MN,3307860,100,0,0,0,13,2,60,59,46,74,22,79,22,0,0,46,55,18,20,0,49,0,0,6,50,0,0,0,0,0,5,81,81,0,0,0,0,99,1,1,1,0,0,0,23,38,37,0,92,95,95,89,72,95,8,95,30,84,7,5,95,92,0,95,95,0,0,3,0,0,0,0,21,20,43,100,1,0,100,35,78,99,99,54,1,36,36,36,21,0,1,1,1,0,0,0,0,0,0,0,1,0,0,47,0,0,0,21,16,13,27,0,0,100,0,0,1,0,0,0,0,43,46,19,26,0,0,100,100,49,38,1,1,51,0,100,64,3,0,0,30,26,58,58,65,58,66,1,0,0,76,76,0,0,0,2,0,20,0,91,21,100,25,0,0,4,0,10,100,43,28,0,38,1,52,42,0,27,75,100,99,51,1,28,28,28,17,0,11,15,15,7,0,1,1,1,0,0,10,11,2,2,0,2,0,0,0,19,14,0,0,95,65,94,71,70,0,100,6,71,30,66,4,4,94,65,100,93,93,100,86,100,0,0,33,0,1,0,26,20,16,0,1,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,7,0,0,100,2708216,0,0,0,0,86,3,4,44,34,67,67,92,95,86,1,10,0,23,0,0,0,100,67,68,93,95,95,60,100,100,5,13104879,34,35,0,2,1,1,1,66,0,1,60,36,15
MO,3393195,100,0,0,0,20,0,69,68,39,85,42,92,43,0,0,21,74,11,31,3,52,0,0,14,45,0,0,0,0,0,3,78,78,0,0,1,1,97,3,1,3,0,0,0,24,39,27,1,96,98,98,91,85,98,27,98,1,77,5,4,98,96,0,98,98,0,0,0,0,0,0,0,13,14,84,100,26,26,95,35,76,99,99,50,3,39,39,39,23,0,1,1,1,0,0,0,0,0,0,0,0,0,0,47,3,0,0,24,20,16,27,0,0,100,0,0,1,0,0,0,0,44,48,20,13,0,0,100,100,51,40,1,1,28,0,100,65,4,0,1,3,0,39,34,64,39,58,1,0,0,78,78,0,0,0,2,0,26,0,96,10,100,27,0,0,16,0,23,100,44,30,0,27,3,41,31,0,35,73,100,99,47,3,33,34,34,20,0,6,7,7,4,0,1,1,1,0,0,22,20,0,1,0,2,1,0,0,25,27,2,2,99,70,97,85,75,0,100,25,84,1,72,3,3,97,69,100,94,94,100,57,100,0,0,25,0,1,0,24,7,14,0,0,0,0,37,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,100,2913468,0,0,0,0,81,0,0,60,35,50,50,60,96,74,0,2,0,0,0,0,0,80,54,54,69,96,96,33,100,100,19,11841059,35,43,0,19,20,5,5,57,0,0,69,8,29
