state,stateTotalRecords,ATTOMID,Area1stFloor,AreaBuilding,AreaBuildingDefinitionCode,AreaGross,AreaLotAcres,AreaLotDepth,AreaLotSF,AreaLotWidth,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BathCount,BuildingsCount,CBSACode,CBSAName,CensusBlock,CompanyFlag,CongressionalDistrictHouse,Construction,ContactOwnerMailAddressCRRT,ContactOwnerMailAddressCity,ContactOwnerMailAddressFull,ContactOwnerMailAddressHouseNumber,ContactOwnerMailAddressInfoFormat,ContactOwnerMailAddressState,ContactOwnerMailAddressStreetName,ContactOwnerMailAddressStreetSuffix,ContactOwnerMailAddressZIP,ContactOwnerMailAddressZIP4,ContactOwnerMailingCounty,ContactOwnerMailingFIPS,DeedLastDocumentNumber,DeedLastSaleDate,DeedLastSaleDocumentBook,DeedLastSaleDocumentPage,DeedLastSalePrice,DeedLastSaleTransactionID,DeedOwner1NameFirst,DeedOwner1NameFull,DeedOwner1NameLast,DeedOwner1NameMiddle,DeedOwner1NameSuffix,DeedOwner2NameFirst,DeedOwner2NameFull,DeedOwner2NameLast,DeedOwner2NameMiddle,DeedOwner2NameSuffix,Fireplace,FireplaceCount,Foundation,GeoQuality,HVACCoolingDetail,HVACHeatingDetail,HVACHeatingFuel,InteriorStructure,LastAssessorTaxRollUpdate,LastOwnershipTransferDate,LastOwnershipTransferDocumentNumber,LastOwnershipTransferTransactionID,LegalBlock1,LegalDescription,LegalLotNumber1,LegalLotNumber2,LegalQuarter,LegalQuarterQuarter,LegalRange,LegalSection,LegalSubdivision,LegalTownship,LegalTractNumber,LegalUnit,MSACode,MSAName,MetropolitanDivision,NeighborhoodCode,OwnerTypeDescription1,OwnerTypeDescription2,OwnershipVestingRelationCode,ParcelAccountNumber,ParcelNumberAlternate,ParcelNumberPrevious,ParcelNumberRaw,ParcelNumberYearAdded,ParcelNumberYearChange,ParkingCarport,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFirst,PartyOwner1NameFull,PartyOwner1NameLast,PartyOwner1NameMiddle,PartyOwner1NameSuffix,PartyOwner2NameFirst,PartyOwner2NameFull,PartyOwner2NameLast,PartyOwner2NameMiddle,PartyOwner2NameSuffix,PartyOwner3NameFirst,PartyOwner3NameFull,PartyOwner3NameLast,PartyOwner3NameMiddle,PartyOwner3NameSuffix,PatioArea,PlumbingFixturesCount,PorchArea,PorchCode,PreviousAssessedValue,PropertyAddressCRRT,PropertyAddressCity,PropertyAddressFull,PropertyAddressHouseNumber,PropertyAddressState,PropertyAddressStreetDirection,PropertyAddressStreetName,PropertyAddressStreetPostDirection,PropertyAddressStreetSuffix,PropertyAddressUnitPrefix,PropertyAddressUnitValue,PropertyAddressZIP,PropertyAddressZIP4,PropertyJurisdictionName,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseMuni,PropertyUseStandardized,RoofConstruction,RoomsBasementArea,RoomsCount,SitusCounty,StatusOwnerOccupiedFlag,StoriesCount,StructureStyle,TaxAssessedImprovementsPerc,TaxAssessedValueImprovements,TaxAssessedValueLand,TaxAssessedValueTotal,TaxBilledAmount,TaxDelinquentYear,TaxExemptionAdditional,TaxExemptionDisabledFlag,TaxExemptionHomeownerFlag,TaxExemptionSeniorFlag,TaxExemptionVeteranFlag,TaxExemptionWidowFlag,TaxFiscalYear,TaxMarketImprovementsPerc,TaxMarketValueImprovements,TaxMarketValueLand,TaxMarketValueTotal,TaxMarketValueYear,TaxRateArea,TaxYearAssessed,TennisCourtFlag,TopographyCode,TotalRecords,TrustDescription,UnitsCount,UtilitiesSewageUsage,UtilitiesWaterSource,UtilityBuildingArea,UtilityBuildingFlag,ViewDescription,YearBuilt,YearBuiltEffective,ZonedCodeLocal
MD,2399039,100,0,84,83,82,85,17,97,22,67,93,53,71,76,1,97,97,100,19,81,27,97,99,99,95,94,99,99,94,99,97,99,99,98,100,56,55,98,59,83,100,100,68,7,17,17,17,13,0,83,37,1,100,88,90,3,0,100,100,80,67,41,100,81,13,1,0,0,15,82,0,99,1,97,97,39,4,98,35,100,100,0,47,100,95,49,85,86,40,38,81,100,100,58,6,15,15,15,11,0,32,34,34,22,1,13,0,39,37,99,87,99,99,91,100,6,99,1,98,9,9,99,88,100,94,94,100,100,100,71,27,0,100,80,75,74,36,36,46,98,95,0,4,1,38,0,1,0,100,86,86,98,98,98,97,100,100,6,20215127,25,93,68,30,0,0,99,85,1,76
ME,708056,100,20,62,61,35,90,0,90,0,22,50,0,1,54,44,69,69,99,13,61,17,91,94,94,81,77,94,94,79,94,91,94,94,84,99,25,25,96,26,86,98,98,69,1,10,11,11,7,0,10,10,2,100,6,52,37,0,100,100,49,29,26,100,81,0,0,0,0,0,17,0,90,0,69,69,0,0,95,44,100,39,1,35,100,84,40,16,18,0,1,84,100,100,58,1,7,7,7,5,0,38,38,38,25,0,0,0,0,0,98,78,100,98,91,100,3,98,1,96,5,5,100,79,100,98,98,100,90,100,46,18,45,100,71,55,57,88,88,94,99,95,0,2,0,0,0,0,0,100,0,0,0,0,0,88,100,98,0,7473265,29,50,3,2,0,0,90,59,6,48
MI,5506716,100,2,58,57,22,82,46,85,47,41,60,16,26,56,12,85,85,98,20,52,11,94,97,98,93,67,97,98,90,97,94,97,97,60,99,28,28,100,36,77,99,99,42,3,33,34,34,17,0,26,23,10,99,32,67,20,1,100,100,58,46,19,100,56,3,0,0,31,31,60,31,72,12,83,83,36,2,90,20,100,32,0,19,100,20,37,26,48,43,42,76,100,100,40,2,26,26,26,13,0,11,14,14,6,0,8,10,19,15,98,82,99,93,85,100,18,93,5,89,2,2,99,82,100,97,97,100,98,100,7,45,19,100,69,48,34,9,9,15,88,72,0,7,0,34,0,0,0,86,9,9,16,88,87,19,100,99,13,27561079,33,46,3,4,0,0,72,56,7,56
MN,3307860,100,13,60,59,46,74,22,79,22,46,55,18,20,49,5,81,81,99,23,38,37,92,95,95,89,72,95,95,84,95,92,95,95,43,100,1,0,100,35,78,99,99,54,1,36,36,36,21,0,21,16,27,100,43,46,19,26,100,100,49,38,51,100,64,3,30,26,58,58,65,58,66,1,76,76,0,20,91,21,100,25,4,10,100,43,28,38,52,42,27,75,100,99,51,1,28,28,28,17,0,11,15,15,7,0,10,11,19,14,95,65,94,71,70,100,6,71,30,66,4,4,94,65,100,93,93,100,86,100,33,26,30,100,86,44,34,67,67,92,95,86,1,10,0,23,0,0,0,100,67,68,93,95,95,60,100,100,5,13104879,34,35,2,1,1,1,66,60,36,15
MO,3393195,100,20,69,68,39,85,42,92,43,21,74,11,31,52,3,78,78,97,24,39,27,96,98,98,91,85,98,98,77,98,96,98,98,84,100,26,26,95,35,76,99,99,50,3,39,39,39,23,0,24,20,27,100,44,48,20,13,100,100,51,40,28,100,65,4,3,0,39,34,64,39,58,1,78,78,0,26,96,10,100,27,16,23,100,44,30,27,41,31,35,73,100,99,47,3,33,34,34,20,0,6,7,7,4,0,22,20,25,27,99,70,97,85,75,100,25,84,1,72,3,3,97,69,100,94,94,100,57,100,25,24,37,100,81,60,35,50,50,60,96,74,0,2,0,0,0,0,0,80,54,54,69,96,96,33,100,100,19,11841059,35,43,19,20,5,5,57,69,8,29
MS,1987035,100,1,58,56,27,71,15,79,15,10,68,1,9,39,3,76,76,97,21,20,15,92,95,95,82,91,95,95,69,95,92,95,95,86,100,14,14,90,22,83,100,100,58,6,23,23,23,14,0,17,9,42,100,32,35,4,44,100,100,32,25,15,100,39,3,0,0,48,47,34,48,53,1,73,73,0,0,100,9,100,55,53,9,100,20,36,3,10,4,8,77,100,100,53,6,19,19,19,11,0,7,8,8,4,0,12,3,2,2,99,54,96,70,58,100,6,70,4,59,1,1,95,54,100,91,91,100,81,100,46,0,33,100,84,21,0,19,19,30,95,82,1,5,4,24,6,0,0,94,59,59,97,97,97,38,100,100,0,4234107,37,26,0,1,13,13,53,57,14,4
MT,969424,100,45,51,50,22,89,5,90,5,0,29,0,17,46,2,47,47,99,35,14,50,95,99,97,69,90,99,97,63,99,95,99,99,43,100,7,7,99,17,68,100,100,48,2,31,31,31,20,0,17,16,43,100,48,49,46,0,100,100,27,18,30,100,51,4,32,0,32,32,51,32,33,0,46,46,0,30,99,25,100,100,100,16,100,16,28,18,35,18,34,64,100,100,43,1,25,25,25,16,0,13,23,23,9,0,1,33,31,30,99,45,94,58,53,100,8,58,8,55,4,4,94,45,100,88,88,100,99,100,45,23,31,100,82,50,38,0,0,0,99,85,4,2,0,2,0,0,0,100,55,55,92,99,99,28,100,100,59,3530923,39,30,46,46,1,1,35,51,30,24
NC,5817386,100,2,69,67,51,87,18,93,22,52,89,16,30,63,4,90,90,98,18,47,19,97,99,99,89,91,99,99,86,99,97,99,99,96,100,41,40,98,46,83,99,99,69,6,20,20,20,13,0,42,28,50,99,59,65,37,17,100,100,62,52,31,99,63,3,0,0,0,0,64,12,84,2,88,88,0,68,98,28,100,62,40,35,100,63,47,26,32,23,15,81,100,100,63,6,17,17,17,12,0,25,27,27,18,0,21,19,41,25,98,75,97,96,82,100,7,96,5,91,3,3,97,74,100,93,93,100,81,100,41,10,24,100,71,65,48,66,67,87,98,90,4,4,0,0,0,0,0,98,69,69,90,93,92,54,100,99,20,12786017,23,50,10,11,1,1,83,69,40,68
ND,767643,100,4,15,14,2,69,11,71,11,4,6,1,1,9,0,47,47,98,25,6,7,94,98,97,79,92,98,97,73,98,94,97,97,16,100,0,0,100,12,79,100,100,45,1,38,39,39,18,0,3,2,4,99,7,5,3,4,100,100,23,12,39,100,50,1,0,0,4,4,43,4,14,1,47,47,0,4,100,16,100,1,1,8,100,7,5,1,9,3,7,71,100,100,38,1,31,31,31,15,0,11,15,15,5,0,2,0,1,1,97,33,79,37,37,100,3,37,22,36,2,2,78,33,100,82,82,100,37,100,4,5,8,100,91,11,7,33,33,81,90,85,1,6,0,0,0,0,0,93,34,34,84,91,91,7,100,100,0,2596759,33,1,0,0,0,0,13,16,1,12
NE,1203405,100,0,62,61,40,90,44,91,45,48,69,30,38,52,2,65,65,97,26,30,45,86,88,88,76,69,88,87,68,89,85,88,88,70,100,9,8,100,31,74,99,99,54,2,35,36,36,24,0,21,20,40,99,49,55,8,15,100,100,40,35,34,100,63,3,0,0,14,15,59,14,56,0,65,65,0,26,92,16,100,28,47,6,100,31,22,33,51,44,35,69,100,100,50,1,29,29,29,20,0,8,11,11,5,0,27,36,41,39,98,62,91,68,66,100,27,68,1,62,2,2,91,61,100,89,89,100,75,100,52,47,25,100,80,61,26,64,65,90,93,90,0,7,0,1,0,0,0,100,64,65,89,92,92,35,100,100,4,6954690,44,37,2,2,3,3,55,62,12,73
NH,705227,100,32,80,79,74,84,0,84,0,56,67,0,0,77,60,92,92,100,23,57,17,97,100,100,88,88,100,100,87,100,97,100,100,70,100,47,47,100,43,84,100,100,69,0,6,6,6,4,0,16,15,2,100,24,78,79,0,100,100,60,45,62,100,62,0,0,0,0,0,30,0,98,0,92,92,28,0,100,53,100,43,0,31,100,94,39,24,27,0,5,72,100,100,49,0,3,3,3,2,0,49,51,51,31,0,0,0,0,0,98,72,100,99,87,100,3,99,1,96,9,9,100,75,100,97,97,100,100,100,74,35,53,100,80,78,76,83,83,83,98,95,0,0,0,0,0,0,0,100,0,0,0,0,0,85,100,100,0,9645727,37,71,0,1,0,0,98,80,11,90
NJ,3271036,100,6,83,81,25,84,61,92,61,66,88,4,5,15,7,100,100,99,11,81,56,94,98,98,95,45,98,98,93,98,93,98,98,87,99,52,50,100,54,80,95,94,36,3,42,43,43,17,1,3,0,6,100,0,9,0,0,100,100,77,61,100,98,100,3,0,0,0,0,41,0,98,0,100,100,83,0,75,16,100,33,0,91,100,84,92,27,36,0,26,80,100,97,36,3,40,40,40,16,1,4,4,4,1,0,3,0,0,4,99,87,99,100,94,100,8,100,1,96,8,8,99,89,100,98,98,100,100,100,6,6,8,100,77,66,29,88,88,98,99,93,0,3,0,0,1,3,1,100,87,87,96,97,96,97,100,98,0,19187528,30,86,6,6,0,0,98,83,0,60
NM,1659783,100,16,42,40,23,72,6,77,6,0,20,0,1,25,2,92,92,98,21,25,8,95,98,98,78,84,99,98,68,98,95,98,98,54,100,13,13,98,20,79,100,100,51,3,33,34,34,18,0,4,1,0,100,9,9,19,14,100,100,38,22,53,100,68,12,3,3,34,34,73,34,74,38,91,91,0,8,97,13,100,68,11,21,100,56,31,6,9,8,4,76,100,100,48,3,30,30,30,16,0,8,11,11,4,0,0,10,5,6,97,48,86,58,55,100,9,58,18,49,3,3,86,47,100,74,74,100,60,100,18,0,11,100,83,29,5,51,51,84,97,90,3,11,0,8,0,4,0,100,51,51,84,97,96,8,100,100,0,11721797,31,23,7,6,0,0,68,39,5,7
NV,1303465,100,63,79,79,76,92,20,93,22,65,85,42,47,70,5,97,97,98,28,70,70,96,99,98,90,75,99,98,88,98,96,98,98,92,100,16,15,98,75,74,99,99,49,2,28,29,29,16,0,31,31,14,100,65,71,0,0,100,100,86,81,57,100,88,2,56,39,89,79,90,90,97,31,95,95,0,76,92,21,100,16,5,32,100,82,39,63,64,62,61,65,100,100,39,2,23,23,23,13,0,10,18,18,5,0,39,71,58,12,98,81,98,92,89,100,12,92,1,90,12,12,97,83,100,95,95,100,83,100,70,3,54,100,63,77,41,80,81,96,98,91,1,5,0,0,0,0,0,100,80,81,95,97,97,97,100,99,33,57623123,54,66,20,18,0,0,97,82,69,31
NY,6538468,100,38,72,67,31,85,53,87,58,22,32,4,7,49,20,95,95,99,19,71,8,95,99,99,94,83,99,99,89,99,95,99,99,45,99,25,25,99,29,81,97,97,45,3,12,12,12,4,0,19,18,11,100,17,46,42,0,100,100,66,34,99,98,99,1,0,0,0,19,32,24,93,0,95,95,49,41,95,32,100,73,9,83,100,64,83,35,41,31,31,79,100,100,36,2,10,10,10,3,0,27,30,30,14,0,7,2,37,36,99,82,99,99,90,100,10,99,2,93,15,15,99,82,100,97,97,100,100,100,5,8,18,100,81,70,48,78,78,89,91,82,0,11,2,28,10,8,0,98,71,71,82,91,90,88,100,97,6,27706503,21,63,61,61,0,0,93,70,22,70
OH,6422353,100,49,70,67,61,86,52,90,53,50,86,24,43,65,8,94,94,96,23,58,29,92,96,96,90,83,96,96,84,96,92,96,96,65,100,16,16,96,48,80,100,100,60,4,32,33,33,23,0,31,25,14,100,58,66,28,5,100,100,61,58,11,100,65,6,1,0,10,9,66,10,89,0,92,92,0,82,97,11,100,20,11,50,100,71,32,51,55,48,48,75,100,100,56,3,28,28,28,20,0,8,9,9,5,0,25,33,42,30,99,72,97,97,79,100,13,97,6,87,3,3,97,73,100,92,92,100,99,100,15,34,60,100,74,68,56,71,71,94,96,92,3,8,0,32,3,0,0,100,71,71,94,96,96,72,100,100,55,17771096,32,55,39,40,2,2,88,69,27,14
OK,2416928,100,3,66,61,55,78,23,87,24,46,83,33,59,59,2,76,76,69,24,36,42,91,95,94,79,68,96,94,71,95,90,95,95,82,100,32,32,98,38,74,99,99,48,3,35,35,35,20,0,28,26,55,100,62,66,0,0,100,100,53,48,62,100,69,9,40,1,77,77,83,77,78,3,75,75,0,33,90,18,100,99,42,25,100,49,47,41,49,40,28,71,100,100,46,3,28,28,28,16,0,9,12,12,5,0,20,0,53,44,99,60,88,67,65,100,43,67,3,61,1,1,88,59,100,83,83,100,99,100,60,7,39,100,74,64,55,65,65,93,93,91,2,7,0,18,0,0,0,100,65,65,93,94,94,42,100,100,9,10265356,39,39,0,0,6,7,78,64,20,18
OR,1995873,100,21,73,71,66,82,6,90,6,60,77,15,22,69,6,94,94,98,21,65,14,93,97,97,84,53,97,97,82,97,94,96,96,76,98,6,4,99,53,71,95,95,50,2,35,36,36,23,0,41,29,45,99,17,57,13,14,100,100,67,60,27,96,71,6,76,65,93,91,66,92,97,1,91,91,0,69,82,20,100,92,1,33,100,69,48,47,51,47,42,70,100,99,49,2,32,32,32,22,0,9,12,12,6,0,24,18,12,9,99,76,96,83,80,100,42,83,7,80,5,5,96,76,100,93,93,100,97,100,49,13,12,100,69,53,15,13,13,14,94,93,5,9,0,0,0,1,0,100,78,78,88,98,93,88,100,95,0,12873606,41,50,1,1,1,1,95,75,39,78
PA,6056555,100,1,71,68,40,90,33,93,36,56,86,20,26,60,1,95,95,99,13,60,34,95,99,99,94,80,99,99,92,99,95,99,99,91,100,23,23,99,46,88,99,99,64,5,40,40,40,27,0,21,21,4,100,40,59,35,3,100,100,62,51,33,100,57,3,0,0,0,0,38,0,88,0,95,95,26,46,92,14,100,36,21,55,100,64,48,30,37,16,23,86,100,100,61,5,36,36,36,24,0,11,12,12,7,0,9,8,13,8,99,79,98,96,85,100,15,96,1,93,3,3,98,79,100,97,97,100,97,100,15,15,57,100,78,67,43,70,71,80,89,96,2,5,0,15,0,0,0,99,74,74,85,97,96,84,100,100,34,21882520,23,55,43,45,0,1,88,69,9,38
RI,426997,100,52,83,83,83,91,0,91,0,65,85,0,0,79,88,100,100,100,15,76,30,92,96,96,92,82,96,96,91,96,93,96,96,85,100,55,55,100,59,84,99,99,66,0,5,5,5,3,0,28,28,1,100,32,82,80,0,100,100,69,63,38,100,69,0,0,0,0,0,3,0,98,0,100,100,0,0,95,40,100,95,0,52,100,94,52,35,42,0,13,80,100,100,55,0,3,3,3,2,0,37,37,37,24,0,0,0,0,0,97,84,100,100,92,100,3,100,0,99,6,6,100,87,100,98,98,100,100,100,81,53,78,100,82,83,79,87,87,90,99,94,0,1,0,0,0,0,0,100,0,0,0,0,0,0,100,99,0,13823738,33,82,0,0,0,0,98,83,10,83
SC,3117768,100,10,67,61,52,66,15,73,16,50,85,24,49,48,4,93,93,98,15,53,21,96,99,99,89,69,99,99,87,99,95,98,98,81,100,43,43,98,44,82,97,97,61,6,25,26,26,18,1,21,15,29,100,38,43,7,12,100,100,63,55,23,99,56,5,0,0,0,1,61,0,90,2,92,92,0,36,90,19,100,41,21,51,100,68,57,21,29,20,15,81,100,98,58,6,22,22,22,16,1,11,12,12,7,0,9,9,20,16,97,74,97,88,80,100,6,88,2,84,5,5,97,75,100,94,94,100,82,100,26,3,18,100,71,54,27,51,51,58,94,83,1,6,0,9,0,0,0,95,70,70,81,98,97,68,100,99,16,12728021,28,51,12,13,0,1,90,64,30,37
SD,736753,100,3,27,20,9,87,17,87,17,10,33,3,6,18,1,53,53,98,31,2,11,96,98,98,82,96,98,98,77,98,96,98,98,35,100,8,8,100,6,73,100,100,44,1,31,32,32,16,0,5,4,11,100,13,15,10,11,100,100,13,6,41,100,57,0,0,0,1,1,46,1,16,2,53,53,0,10,100,14,100,15,6,1,100,10,9,7,17,15,14,66,100,100,38,1,25,25,25,13,0,11,15,15,6,0,7,16,9,9,97,44,86,53,50,100,20,53,4,49,2,2,85,44,100,86,86,100,76,100,16,16,10,100,91,18,14,39,39,76,93,59,0,5,0,0,0,0,0,67,0,0,1,1,1,10,100,100,8,2228703,37,7,8,9,1,1,10,32,1,2
TN,3579436,100,0,77,73,72,82,54,93,55,60,96,44,77,68,3,87,87,97,13,67,12,93,98,98,90,51,98,98,87,98,92,98,98,96,100,43,41,99,54,84,97,97,56,4,39,40,40,23,1,33,27,52,100,65,66,3,39,100,100,77,67,13,100,61,17,0,0,0,0,71,0,96,1,86,86,0,31,79,20,100,17,9,24,100,81,19,39,44,33,35,82,100,98,55,4,35,35,35,21,1,7,8,8,4,0,35,55,56,47,99,78,99,100,82,100,6,100,4,95,3,3,99,79,100,97,97,100,90,100,61,18,21,100,68,72,18,64,64,79,96,96,0,3,0,0,0,0,0,100,77,77,96,99,98,16,100,99,75,11199281,37,77,71,72,10,10,96,77,64,37
TX,14114825,100,12,71,69,63,87,24,89,24,0,68,0,8,47,12,87,87,98,18,49,24,95,98,98,86,74,98,98,75,98,95,98,98,69,100,13,13,95,38,82,98,98,48,4,32,33,33,16,1,24,21,41,99,48,49,2,12,100,100,55,40,60,100,72,7,0,0,0,0,85,0,90,0,86,86,20,68,91,15,100,89,20,37,100,78,41,44,48,43,41,78,100,99,45,4,28,29,29,14,0,7,9,9,4,0,14,11,46,32,97,72,95,89,79,100,12,89,2,74,4,4,94,71,100,87,87,100,98,100,28,0,16,100,80,53,14,69,70,86,93,89,3,12,2,25,8,1,0,98,71,72,93,99,98,35,100,99,12,38860165,27,48,1,1,2,2,88,68,36,14
UT,1446678,100,0,69,66,58,93,2,97,2,0,3,0,1,53,3,87,87,99,30,48,11,95,98,98,87,68,98,98,50,98,94,97,97,70,99,34,33,99,38,71,97,97,47,1,30,32,32,17,0,24,23,12,98,46,55,3,17,100,100,72,40,15,98,67,2,0,0,32,32,71,32,72,7,87,87,0,45,95,24,100,37,2,4,100,62,7,36,37,34,11,64,100,100,41,1,24,24,24,13,0,10,16,16,5,0,21,0,35,33,98,71,93,79,78,100,68,79,34,43,6,6,92,71,100,87,87,100,60,100,50,34,48,100,81,59,42,70,70,93,96,93,2,6,0,15,0,0,0,99,71,71,95,96,94,64,100,98,27,17797925,59,46,26,25,0,0,72,69,41,39
VA,4025790,100,2,70,69,59,78,9,86,10,50,78,29,43,67,2,83,83,99,18,47,37,97,98,98,90,91,98,98,89,98,97,98,98,89,100,19,19,98,38,84,99,99,68,7,33,33,33,24,0,40,32,42,99,63,67,29,36,100,100,53,42,25,100,64,5,0,0,0,3,69,0,78,2,81,81,25,64,98,16,100,58,6,34,100,55,54,31,38,30,27,81,100,100,64,6,29,29,29,21,0,15,17,17,10,0,27,8,36,31,99,76,98,86,80,100,5,86,3,85,5,4,98,76,100,94,94,100,89,100,59,26,59,100,83,67,38,77,78,98,99,92,2,4,0,0,0,0,0,97,77,77,98,98,97,50,100,99,27,8668539,24,49,51,52,1,1,78,70,17,79
VT,353114,100,3,46,21,34,89,0,89,0,15,17,1,1,43,3,70,70,99,17,48,13,94,98,98,83,77,99,98,76,98,93,98,98,38,99,14,14,100,29,81,95,95,52,3,26,27,27,13,0,13,12,0,99,1,41,13,0,100,100,51,31,0,100,7,0,0,0,0,0,1,0,97,0,70,70,0,0,96,37,100,21,95,88,100,3,91,14,21,0,2,81,100,99,43,3,23,23,23,11,0,28,32,32,15,0,0,0,0,0,99,70,98,98,90,100,5,98,2,87,4,5,98,73,100,97,97,100,98,100,15,31,43,100,78,33,34,78,80,81,96,66,0,4,0,40,0,1,0,95,0,0,0,0,0,95,100,96,0,3291807,21,62,0,0,0,0,97,45,2,11
WA,3457433,100,28,75,73,69,88,11,89,15,52,71,31,43,67,3,93,93,99,17,62,32,89,93,94,82,51,94,93,80,93,90,93,93,74,100,2,1,100,52,80,98,98,46,1,35,36,36,21,1,49,42,30,100,26,67,37,19,100,100,71,61,39,99,75,8,62,11,84,84,74,84,95,6,92,92,40,80,80,20,100,60,13,44,100,76,34,53,60,52,55,79,100,99,45,1,30,31,31,19,1,7,8,8,4,0,28,35,34,24,90,76,96,85,81,100,30,85,30,82,7,7,96,76,100,92,92,100,87,100,49,21,15,100,71,70,38,75,76,88,96,93,4,5,1,0,1,0,0,100,77,77,90,96,95,89,100,99,20,27939875,31,61,48,48,1,2,94,76,37,57
WI,3571896,100,8,23,21,15,89,10,91,10,8,16,3,3,23,1,72,72,96,25,41,2,90,93,93,87,76,93,93,79,94,90,93,93,52,100,3,3,100,27,73,98,98,58,2,20,21,21,14,0,8,6,4,100,14,18,9,2,100,100,51,29,28,100,59,4,16,10,52,53,48,52,66,1,70,70,2,8,96,30,100,24,18,38,100,47,39,12,18,14,12,72,100,99,54,2,15,15,15,10,0,25,27,27,18,0,4,2,4,5,98,63,97,72,70,100,19,72,2,66,3,3,97,63,100,94,94,100,88,100,5,16,18,100,83,22,17,65,65,90,90,89,1,5,0,26,0,0,0,99,19,19,23,75,74,41,100,99,4,8617329,32,39,6,6,0,0,67,23,5,27
WV,1511530,100,42,45,43,40,92,37,93,37,22,46,0,0,44,1,73,73,99,17,26,20,89,93,92,73,86,93,92,70,93,89,93,93,92,100,16,16,100,16,85,100,100,64,6,36,36,36,24,0,15,15,15,99,43,42,44,0,100,100,27,17,10,96,44,9,0,0,0,0,37,0,92,0,68,68,2,85,99,5,100,46,95,4,100,92,13,7,9,3,6,82,100,100,61,6,31,32,32,21,0,6,6,6,4,0,3,43,5,0,98,41,89,91,50,100,4,91,1,75,4,2,89,41,100,80,80,100,98,100,0,6,45,100,85,45,44,60,60,95,99,85,0,12,3,14,0,0,0,100,56,56,93,93,93,92,100,100,86,4326353,22,53,85,90,0,0,92,45,0,0
WY,374856,100,0,70,69,32,88,0,88,0,0,10,0,1,62,4,68,68,98,31,18,55,95,96,96,70,89,96,96,63,96,94,96,96,35,100,19,19,98,19,74,100,100,53,2,27,27,27,17,0,17,5,12,99,22,65,10,63,100,100,36,19,40,100,65,4,0,0,25,25,60,25,46,0,64,64,0,11,99,18,100,99,81,20,100,31,25,22,43,39,42,71,100,100,48,2,22,22,22,14,0,13,17,17,8,0,5,15,38,40,96,66,95,91,80,100,21,90,1,78,6,6,95,65,100,90,90,100,94,100,64,31,34,100,74,68,48,73,74,85,96,88,2,1,0,0,0,0,0,99,73,74,85,96,96,43,100,100,4,2551917,39,29,5,6,8,8,44,71,9,8
