state,stateTotalRecords,ATTOMID,Area1stFloor,AreaBuilding,AreaBuildingDefinitionCode,AreaGross,AreaLotAcres,AreaLotDepth,AreaLotSF,AreaLotWidth,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BathCount,BuildingsCount,CBSACode,CBSAName,CensusBlock,CompanyFlag,CongressionalDistrictHouse,Construction,ContactOwnerMailAddressCRRT,ContactOwnerMailAddressCity,ContactOwnerMailAddressFull,ContactOwnerMailAddressHouseNumber,ContactOwnerMailAddressInfoFormat,ContactOwnerMailAddressState,ContactOwnerMailAddressStreetName,ContactOwnerMailAddressStreetSuffix,ContactOwnerMailAddressZIP,ContactOwnerMailAddressZIP4,ContactOwnerMailingCounty,ContactOwnerMailingFIPS,DeedLastDocumentNumber,DeedLastSaleDate,DeedLastSaleDocumentBook,DeedLastSaleDocumentPage,DeedLastSalePrice,DeedLastSaleTransactionID,DeedOwner1NameFirst,DeedOwner1NameFull,DeedOwner1NameLast,DeedOwner1NameMiddle,DeedOwner1NameSuffix,DeedOwner2NameFirst,DeedOwner2NameFull,DeedOwner2NameLast,DeedOwner2NameMiddle,DeedOwner2NameSuffix,Fireplace,FireplaceCount,Foundation,GeoQuality,HVACCoolingDetail,HVACHeatingDetail,HVACHeatingFuel,InteriorStructure,LastAssessorTaxRollUpdate,LastOwnershipTransferDate,LastOwnershipTransferDocumentNumber,LastOwnershipTransferTransactionID,LegalBlock1,LegalDescription,LegalLotNumber1,LegalLotNumber2,LegalQuarter,LegalQuarterQuarter,LegalRange,LegalSection,LegalSubdivision,LegalTownship,LegalTractNumber,LegalUnit,MSACode,MSAName,MetropolitanDivision,NeighborhoodCode,OwnerTypeDescription1,OwnerTypeDescription2,OwnershipVestingRelationCode,ParcelAccountNumber,ParcelNumberAlternate,ParcelNumberPrevious,ParcelNumberRaw,ParcelNumberYearAdded,ParcelNumberYearChange,ParkingCarport,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFirst,PartyOwner1NameFull,PartyOwner1NameLast,PartyOwner1NameMiddle,PartyOwner1NameSuffix,PartyOwner2NameFirst,PartyOwner2NameFull,PartyOwner2NameLast,PartyOwner2NameMiddle,PartyOwner2NameSuffix,PartyOwner3NameFirst,PartyOwner3NameFull,PartyOwner3NameLast,PartyOwner3NameMiddle,PartyOwner3NameSuffix,PatioArea,PlumbingFixturesCount,PorchArea,PorchCode,PreviousAssessedValue,PropertyAddressCRRT,PropertyAddressCity,PropertyAddressFull,PropertyAddressHouseNumber,PropertyAddressState,PropertyAddressStreetDirection,PropertyAddressStreetName,PropertyAddressStreetPostDirection,PropertyAddressStreetSuffix,PropertyAddressUnitPrefix,PropertyAddressUnitValue,PropertyAddressZIP,PropertyAddressZIP4,PropertyJurisdictionName,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseMuni,PropertyUseStandardized,RoofConstruction,RoomsBasementArea,RoomsCount,SitusCounty,StatusOwnerOccupiedFlag,StoriesCount,StructureStyle,TaxAssessedImprovementsPerc,TaxAssessedValueImprovements,TaxAssessedValueLand,TaxAssessedValueTotal,TaxBilledAmount,TaxDelinquentYear,TaxExemptionAdditional,TaxExemptionDisabledFlag,TaxExemptionHomeownerFlag,TaxExemptionSeniorFlag,TaxExemptionVeteranFlag,TaxExemptionWidowFlag,TaxFiscalYear,TaxMarketImprovementsPerc,TaxMarketValueImprovements,TaxMarketValueLand,TaxMarketValueTotal,TaxMarketValueYear,TaxRateArea,TaxYearAssessed,TennisCourtFlag,TopographyCode,TotalRecords,TrustDescription,UnitsCount,UtilitiesSewageUsage,UtilitiesWaterSource,UtilityBuildingArea,UtilityBuildingFlag,ViewDescription,YearBuilt,YearBuiltEffective,ZonedCodeLocal
FL,10935635,100,4,78,77,74,84,33,87,38,63,90,52,71,69,11,97,97,98,18,74,51,93,97,98,93,46,98,98,89,97,94,97,97,93,100,50,48,99,58,75,99,99,49,3,31,32,32,19,1,11,10,26,100,57,52,26,48,100,100,84,71,52,100,80,8,0,0,96,96,93,96,97,14,96,96,22,74,77,28,100,63,19,30,100,75,32,41,49,39,31,73,100,99,45,3,27,27,27,16,1,13,16,16,8,0,24,9,50,47,97,82,99,94,88,100,26,94,7,90,15,15,99,84,100,96,96,100,99,100,53,0,9,100,65,64,10,33,33,43,98,94,3,4,1,20,1,1,2,100,73,73,82,98,98,78,100,100,2,40025935,39,65,5,6,4,4,97,79,72,64
GA,4743998,100,3,79,77,67,83,21,92,27,49,79,34,55,72,9,88,88,96,17,55,35,91,94,94,86,65,94,94,84,94,90,94,94,88,99,56,56,98,48,81,98,98,55,4,28,29,29,18,1,54,44,53,99,69,70,33,40,100,100,71,54,33,98,67,3,0,0,0,1,77,0,95,3,86,86,0,76,89,17,100,75,12,65,100,87,78,42,45,36,28,80,100,99,53,4,24,24,24,15,1,8,9,9,5,0,35,23,54,15,99,81,98,96,86,100,5,96,13,92,3,3,98,82,100,97,97,100,96,100,52,18,39,100,75,75,45,80,80,96,99,97,0,6,0,17,3,0,0,100,80,81,96,99,98,92,100,99,46,10827852,26,70,41,43,6,6,95,79,41,75
HI,601447,100,31,79,77,77,70,1,70,1,43,92,35,75,78,5,100,100,99,41,67,55,90,94,95,78,82,94,95,75,94,90,93,93,71,100,0,0,97,45,60,99,99,52,3,10,12,12,7,0,1,1,72,100,59,1,0,69,100,100,76,65,8,85,71,9,0,0,0,0,91,0,95,6,100,100,0,94,97,23,100,0,1,2,100,87,4,30,68,30,54,56,100,100,45,3,6,6,6,5,0,32,45,45,27,1,12,74,56,52,98,72,99,94,85,100,3,94,0,91,35,35,99,75,100,95,95,100,86,100,72,8,76,100,58,78,74,74,74,92,98,93,7,2,0,12,0,0,0,99,74,74,91,98,97,94,100,99,0,22599401,48,66,0,0,0,0,92,79,27,98
IA,2701199,100,6,49,49,42,92,25,92,27,36,73,24,43,45,9,60,60,95,29,18,36,95,96,96,88,87,96,96,84,96,94,96,96,68,99,15,15,99,23,69,99,99,54,1,28,29,29,20,0,17,15,41,99,43,43,25,33,100,100,31,26,22,99,49,3,0,0,36,36,42,36,52,0,58,58,0,12,97,23,100,0,6,9,100,24,33,25,39,34,34,66,100,100,50,1,21,21,21,15,0,17,22,22,12,0,20,3,28,27,98,53,93,59,56,100,14,59,6,57,3,3,93,52,100,93,93,100,84,100,44,36,41,100,89,46,21,52,52,89,93,91,2,26,0,17,0,0,0,100,51,51,87,93,92,39,100,99,7,5359453,35,18,5,34,1,1,52,50,15,10
ID,1148279,100,20,58,57,29,89,3,90,4,5,32,0,0,50,2,83,83,98,28,20,14,96,98,98,82,88,98,98,70,98,96,98,98,62,100,0,0,96,32,73,100,100,55,2,18,19,19,11,0,25,14,15,99,45,42,21,6,100,100,49,33,50,100,59,2,8,0,37,37,61,37,42,2,76,76,0,13,99,33,100,20,8,16,100,38,22,24,42,38,37,70,100,100,46,2,10,10,10,6,0,29,33,33,17,0,19,8,15,14,96,63,95,77,73,100,43,77,8,67,3,3,95,63,100,90,90,100,84,100,28,13,17,100,82,45,17,64,65,80,91,89,6,8,0,21,0,0,0,100,65,65,80,90,90,12,100,100,5,7438711,38,22,5,5,1,1,36,59,17,23
IL,6135835,100,8,52,47,20,77,15,86,15,36,60,11,15,41,1,90,90,99,20,58,35,93,97,97,92,72,97,96,88,97,93,96,96,76,100,2,2,99,44,78,99,99,44,2,27,29,29,14,0,17,14,9,99,40,17,2,3,100,100,66,50,54,98,63,4,40,0,61,61,71,63,76,8,89,89,54,31,93,16,100,6,31,13,100,55,20,35,44,19,34,75,100,100,41,2,23,23,23,12,0,8,10,10,4,0,4,9,6,7,98,77,97,87,83,100,39,87,1,83,10,10,97,78,100,95,95,100,97,100,27,15,14,100,79,46,37,76,76,94,95,91,0,6,1,26,8,0,0,99,73,73,85,86,85,70,100,100,1,67190322,32,44,2,1,0,0,75,59,8,12
IN,3658939,100,0,69,68,68,98,52,99,52,2,84,0,0,62,2,92,92,98,21,37,61,96,99,98,93,89,99,98,75,99,96,99,99,36,100,0,0,86,38,78,99,99,58,3,38,38,38,27,0,26,26,33,99,52,65,0,0,100,100,45,44,14,100,59,5,0,0,46,47,55,47,97,0,91,91,10,95,98,9,100,99,82,28,100,90,89,53,56,54,54,76,100,100,56,3,33,33,33,23,0,6,6,6,4,0,7,82,8,0,98,76,100,99,85,100,43,99,12,78,2,2,100,76,100,96,96,100,99,100,63,32,59,100,81,69,6,71,71,94,94,91,0,6,0,13,0,0,0,100,71,72,94,94,94,94,100,100,79,9960261,28,50,100,99,0,0,97,73,68,13
KS,1676178,100,4,65,65,49,95,37,98,37,19,27,9,2,60,2,72,72,99,30,11,43,90,92,92,81,89,92,92,76,93,90,92,92,48,100,23,23,100,17,71,100,100,53,2,32,32,32,21,0,27,26,59,100,57,63,28,24,100,100,30,18,44,100,64,8,0,0,50,50,72,50,69,0,72,72,0,66,100,20,100,48,93,41,100,63,64,40,54,43,51,69,100,100,50,2,23,24,24,16,0,16,20,20,11,0,26,49,54,45,99,69,99,92,76,100,49,92,2,85,1,2,99,68,100,95,95,100,94,100,59,40,59,100,84,61,55,63,63,88,93,52,0,4,0,0,0,0,0,68,65,65,91,96,96,61,100,100,78,8229333,44,42,52,55,5,5,71,66,8,22
KY,2467051,100,1,61,60,16,73,13,75,17,44,63,18,24,47,3,73,73,96,16,20,30,93,96,95,85,89,96,95,79,96,93,96,96,85,100,30,30,99,27,86,100,100,52,4,40,41,41,19,0,18,13,42,99,51,52,29,4,100,100,39,29,7,98,41,1,0,0,0,0,40,0,38,4,69,69,0,8,98,16,100,76,6,6,100,8,33,11,42,25,30,83,100,100,49,4,31,31,31,14,0,14,15,15,8,0,13,4,19,20,96,74,97,96,79,100,8,96,2,86,3,3,97,75,100,93,93,100,32,100,48,15,16,100,83,57,9,35,35,44,95,85,2,5,1,13,0,0,0,98,34,34,43,93,93,29,100,100,25,6918068,18,23,18,27,0,0,37,53,1,21
LA,2698248,100,4,35,32,7,49,10,55,12,38,74,4,10,14,5,91,91,98,20,30,8,95,98,97,84,92,98,97,78,98,95,97,97,77,100,14,14,98,25,82,100,100,64,7,17,17,17,11,0,3,3,6,99,3,5,0,0,100,100,34,26,32,100,72,7,0,0,42,41,71,42,72,5,91,91,0,9,99,17,100,13,10,18,100,37,54,5,10,8,5,79,100,100,60,6,14,14,14,10,0,14,16,16,11,0,3,0,1,3,97,69,93,81,76,100,7,81,1,73,3,3,93,68,100,83,83,100,88,100,6,0,8,100,84,10,1,69,69,91,99,94,4,3,0,37,0,0,0,100,68,68,89,96,96,50,100,100,0,9125372,29,37,0,0,0,0,70,28,0,0
MA,2582991,100,21,85,85,80,89,0,89,0,72,91,0,1,82,85,99,99,99,17,74,48,92,95,95,90,80,95,95,89,95,92,95,95,88,100,46,46,98,52,84,98,98,65,0,5,5,5,3,0,35,33,2,100,34,83,74,0,100,100,73,70,51,100,56,0,0,0,0,0,20,0,97,0,99,99,57,0,93,42,100,52,0,29,100,91,30,26,32,0,15,79,100,100,52,0,3,3,3,2,0,40,40,40,25,0,0,0,0,0,98,84,100,100,93,100,3,100,0,99,11,11,100,86,100,98,98,100,100,100,74,42,77,100,77,84,81,87,87,84,99,94,0,1,0,0,0,0,0,100,0,0,0,0,0,0,100,98,0,27910468,31,81,0,0,0,1,97,85,20,71
