NAICS_CODE,TOP_CATEGORY,SUB_CATEGORY,TOTAL_POIS,ALL_POIS,OPENED_ON_PERCENT,CLOSED_ON_PERCENT,PHONE_FILL_RATE,OPEN_FILL_RATE
448140,Clothing Stores,Family Clothing Stores,24781,7952451,0.038538,0.107946,0.809168,0.785642
444220,Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores",24277,7952451,0.000494,0.152943,0.898175,0.357911
442299,Home Furnishings Stores,All Other Home Furnishings Stores,24139,7952451,0.009238,0.110485,0.893699,0.537512
622110,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,23620,7952451,0.016850,0.062235,0.472481,0.232091
453220,"Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",23272,7952451,0.004899,0.172697,0.855105,0.580139
531130,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,22866,7952451,0.076970,0.051692,0.762573,0.549156
441110,Automobile Dealers,New Car Dealers,22276,7952451,0.087269,0.033758,0.449991,0.859445
522310,Activities Related to Credit Intermediation,Mortgage and Nonmortgage Loan Brokers,21065,7952451,0.004652,0.064135,0.706717,0.377973
488410,Support Activities for Road Transportation,Motor Vehicle Towing,20949,7952451,0.000000,0.090649,0.864671,0.162872
492110,Couriers and Express Delivery Services,Couriers and Express Delivery Services,20896,7952451,0.027613,0.134715,0.737557,0.616434
6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,,20640,7952451,0.000000,0.054651,0.720882,0.192975
423730,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,19616,7952451,0.002753,0.024929,0.900591,0.256984
812990,Other Personal Services,All Other Personal Services,19551,7952451,0.000460,0.142959,0.876477,0.506726
3231,Printing and Related Support Activities,,18854,7952451,0.000000,0.069959,0.861780,0.332768
451120,"Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores",18513,7952451,0.008427,0.183925,0.900124,0.537298
713910,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,18512,7952451,0.000000,0.073520,0.663840,0.199870
811122,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,18462,7952451,0.001517,0.100693,0.851154,0.569548
562211,Waste Treatment and Disposal,Hazardous Waste Treatment and Disposal,18360,7952451,0.000000,0.012146,0.312364,0.105991
522291,Nondepository Credit Intermediation,Consumer Lending,18340,7952451,0.024155,0.179771,0.730807,0.726554
541921,"Other Professional, Scientific, and Technical Services","Photography Studios, Portrait",18278,7952451,0.000328,0.109968,0.892822,0.378816
621511,Medical and Diagnostic Laboratories,Medical Laboratories,18219,7952451,0.029091,0.070860,0.544322,0.387562
522130,Depository Credit Intermediation,Credit Unions,17919,7952451,0.000279,0.080585,0.458061,0.464367
451130,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",17906,7952451,0.000391,0.200938,0.914163,0.481403
446191,Health and Personal Care Stores,Food (Health) Supplement Stores,17643,7952451,0.005271,0.221958,0.856657,0.495721
452210,Department Stores,Department Stores,17558,7952451,0.037533,0.105251,0.745017,0.841326
441228,Other Motor Vehicle Dealers,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",17468,7952451,0.017003,0.176609,0.690062,0.517804
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals,17330,7952451,0.002020,0.079515,0.520889,0.422331
621999,Other Ambulatory Health Care Services,All Other Miscellaneous Ambulatory Health Care Services,17080,7952451,0.001815,0.098478,0.764988,0.537763
812320,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),16260,7952451,0.001538,0.123186,0.871279,0.510947
423910,Miscellaneous Durable Goods Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,16199,7952451,0.003951,0.118896,0.859806,0.456139
532111,Automotive Equipment Rental and Leasing,Passenger Car Rental,15249,7952451,0.148403,0.125057,0.729425,0.821365
611310,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",15120,7952451,0.000529,0.080820,0.662500,0.212765
519120,Other Information Services,Libraries and Archives,14987,7952451,0.000000,0.020818,0.842797,0.380797
451211,Book Stores and News Dealers,Book Stores,14981,7952451,0.001736,0.230892,0.875976,0.445965
523999,Other Financial Investment Activities,Miscellaneous Financial Investment Activities,14923,7952451,0.574214,0.006031,0.958185,0.014273
453210,"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores,14922,7952451,0.001943,0.168945,0.885002,0.522115
922120,"Justice, Public Order, and Safety Activities",Police Protection,14710,7952451,0.000000,0.010673,0.835758,0.042420
238390,Building Finishing Contractors,Other Building Finishing Contractors,14681,7952451,0.000000,0.025203,0.909475,0.184047
611691,Other Schools and Instruction,Exam Preparation and Tutoring,14516,7952451,0.004960,0.087076,0.787407,0.544778
812210,Death Care Services,Funeral Homes and Funeral Services,13505,7952451,0.000074,0.020215,0.847020,0.064272
621492,Outpatient Care Centers,Kidney Dialysis Centers,13339,7952451,0.021141,0.025639,0.353250,0.249644
922110,"Justice, Public Order, and Safety Activities",Courts,13304,7952451,0.000000,0.003758,0.887778,0.037583
451140,"Sporting Goods, Hobby, and Musical Instrument Stores",Musical Instrument and Supplies Stores,13217,7952451,0.014375,0.142695,0.911326,0.524249
448190,Clothing Stores,Other Clothing Stores,12976,7952451,0.015490,0.199137,0.846794,0.637639
453998,Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores),12343,7952451,0.003808,0.131978,0.821680,0.521753
811490,Personal and Household Goods Repair and Maintenance,Other Personal and Household Goods Repair and Maintenance,12319,7952451,0.000000,0.145466,0.881403,0.499554
453920,Other Miscellaneous Store Retailers,Art Dealers,12298,7952451,0.000000,0.153846,0.858514,0.450642
624120,Individual and Family Services,Services for the Elderly and Persons with Disabilities,12081,7952451,0.003642,0.088734,0.777916,0.346494
712110,"Museums, Historical Sites, and Similar Institutions",Museums,12056,7952451,0.000000,0.020820,0.658925,0.198656
339950,Other Miscellaneous Manufacturing,Sign Manufacturing,11873,7952451,0.002864,0.047419,0.867767,0.330582
445230,Specialty Food Stores,Fruit and Vegetable Markets,11748,7952451,0.000000,0.104954,0.724634,0.428158
312120,Beverage Manufacturing,Breweries,11522,7952451,0.000000,0.110224,0.654487,0.554852
444110,Building Material and Supplies Dealers,Home Centers,11265,7952451,0.008522,0.069685,0.778606,0.249356
424210,Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,10936,7952451,0.005486,0.067575,0.718636,0.357169
812930,Other Personal Services,Parking Lots and Garages,10798,7952451,0.001019,0.060937,0.411743,0.134377
926120,Administration of Economic Programs,Regulation and Administration of Transportation Programs,10708,7952451,0.000000,0.021386,0.532406,0.563411
812191,Personal Care Services,Diet and Weight Reducing Centers,10678,7952451,0.013579,0.148436,0.631673,0.565087
423820,"Machinery, Equipment, and Supplies Merchant Wholesalers",Farm and Garden Machinery and Equipment Merchant Wholesalers,10448,7952451,0.032064,0.043645,0.662615,0.380264
532289,Consumer Goods Rental,All Other Consumer Goods Rental,10372,7952451,0.003567,0.087929,0.789722,0.601138
722320,Special Food Services,Caterers,9986,7952451,0.000200,0.151512,0.869117,0.415682
811113,Automotive Repair and Maintenance,Automotive Transmission Repair,9954,7952451,0.003416,0.144364,0.883665,0.467149
442210,Home Furnishings Stores,Floor Covering Stores,9952,7952451,0.011455,0.076065,0.894393,0.434184
444120,Building Material and Supplies Dealers,Paint and Wallpaper Stores,9925,7952451,0.020453,0.036977,0.878892,0.767355
621320,Offices of Other Health Practitioners,Offices of Optometrists,9841,7952451,0.017478,0.027538,0.553196,0.756122
445292,Specialty Food Stores,Confectionery and Nut Stores,9761,7952451,0.021822,0.250487,0.850425,0.545026
512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),9709,7952451,0.012669,0.098156,0.697806,0.380987
522298,Nondepository Credit Intermediation,All Other Nondepository Credit Intermediation,9491,7952451,0.001580,0.161311,0.877357,0.617954
