"MSA Code",,
"MSA Code",State,"MSA Name"
7880,Illinois,"SPRINGFIELD                                                                                                                                           "
7040,Illinois,"ST.LOUIS (MO-IL)                                                                                                                                      "
1020,Indiana,"BLOOMINGTON                                                                                                                                           "
1640,Indiana,"CINCINNATI (OH-KY-IN)                                                                                                                                 "
2330,Indiana,"ELKHART-GOSHEN                                                                                                                                        "
2440,Indiana,"EVANSVILLE-HENDERSON (IN-KY)                                                                                                                          "
2760,Indiana,"FORT WAYNE                                                                                                                                            "
2960,Indiana,"GARY                                                                                                                                                  "
3480,Indiana,"INDIANAPOLIS                                                                                                                                          "
3850,Indiana,"KOKOMO                                                                                                                                                "
3920,Indiana,"LAFAYETTE                                                                                                                                             "
4520,Indiana,"LOUISVILLE (KY-IN)                                                                                                                                    "
5280,Indiana,"MUNCIE                                                                                                                                                "
7800,Indiana,"SOUTH BEND                                                                                                                                            "
8320,Indiana,"TERRE HAUTE                                                                                                                                           "
1360,Iowa,"CEDAR RAPIDS                                                                                                                                          "
1960,Iowa,"DAVENPORT-MOLINE-ROCK ISLAND (IA-IL)                                                                                                                  "
2120,Iowa,"DES MOINES                                                                                                                                            "
2200,Iowa,"DUBUQUE                                                                                                                                               "
3500,Iowa,"IOWA CITY                                                                                                                                             "
5920,Iowa,"OMAHA (NE-IA)                                                                                                                                         "
7720,Iowa,"SIOUX CITY (IA-NE)                                                                                                                                    "
8920,Iowa,"WATERLOO-CEDAR FALLS                                                                                                                                  "
3760,Kansas,"KANSAS CITY (MO-KS)                                                                                                                                   "
4150,Kansas,"LAWRENCE                                                                                                                                              "
8440,Kansas,"TOPEKA                                                                                                                                                "
9040,Kansas,"WICHITA                                                                                                                                               "
1640,Kentucky,"CINCINNATI (OH-KY-IN)                                                                                                                                 "
1660,Kentucky,"CLARKSVILLE-HOPKINSVILLE (TN-KY)                                                                                                                      "
2440,Kentucky,"EVANSVILLE-HENDERSON (IN-KY)                                                                                                                          "
3400,Kentucky,"HUNTINGTON-ASHLAND (WV-KY-OH)                                                                                                                         "
4280,Kentucky,"LEXINGTON                                                                                                                                             "
4520,Kentucky,"LOUISVILLE (KY-IN)                                                                                                                                    "
5990,Kentucky,"OWENSBORO                                                                                                                                             "
0220,Louisiana,"ALEXANDRIA                                                                                                                                            "
0760,Louisiana,"BATON ROUGE                                                                                                                                           "
3350,Louisiana,"HOUMA                                                                                                                                                 "
3880,Louisiana,"LAFAYETTE                                                                                                                                             "
3960,Louisiana,"LAKE CHARLES                                                                                                                                          "
5200,Louisiana,"MONROE                                                                                                                                                "
5560,Louisiana,"NEW ORLEANS                                                                                                                                           "
7680,Louisiana,"SHREVEPORT-BOSSIER CITY                                                                                                                               "
0730,Maine,"BANGOR                                                                                                                                                "
4240,Maine,"LEWISTON-AUBURN                                                                                                                                       "
6400,Maine,"PORTLAND                                                                                                                                              "
6450,Maine,"PORTSMOUTH-ROCHESTER (NH-ME)                                                                                                                          "
0720,Maryland,"BALTIMORE                                                                                                                                             "
1900,Maryland,"CUMBERLAND (MD-WV)                                                                                                                                    "
3180,Maryland,"HAGERSTOWN                                                                                                                                            "
8840,Maryland,"WASHINGTON (DC-MD-VA-WV)                                                                                                                              "
9160,Maryland,"WILMINGTON-NEWARK (DE-MD)                                                                                                                             "
0740,Massechusetts,"BARNSTABLE-YARMOUTH                                                                                                                                   "
1120,Massechusetts,"BOSTON (MA-NH)                                                                                                                                        "
1200,Massechusetts,"BROCKTON                                                                                                                                              "
2600,Massechusetts,"FITCHBURG-LEOMINSTER                                                                                                                                  "
4160,Massechusetts,"LAWRENCE (MA-NH)                                                                                                                                      "
4560,Massechusetts,"LOWELL (MA-NH)                                                                                                                                        "
5400,Massechusetts,"NEW BEDFORD                                                                                                                                           "
6320,Massechusetts,"PITTSFIELD                                                                                                                                            "
6480,Massechusetts,"PROVIDENCE-FALL RIVER-WARWICK (RI-MA)                                                                                                                 "
8000,Massechusetts,"SPRINGFIELD                                                                                                                                           "
9240,Massechusetts,"WORCESTER (MA-CT)                                                                                                                                     "
0440,Michigan,"ANN ARBOR                                                                                                                                             "
0870,Michigan,"BENTON HARBOR                                                                                                                                         "
2160,Michigan,"DETROIT                                                                                                                                               "
