,,MLS Analytics Layout - Technical Details,"Version
1",,
No.,ATTOM Field Name,Notes / Reference Links -  NOTE: Not all fields/rows will contain details,Table:,"SQL Server
184,Photo21,,,,
185,Photo22,,,,
186,Photo23,,,,
187,Photo24,,,,
188,Photo25,,,,
189,Photo26,,,,
190,Photo27,,,,
191,Photo28,,,,
192,Photo29,,,,
193,Photo30,,,,
194,PlumbingFixturesCount,,,,
195,ConstructionFireResistanceClass,,,,
196,SafetyFireSprinklersFlag,,,,
197,FlooringMaterialPrimary,,,,
198,BathCount,"BathCount.. values may include any of the following:
     -   Bath count provided by the county / source with no altering.. thus 4 or 4.25 or 4.5
     -   Bath count derived from county / source thus 3 full plus 2 half = 5",,,
199,BathPartialCount,"BathPartialCount.. values represent a whole number for each room, regardless of the number of fixtures in that room… thus:
     -   one ¼ bath and
     -   two ½ baths would equal
     -   THREE total rooms… (one + two = THREE)
          (the fraction is not summed.  It is the ROOM COUNTER that is summed)",,,
200,BedroomsCount,,,,
201,RoomsCount,,,,
202,StoriesCount,,,,
203,UnitsCount,,,,
204,RoomsBonusRoomFlag,,,,
205,RoomsBreakfastNookFlag,,,,
206,RoomsCellarFlag,,,,
207,RoomsCellarWineFlag,,,,
208,RoomsExerciseFlag,,,,
209,RoomsFamilyCode,,,,
210,RoomsGameFlag,,,,
211,RoomsGreatFlag,,,,
212,RoomsHobbyFlag,,,,
213,RoomsLaundryFlag,,,,
214,RoomsMediaFlag,,,,
215,RoomsMudFlag,,,,
216,RoomsOfficeArea,,,,
217,RoomsOfficeFlag,,,,
218,RoomsSafeRoomFlag,,,,
219,RoomsSittingFlag,,,,
220,RoomsStormShelter,,,,
221,RoomsStudyFlag,,,,
222,RoomsSunroomFlag,,,,
223,RoomsUtilityArea,,,,
224,RoomsUtilityCode,,,,
225,Fireplace,,,,
226,FireplaceCount,,,,
227,AccessabilityElevatorFlag,,,,
228,AccessabilityHandicapFlag,,,,
229,EscalatorFlag,,,,
230,CentralVacuumFlag,,,,
231,ContentIntercomFlag,,,,
232,ContentSoundSystemFlag,,,,
233,WetBarFlag,,,,
234,SecurityAlarmFlag,,,,
235,StructureStyle,,,,
236,Exterior1Code,,,,
237,RoofMaterial,,,,
238,RoofConstruction,,,,
239,ContentStormShutterFlag,,,,
240,ContentOverheadDoorFlag,,,,
241,ViewDescription,,,,
242,PorchCode,,,,
243,PorchArea,,,,
244,PatioArea,,,,
245,DeckFlag,,,,
246,DeckArea,,,,
247,FeatureBalconyFlag,,,,
248,BalconyArea,,,,
249,BreezewayFlag,,,,
250,ParkingRVParkingFlag,,,,
251,ParkingSpaceCount,,,,
252,DrivewayArea,,,,
253,DrivewayMaterial,,,,
254,Pool,,,,
255,PoolArea,,,,
256,ContentSaunaFlag,,,,
257,TopographyCode,,,,
258,FenceCode,,,,
259,FenceArea,,,,
260,CourtyardFlag,,,,
261,CourtyardArea,,,,
262,ArborPergolaFlag,,,,
263,SprinklersFlag,,,,
264,GolfCourseGreenFlag,,,,
265,TennisCourtFlag,,,,
266,SportsCourtFlag,,,,
267,ArenaFlag,,,,
268,WaterFeatureFlag,,,,
269,PondFlag,,,,
270,BoatLiftFlag,,,,
271,BuildingsCount,,,,
272,BathHouseArea,,,,
273,BathHouseFlag,,,,
274,BoatAccessFlag,,,,
275,BoatHouseArea,,,,
276,BoatHouseFlag,,,,
277,CabinArea,,,,
278,CabinFlag,,,,
279,CanopyArea,,,,
280,CanopyFlag,,,,
281,GazeboArea,,,,
282,GazeboFlag,,,,
283,GraineryArea,,,,
284,GraineryFlag,,,,
285,GreenHouseArea,,,,
286,GreenHouseFlag,,,,
287,GuestHouseArea,,,,
288,GuestHouseFlag,,,,
289,KennelArea,,,,
290,KennelFlag,,,,
291,LeanToArea,,,,
292,LeanToFlag,,,,
293,LoadingPlatformArea,,,,
294,LoadingPlatformFlag,,,,
295,MilkHouseArea,,,,
296,MilkHouseFlag,,,,
297,OutdoorKitchenFireplaceFlag,,,,
298,PoolHouseArea,,,,
299,PoolHouseFlag,,,,
300,PoultryHouseArea,,,,
301,PoultryHouseFlag,,,,
302,QuonsetArea,,,,
303,QuonsetFlag,,,,
304,ShedArea,,,,
305,ShedCode,,,,
306,SiloArea,,,,
307,SiloFlag,,,,
308,StableArea,,,,
309,StableFlag,,,,
310,StorageBuildingArea,,,,
311,StorageBuildingFlag,,,,
312,UtilityBuildingArea,,,,
313,UtilityBuildingFlag,,,,
314,PoleStructureArea,,,,
315,PoleStructureFlag,,,,
316,CommunityRecRoomFlag,,,,
317,PublicationDate,,,,
318,ParcelShellRecord,,,,
