unit_id,geog_id,geog_type,latitude,longitude,ISP,Technology,Download,Upload,down_mean,down_50%,down_min,down_max,up_mean,up_50%,up_min,up_max,latency,lossrate,jitter_down,numTest
38966433,61070020022,blockgroup,36.323282,-119.327781,Comcast,Cable,25.0,3.0,29.16,29.76,20.96,29.99,3.53,3.56,2.92,3.63,17,0.03,0.59,301
38966445,60411070005,blockgroup,38.032873,-122.540927,Comcast,Cable,75.0,5.0,47.58,9.42,8.4,94.12,5.79,5.91,3.27,5.99,13,0.09,0.31,356
38966461,60190044064,blockgroup,36.850201,-119.779103,Comcast,Cable,100.0,5.0,117.23,119.01,101.0,119.46,5.82,5.91,3.39,5.99,17,0.04,0.25,91
38966465,60014042003,blockgroup,37.834848,-122.232379,Comcast,Cable,100.0,5.0,118.52,119.04,99.0,119.36,5.85,5.91,4.82,5.99,11,0.02,0.23,212
38966485,6075016700,tract,37.77143,-122.435986,Comcast,Cable,1000.0,35.0,906.19,937.32,29.63,942.34,40.48,41.15,5.31,41.83,11,0.04,0.42,403
38966489,60855033273,blockgroup,37.304839,-121.781039,Comcast,Cable,1000.0,35.0,888.63,933.03,520.24,941.1,35.05,39.33,13.11,41.59,12,0.08,0.35,219
38966501,361190109021,blockgroup,41.060959,-73.778387,Optimum,Cable,300.0,35.0,328.82,331.29,257.49,348.74,35.46,35.54,29.13,35.7,10,0.04,0.49,167
38966529,60133462041,blockgroup,37.820063,-121.964113,Comcast,Cable,75.0,5.0,87.38,89.2,73.07,89.52,5.73,5.87,1.59,6.03,15,0.82,0.5,264
38966581,51310101023,blockgroup,35.215031,-94.197482,Cox,Cable,200.0,10.0,229.55,230.95,135.53,238.12,9.56,9.6,1.19,9.66,22,0.01,0.32,360
38966585,440050414002,blockgroup,41.534065,-71.141455,Cox,Cable,200.0,10.0,232.93,236.2,137.15,239.14,9.46,9.58,4.8,9.87,18,0.2,0.41,309
38966593,201730056002,blockgroup,37.576232,-97.313144,Cox,Cable,200.0,10.0,234.7,235.84,210.3,238.51,9.56,9.58,7.87,9.8,29,0.04,0.35,297
39011025,360470594024,blockgroup,40.596806,-73.944056,Optimum,Cable,200.0,35.0,147.3,148.12,6.6,169.64,34.92,35.37,29.25,36.63,12,0.06,0.43,297
39011053,60375734032,blockgroup,33.795942,-118.161042,Frontier,Fiber,200.0,200.0,199.22,200.02,177.92,201.91,201.81,201.84,198.7,205.98,3,0.02,0.36,261
39011057,60710099182,blockgroup,34.524959,-117.33702,Frontier,Fiber,200.0,200.0,202.37,204.23,176.3,204.84,201.71,203.33,192.65,204.21,7,0.04,0.67,239
39011089,121010321131,blockgroup,28.17693,-82.314334,Frontier,Fiber,75.0,75.0,81.97,82.19,73.31,83.87,73.19,72.21,53.1,86.27,16,0.01,0.57,322
39011093,484391137091,blockgroup,32.884993,-97.089133,Frontier,Fiber,75.0,75.0,82.02,82.15,75.02,82.36,75.45,75.43,62.33,77.25,7,0.04,0.71,329
39011101,55077960400,tract,43.703189,-89.481099,Frontier,DSL,24.0,1.0,21.77,21.87,11.34,22.04,1.54,1.53,1.42,1.64,32,0.05,0.52,353
39011113,131530212051,blockgroup,32.489285,-83.708774,Windstream,DSL,12.0,1.5,12.35,13.7,4.65,13.77,1.34,1.35,1.01,1.45,23,0.15,2.16,313
39011117,120890505043,blockgroup,30.453788,-81.978271,Windstream,DSL,12.0,1.0,11.29,11.28,5.49,12.12,0.93,0.94,0.45,1.02,21,0.05,0.83,356
39011137,60855063013,blockgroup,37.320308,-121.961181,Comcast,Cable,75.0,5.0,88.3,89.27,41.7,89.57,5.87,5.91,5.25,5.99,9,0.13,0.28,308
39011141,60855066051,blockgroup,37.297132,-121.966,Comcast,Cable,175.0,5.0,200.87,204.8,33.34,208.89,5.81,5.82,3.02,5.98,13,0.22,0.17,286
39011145,60730139032,blockgroup,32.70426,-116.994658,Cox,Cable,200.0,10.0,228.26,233.12,104.84,237.94,10.16,10.23,6.57,10.51,16,0.18,0.31,228
39011149,40190040613,blockgroup,32.10738,-110.682306,Cox,Cable,200.0,10.0,206.47,227.22,13.82,238.18,9.43,9.8,0.64,9.91,34,0.37,0.37,263
39011157,361231503021,blockgroup,42.621816,-77.301848,Frontier,DSL,12.0,1.0,11.4,11.43,8.63,11.63,1.02,1.02,0.95,1.1,23,0.01,0.57,360
39011161,340130078001,blockgroup,40.727896,-74.166191,Optimum,Cable,300.0,35.0,280.46,284.5,149.63,285.9,35.36,35.49,32.95,35.67,12,0.05,0.49,349
39287697,361031349081,blockgroup,40.86736,-73.183108,Verizon,Fiber,100.0,100.0,99.6,99.91,85.74,100.51,115.39,115.48,108.46,115.86,14,0.02,0.42,299
39287721,24510280500,tract,39.294505,-76.600559,Comcast,Cable,25.0,3.0,29.71,29.77,23.85,29.84,3.53,3.54,3.0,3.64,12,0.03,0.36,347
39287725,60014382031,blockgroup,37.620449,-122.067729,Comcast,Cable,300.0,10.0,354.74,357.25,12.02,357.86,11.73,11.86,3.62,12.09,26,0.03,0.2,288
39287729,240098602001,blockgroup,38.670536,-76.661203,Comcast,Cable,1000.0,35.0,793.82,930.88,0.06,937.06,41.15,41.05,40.56,42.04,14,0.01,0.33,7
39287733,54077964101,tract,39.599226,-79.550914,Frontier,DSL,12.0,1.0,11.03,11.45,0.57,11.64,0.7,0.7,0.47,0.78,19,0.08,2.45,234
39356997,371690704004,blockgroup,36.361944,-80.362212,Windstream,DSL,10.0,0.768,9.44,9.82,6.6,9.96,0.86,0.87,0.78,0.9,26,0.04,1.62,37
39357073,60650452171,blockgroup,33.733069,-116.247856,Frontier,Fiber,75.0,75.0,78.86,79.62,48.66,82.78,75.82,74.47,8.06,86.19,11,0.05,1.51,136
39357109,210890404002,blockgroup,38.479133,-82.770088,Windstream,DSL,12.0,1.0,13.01,13.61,5.27,13.77,1.23,1.28,0.69,1.45,30,0.09,0.91,96
39357141,40190041262,blockgroup,31.956626,-110.762304,Cox,Cable,200.0,10.0,186.05,184.5,106.83,237.36,9.73,9.78,9.2,9.83,43,0.03,0.41,50
39357145,40138170001,blockgroup,33.240264,-111.664177,Cox,Cable,200.0,10.0,220.98,227.74,0.56,238.23,9.68,9.72,8.91,9.91,43,0.25,0.37,334
39357161,400173010032,blockgroup,35.455926,-97.749206,Cox,Cable,200.0,10.0,230.58,236.22,155.14,239.01,9.25,9.57,0.07,9.77,14,0.55,0.26,264
39485861,410510089042,blockgroup,45.470082,-122.542675,CenturyLink,Fiber,1000.0,1000.0,475.15,479.26,22.86,772.17,901.54,918.66,48.24,927.16,9,0.02,0.68,603
39485865,41051003702,tract,45.566269,-122.667672,CenturyLink,Fiber,1000.0,1000.0,761.06,803.27,442.52,872.54,644.96,743.55,100.15,843.03,8,0.0,0.17,441
39485869,80310040061,blockgroup,39.673629,-104.944817,CenturyLink,Fiber,1000.0,1000.0,783.79,893.87,196.93,929.59,853.16,860.73,699.95,902.09,8,0.01,0.09,566
39485893,271230333001,blockgroup,44.949109,-93.178262,CenturyLink,Fiber,1000.0,1000.0,438.89,393.54,1.33,838.06,857.12,864.69,510.9,913.59,12,0.01,0.19,316
39485897,80310051023,blockgroup,39.685937,-104.926612,CenturyLink,Fiber,1000.0,1000.0,779.42,872.33,334.25,897.61,788.28,896.18,80.63,925.67,8,0.02,0.07,156
39485901,490490102103,blockgroup,40.392635,-111.736424,CenturyLink,DSL,80.0,10.0,77.22,78.66,34.89,79.9,9.29,9.73,7.16,10.15,19,0.02,0.29,713
39485909,530330282002,blockgroup,47.462665,-122.282456,CenturyLink,DSL,80.0,40.0,80.28,81.22,16.45,82.6,47.11,46.54,44.74,48.02,27,0.01,1.16,984
39485921,80590120593,blockgroup,39.573705,-105.094742,CenturyLink,Fiber,1000.0,1000.0,802.33,884.59,17.44,921.59,910.91,923.2,618.14,932.81,10,0.06,0.67,582
39485925,300310005063,blockgroup,45.690754,-111.089331,CenturyLink,Fiber,1000.0,1000.0,385.64,352.18,178.79,764.07,802.18,822.64,424.43,933.83,21,0.0,0.04,608
39485941,530330030002,blockgroup,47.688685,-122.376321,CenturyLink,Fiber,1000.0,1000.0,858.09,886.3,571.54,920.53,922.08,924.55,863.91,933.65,5,0.0,0.06,404
39485949,4013619000,tract,33.65081,-112.057657,CenturyLink,DSL,80.0,40.0,92.97,94.13,4.77,95.17,47.18,46.97,39.35,48.14,27,0.01,0.47,1025
39485953,20107955200,tract,38.136222,-94.783191,CenturyLink,DSL,25.0,2.0,25.25,25.63,2.39,26.26,0.98,0.96,0.25,1.54,47,0.47,0.4,821
39485957,270370607324,blockgroup,44.799555,-93.128234,CenturyLink,Fiber,1000.0,1000.0,807.95,852.93,499.55,930.56,919.92,923.3,874.4,934.46,14,0.01,0.06,518
39485973,4013110501,tract,33.490714,-112.080081,CenturyLink,DSL,80.0,10.0,76.45,79.27,14.46,79.95,9.84,9.78,4.52,10.38,27,0.12,0.52,642
39485981,40130610353,blockgroup,33.616493,-112.348641,CenturyLink,DSL,100.0,10.0,95.71,99.37,33.58,102.46,10.02,9.99,9.39,10.37,19,0.03,0.37,775
39485989,270530260145,blockgroup,44.866716,-93.500171,CenturyLink,DSL,40.0,2.0,38.95,39.75,0.09,39.93,1.7,1.8,0.69,2.1,19,0.1,0.21,1069
39485997,410510036012,blockgroup,45.574535,-122.656309,CenturyLink,Fiber,1000.0,1000.0,508.89,514.62,203.93,565.08,638.79,791.66,47.85,898.4,8,0.01,0.1,566
39486017,370479312011,blockgroup,34.143447,-78.868095,CenturyLink,DSL,100.0,100.0,99.39,100.29,74.58,100.78,100.81,99.93,93.31,102.25,21,0.0,0.07,401
39486025,55057100600,tract,43.70333,-90.249609,CenturyLink,DSL,80.0,10.0,74.48,75.17,47.72,82.16,9.1,9.0,5.18,10.31,36,0.04,0.23,504
39486029,120710102034,blockgroup,26.688471,-81.949842,CenturyLink,Fiber,1000.0,1000.0,707.03,831.96,20.8,926.0,894.13,896.85,674.98,938.91,11,0.04,0.08,601
39486033,8035014133,tract,39.53965,-104.980618,CenturyLink,DSL,80.0,10.0,78.61,79.85,13.04,80.18,9.8,9.75,5.17,10.14,34,0.04,0.61,995
39486045,121199112041,blockgroup,28.881889,-82.007946,CenturyLink,DSL,80.0,10.0,74.6,79.95,25.92,80.77,9.94,9.98,9.01,10.47,22,0.1,0.16,549
39486049,160010102291,blockgroup,43.701014,-116.425854,CenturyLink,Fiber,1000.0,1000.0,626.5,637.3,500.54,714.64,765.74,791.94,398.86,877.83,18,0.03,0.09,62
39486061,530330107023,blockgroup,47.543833,-122.374272,CenturyLink,Fiber,1000.0,1000.0,791.81,837.02,269.55,918.21,921.71,924.01,838.48,933.54,8,0.0,0.06,585
39486065,120210107021,blockgroup,26.104732,-81.76072,CenturyLink,DSL,100.0,10.0,81.42,84.97,4.88,99.18,49.85,49.73,31.58,52.22,38,0.04,0.43,854
39486069,35001000601,tract,35.09215,-106.568301,CenturyLink,DSL,80.0,10.0,81.16,81.97,35.4,82.28,10.1,10.02,9.11,10.41,38,0.02,0.27,1011
39486073,120210108013,blockgroup,26.098954,-81.734232,CenturyLink,DSL,100.0,10.0,101.91,102.98,39.8,103.34,10.13,10.07,7.65,10.44,23,0.02,0.34,759
39486081,50719518003,blockgroup,35.448324,-93.603342,CenturyLink,DSL,25.0,2.0,25.2,25.95,2.13,26.1,1.8,1.8,0.43,2.08,44,0.1,0.61,1070
39486089,271370106022,blockgroup,46.946441,-92.236031,CenturyLink,Fiber,1000.0,1000.0,403.35,421.38,147.69,655.66,884.31,894.39,577.39,930.75,20,0.04,0.05,154
39486101,13029920307,tract,31.846857,-81.242934,CenturyLink,DSL,25.0,2.0,24.91,25.03,14.05,25.17,1.89,1.89,1.54,1.98,44,0.02,0.37,1037
39486113,121199114024,blockgroup,28.844788,-81.990473,CenturyLink,DSL,100.0,50.0,100.22,100.33,74.18,100.8,38.8,38.82,25.8,40.34,18,0.02,0.15,971
39486117,40138169021,blockgroup,33.253027,-111.608297,CenturyLink,Fiber,1000.0,1000.0,571.19,580.85,220.62,670.01,714.8,792.8,32.1,931.95,12,0.13,0.13,609
39486121,410510018022,blockgroup,45.517884,-122.609863,CenturyLink,Fiber,1000.0,1000.0,440.48,492.88,70.5,768.87,791.13,910.57,75.42,922.49,8,0.02,0.09,514
39486125,40131041002,blockgroup,33.614288,-112.120723,CenturyLink,DSL,80.0,10.0,81.94,81.98,65.26,82.33,10.13,10.05,9.63,10.42,30,0.01,0.27,921
39486141,490351130223,blockgroup,40.553555,-111.992456,CenturyLink,Fiber,1000.0,1000.0,343.99,329.61,9.97,649.88,815.35,878.04,10.48,929.55,15,0.08,0.71,555
39486145,120970432082,blockgroup,28.222377,-81.307153,CenturyLink,DSL,100.0,100.0,99.82,100.32,79.61,100.86,67.62,66.82,61.64,69.18,16,0.01,0.13,707
39486149,40131167251,blockgroup,33.295293,-112.054619,CenturyLink,DSL,100.0,10.0,93.31,96.2,34.96,99.92,9.59,9.59,8.16,10.11,17,0.03,0.21,858
39486153,291833120032,blockgroup,38.839124,-90.928117,CenturyLink,Fiber,1000.0,1000.0,461.86,477.44,213.93,542.0,675.21,681.37,202.6,833.89,18,0.02,0.11,502
39486157,35029000500,tract,32.285829,-107.77717,CenturyLink,DSL,12.0,0.896,13.72,13.85,8.02,15.29,0.68,0.69,0.51,0.76,44,0.51,0.42,599
39486165,40131109021,blockgroup,33.485949,-112.002318,CenturyLink,DSL,100.0,10.0,93.96,95.64,66.83,96.34,9.94,9.93,9.49,10.2,36,0.01,1.03,856
39486173,80140314012,blockgroup,39.988825,-105.046401,CenturyLink,Fiber,1000.0,1000.0,768.22,872.56,229.0,897.23,920.17,921.41,347.39,934.17,10,0.0,0.06,500
39486177,270030507112,blockgroup,45.193899,-93.275121,CenturyLink,Fiber,1000.0,1000.0,832.41,868.82,506.99,930.32,917.46,916.3,570.25,933.84,15,0.0,0.05,592
39486181,390897591011,blockgroup,39.968728,-82.491946,CenturyLink,DSL,25.0,2.0,29.95,33.5,16.55,35.06,1.78,1.79,1.23,2.09,34,0.01,0.46,948
39486185,120730024193,blockgroup,30.607204,-84.237396,CenturyLink,DSL,25.0,2.0,22.89,23.25,8.61,24.78,1.57,1.57,0.9,1.71,57,0.03,0.44,506
39486189,191530101021,blockgroup,41.713127,-93.513261,CenturyLink,Fiber,1000.0,1000.0,666.72,735.53,15.19,853.22,20.8,14.46,5.64,880.98,15,0.03,1.24,448
39486197,40131111002,blockgroup,33.481754,-111.973723,CenturyLink,DSL,80.0,10.0,79.61,79.87,56.79,80.18,9.95,9.88,9.3,10.23,30,0.02,0.3,999
39486201,320030058721,blockgroup,36.181681,-115.363151,CenturyLink,DSL,100.0,50.0,94.03,99.15,1.42,106.9,46.36,46.62,26.43,52.48,12,0.07,1.31,669
39486213,530330061001,blockgroup,47.648729,-122.319797,CenturyLink,Fiber,1000.0,1000.0,524.96,567.3,31.68,854.83,909.01,921.91,303.74,925.97,6,0.06,0.08,609
39486237,530330107012,blockgroup,47.544196,-122.363273,CenturyLink,Fiber,1000.0,1000.0,788.13,877.74,38.92,914.13,883.24,922.08,333.36,929.96,18,0.04,0.56,55
39486245,370499610032,blockgroup,35.045381,-77.030724,CenturyLink,Fiber,1000.0,1000.0,438.12,403.1,163.26,775.5,921.17,927.39,369.85,934.22,15,0.03,0.05,555
39486265,550539603003,blockgroup,44.407345,-91.001653,CenturyLink,DSL,80.0,10.0,82.55,81.95,65.71,84.92,13.63,13.51,12.05,13.94,23,0.01,0.37,832
39486281,160010019002,blockgroup,43.593725,-116.266194,CenturyLink,DSL,80.0,40.0,78.91,80.66,23.52,81.97,31.09,31.33,29.94,32.71,37,0.01,0.92,1034
39486289,160050006001,blockgroup,42.834063,-112.394412,CenturyLink,DSL,100.0,50.0,85.6,89.08,21.27,94.89,47.24,46.74,44.7,48.16,42,0.02,0.27,879
39486293,12027010200,tract,27.221848,-81.855122,CenturyLink,DSL,25.0,2.0,24.85,24.87,8.21,26.19,1.96,1.97,1.29,2.07,40,0.06,0.69,970
39486301,410670301061,blockgroup,45.524621,-122.772804,CenturyLink,DSL,40.0,5.0,38.26,33.02,19.29,46.57,4.65,4.64,4.06,4.98,28,0.04,0.25,900
39486305,29205450300,tract,39.761112,-92.235173,CenturyLink,DSL,25.0,2.0,24.64,24.78,12.77,26.35,1.99,1.96,1.62,2.26,38,0.08,0.96,667
39486313,410510033022,blockgroup,45.552264,-122.658701,CenturyLink,Fiber,1000.0,1000.0,526.49,507.36,242.55,755.54,919.77,923.84,865.22,932.21,8,0.0,0.06,111
39486317,120830008092,blockgroup,28.976841,-82.004553,CenturyLink,Fiber,1000.0,1000.0,465.56,455.12,114.48,697.91,926.08,930.71,757.99,940.77,11,0.01,0.09,354
