unit_id,geog_id,geog_type,latitude,longitude,ISP,Technology,Download,Upload,down_mean,down_50%,down_min,down_max,up_mean,up_50%,up_min,up_max,latency,lossrate,jitter_down,numTest
447,42003473100,tract,40.391591,-80.049656,Verizon,Fiber,75.0,75.0,81.38,82.19,4.23,86.37,88.59,88.76,81.54,89.14,11,0.02,1.15,351
477,340076033014,blockgroup,39.935827,-75.020504,Verizon,Fiber,50.0,50.0,56.69,56.92,47.67,57.23,62.68,62.72,55.32,63.29,13,0.01,0.94,348
522,511539014031,blockgroup,38.766116,-77.501589,Verizon,Fiber,50.0,50.0,55.41,55.44,48.72,57.22,62.69,62.73,53.55,63.11,13,0.01,0.89,333
562,4013108400,tract,33.501323,-112.022745,Cox,Cable,10.0,1.0,11.53,11.89,7.4,11.95,0.94,0.95,0.64,1.2,22,0.2,1.28,246
566,330110195021,blockgroup,42.897465,-71.679147,Comcast,Cable,100.0,5.0,96.47,112.27,22.57,118.79,5.53,6.0,3.3,6.26,20,0.04,0.85,313
595,36059518900,tract,40.769232,-73.538651,Optimum,Cable,100.0,35.0,114.33,114.8,93.76,116.3,34.94,34.37,31.42,36.67,9,0.19,0.89,190
636,480850316331,blockgroup,33.067761,-96.730877,Frontier,Fiber,75.0,75.0,81.71,82.12,68.27,82.67,85.28,85.87,48.14,85.96,8,0.01,1.29,349
687,6037214800,tract,34.072017,-118.372757,Charter,Cable,60.0,5.0,69.95,70.15,23.43,70.31,5.84,5.85,2.41,6.02,14,0.07,0.92,289
767,8041004100,tract,38.763163,-104.746727,Comcast,Cable,70.0,5.0,81.76,82.93,32.37,83.89,5.73,5.92,1.69,6.18,15,0.1,1.02,232
782,120759705021,blockgroup,29.37775,-82.508839,CenturyLink,DSL,10.0,0.768,7.94,9.43,1.79,9.8,0.61,0.61,0.36,0.73,31,0.37,2.1,250
786,360470355003,blockgroup,40.664353,-73.935763,Optimum,Cable,100.0,35.0,114.5,114.93,92.95,116.38,36.23,36.34,29.96,36.61,15,0.05,0.89,308
810,25001013400,tract,41.736667,-70.438201,Comcast,Cable,25.0,3.0,28.22,29.49,14.53,30.21,3.49,3.51,2.75,3.79,19,0.18,1.08,361
866,90034977001,blockgroup,41.796712,-72.772385,Comcast,Cable,100.0,5.0,116.29,116.23,78.63,120.46,5.99,6.0,3.29,6.23,22,0.02,0.77,355
870,60816102013,blockgroup,37.483458,-122.222035,Comcast,Cable,75.0,5.0,88.25,89.13,32.02,90.1,5.48,5.89,1.97,6.05,27,0.02,0.97,281
925,291019609002,blockgroup,38.618272,-93.856015,CenturyLink,DSL,4.0,0.512,2.46,2.5,1.01,2.76,0.27,0.26,0.06,0.44,58,0.1,7.85,335
1014,340390321013,blockgroup,40.665379,-74.242611,Verizon,Fiber,100.0,100.0,98.22,99.7,70.19,100.23,117.72,118.4,41.23,118.78,12,0.05,1.1,360
1026,60650432114,blockgroup,33.5692,-117.176632,Frontier,Fiber,100.0,100.0,97.57,97.92,82.82,99.81,117.41,118.37,101.97,120.98,7,0.03,0.76,215
1074,120174512001,blockgroup,28.757385,-82.249196,CenturyLink,DSL,1.5,0.256,1.2,1.16,0.31,1.49,0.24,0.24,0.12,0.28,81,0.02,7.22,209
1117,360290146031,blockgroup,42.994103,-78.678384,Verizon DSL,DSL,3.0,0.768,2.7,2.77,1.15,2.81,0.62,0.64,0.22,0.69,27,0.03,43.61,334
1220,60590994151,blockgroup,33.698876,-118.027984,Frontier,Fiber,50.0,50.0,56.56,57.06,37.53,57.33,60.74,60.73,51.79,61.02,7,0.01,1.06,348
1234,220330040241,blockgroup,30.390537,-91.20264,Cox,Cable,50.0,3.0,59.39,59.59,49.42,59.79,2.89,2.93,2.48,3.04,21,0.03,0.89,72
5207,360650253005,blockgroup,43.039664,-75.278784,Charter,Cable,20.0,2.0,22.72,23.3,16.36,23.41,2.29,2.3,2.13,2.49,28,0.01,1.15,310
5216,481210216122,blockgroup,33.001409,-96.904235,Frontier,Fiber,50.0,50.0,55.56,56.92,35.47,57.46,62.84,63.24,40.87,63.35,7,0.02,1.34,357
5235,26121000401,tract,43.228049,-86.216555,Comcast,Cable,25.0,3.0,27.91,29.16,8.59,29.97,3.46,3.48,2.87,3.76,19,0.01,1.13,346
5291,55089650104,tract,43.31203,-87.978992,Charter,Cable,60.0,5.0,62.79,70.12,0.65,70.42,5.85,5.85,4.58,6.06,14,0.77,1.16,291
5321,37067004104,tract,36.16503,-80.362933,Charter,Cable,60.0,5.0,69.99,70.14,62.06,70.25,5.86,5.86,5.23,6.11,25,0.05,0.99,347
5351,39113002600,tract,39.746903,-84.148352,Charter,Cable,60.0,5.0,69.89,70.13,54.85,70.27,5.87,5.88,3.59,6.23,24,0.05,0.88,313
5407,340130210002,blockgroup,40.836149,-74.246677,Verizon,Fiber,50.0,50.0,56.86,56.93,41.14,57.18,69.79,69.97,28.63,71.03,11,0.01,1.14,339
5440,240338067082,blockgroup,38.999641,-76.887001,Comcast,Cable,100.0,5.0,115.37,118.39,52.77,120.15,5.82,5.92,2.51,6.01,12,0.03,0.9,355
5521,24031701222,tract,39.040609,-77.116441,Verizon,Fiber,100.0,100.0,99.6,99.84,82.49,100.16,118.38,118.49,109.89,118.79,13,0.02,0.89,272
5728,530530712123,blockgroup,47.13605,-122.272974,CenturyLink,DSL,40.0,5.0,48.67,49.82,18.01,51.13,5.6,5.61,5.2,5.76,22,0.03,0.91,186
5734,8031004104,tract,39.75656,-104.912622,Comcast,Cable,75.0,5.0,88.32,88.96,80.08,90.37,5.86,5.94,3.23,6.15,13,0.01,0.86,305
5767,60590423133,blockgroup,33.468993,-117.701507,Cox,Cable,50.0,3.0,58.07,59.48,27.79,59.88,3.0,3.08,1.95,3.32,12,0.15,1.3,287
5822,530330101011,blockgroup,47.570538,-122.293255,CenturyLink,DSL,40.0,5.0,83.05,84.52,63.13,85.78,8.92,9.03,7.22,9.1,3,0.05,0.76,351
5831,191530004003,blockgroup,41.632408,-93.622342,Mediacom,Cable,100.0,10.0,129.16,129.81,115.06,131.45,15.77,17.26,12.32,18.2,15,0.0,0.78,350
5844,410333606011,blockgroup,42.4579,-123.325743,Charter,Cable,30.0,4.0,32.86,33.39,23.95,34.24,4.37,4.41,2.94,4.55,22,0.01,1.59,339
5851,40131041001,blockgroup,33.62179,-112.120173,CenturyLink,DSL,10.0,0.768,8.63,9.61,3.27,9.82,0.48,0.48,0.29,0.8,42,0.02,11.88,359
5859,80050067074,blockgroup,39.5865,-104.892653,CenturyLink,DSL,15.0,0.75,13.5,13.81,7.01,14.46,0.63,0.63,0.49,0.83,19,0.01,1.01,248
5871,81010017001,blockgroup,38.251684,-104.646968,Comcast,Cable,105.0,10.0,110.01,110.38,87.2,124.45,11.79,11.9,4.61,11.97,13,0.05,0.94,175
5875,510594812021,blockgroup,38.938058,-77.373863,Verizon,Fiber,100.0,100.0,97.77,99.29,32.07,100.33,116.71,118.6,53.97,119.37,13,0.01,1.36,367
5953,48167720200,tract,29.514263,-95.183937,Comcast,Cable,105.0,10.0,110.93,111.33,88.48,124.77,11.84,11.86,10.64,12.03,19,0.02,0.93,199
5968,250214195002,blockgroup,42.211916,-70.981987,Verizon,Fiber,75.0,75.0,80.32,81.85,53.98,82.32,87.88,88.7,71.71,89.08,12,0.01,1.35,147
6007,481210203172,blockgroup,33.077897,-97.208023,Frontier,Fiber,50.0,50.0,55.7,56.66,35.83,57.05,62.1,62.4,49.7,62.5,10,0.02,0.98,332
6027,8001008545,tract,39.934886,-104.951117,CenturyLink,DSL,120.0,10.0,102.48,107.58,17.63,114.22,9.92,9.99,5.4,10.2,18,0.02,0.9,226
6053,410390026004,blockgroup,44.089321,-123.163433,CenturyLink,DSL,40.0,5.0,40.4,40.43,32.35,40.49,5.07,5.08,4.68,5.13,15,0.01,0.81,362
6098,511539013063,blockgroup,38.652761,-77.45479,Verizon,Fiber,100.0,100.0,99.68,99.89,90.15,100.45,118.54,118.6,117.02,118.91,10,0.01,0.87,310
6099,41039004700,tract,44.033261,-123.094561,Comcast,Cable,70.0,5.0,82.65,83.12,71.61,83.57,5.81,5.84,5.03,5.96,17,0.01,0.8,301
6106,40131032143,blockgroup,33.615371,-111.956243,CenturyLink,DSL,7.0,0.896,7.47,7.78,2.42,7.83,0.63,0.63,0.43,0.78,37,0.04,1.42,266
6167,420410117004,blockgroup,40.171482,-77.032674,Verizon,Fiber,75.0,75.0,81.78,81.91,73.15,82.29,91.1,91.1,90.0,91.33,16,0.02,0.98,353
6196,41051002901,tract,45.551387,-122.592498,Comcast,Cable,3.0,2.0,3.55,3.56,2.89,3.65,2.4,2.4,2.1,2.8,17,0.03,1.06,334
6241,9009186100,tract,41.328267,-72.773514,CenturyLink,DSL,80.0,10.0,76.43,78.33,24.96,79.75,9.85,9.87,8.74,10.34,14,0.02,1.11,249
6278,483090037012,blockgroup,31.446323,-97.094146,Charter,Cable,25.0,3.0,24.21,24.51,21.62,24.57,2.43,2.44,2.18,2.5,20,0.02,1.12,262
6536,4013071903,tract,33.588599,-112.212105,Cox,Cable,50.0,3.0,59.37,59.52,43.41,59.88,2.93,2.94,2.54,3.02,21,0.06,0.76,358
6568,350010047582,blockgroup,35.192302,-106.732445,Comcast,Cable,75.0,5.0,87.62,89.15,64.05,89.78,5.92,5.94,2.09,6.01,24,0.01,0.8,354
6651,26111290700,tract,43.620334,-84.190542,Charter,Cable,30.0,4.0,33.95,34.25,28.54,34.31,4.54,4.55,3.71,4.63,17,0.02,0.94,245
6737,420710115032,blockgroup,40.048491,-76.411628,Comcast,Cable,100.0,5.0,107.05,107.34,73.88,119.24,5.89,5.92,5.43,5.98,23,0.0,0.83,271
6770,17201001500,tract,42.2589,-89.044993,Comcast,Cable,25.0,3.0,29.12,29.71,9.54,29.79,3.45,3.46,0.86,3.72,14,0.08,1.05,206
6795,260810118013,blockgroup,43.00733,-85.598412,Comcast,Cable,25.0,3.0,29.0,29.59,2.55,29.98,3.47,3.5,3.04,3.79,23,0.07,0.99,203
7035,480270205003,blockgroup,31.10482,-97.3356,Charter,Cable,25.0,3.0,23.89,23.94,22.29,24.51,2.44,2.45,1.96,2.5,22,0.01,1.03,264
7060,15003009302,tract,21.498152,-158.023332,Charter,Cable,30.0,5.0,34.69,35.02,18.24,35.13,4.71,4.67,4.41,4.98,70,0.03,1.28,144
7149,290190010043,blockgroup,38.933081,-92.281666,Mediacom,Cable,60.0,5.0,78.76,79.8,3.2,80.94,5.96,5.72,1.84,12.87,30,0.22,1.12,332
7211,40131036072,blockgroup,33.614425,-112.039456,Cox,Cable,50.0,3.0,58.11,59.5,11.52,59.98,2.92,2.91,2.55,3.2,21,0.41,0.89,219
7262,40130927153,blockgroup,33.519837,-112.215949,Cox,Cable,10.0,1.0,10.7,11.42,3.12,11.93,0.94,0.95,0.52,1.04,48,1.45,1.25,244
7268,360650209001,blockgroup,43.101004,-75.248134,Charter,Cable,25.0,2.0,24.48,24.51,22.33,24.58,2.33,2.32,2.1,2.67,29,0.03,1.18,341
7368,310550074064,blockgroup,41.245077,-96.125053,CenturyLink,DSL,40.0,20.0,41.04,41.53,28.1,41.74,11.83,11.89,10.45,12.13,13,0.02,0.74,365
7516,90034925001,blockgroup,41.697634,-72.677247,Frontier,DSL,24.0,3.0,30.54,31.29,16.77,31.4,3.21,3.26,0.82,3.31,30,0.18,0.85,362
7523,180390005012,blockgroup,41.58534,-85.875216,Comcast,Cable,100.0,5.0,118.81,118.93,112.63,120.78,5.95,5.95,4.48,6.14,17,0.01,0.86,334
7550,51750010202,tract,37.125336,-80.578356,Verizon DSL,DSL,7.1,0.768,6.06,6.07,2.9,6.63,0.56,0.59,0.34,0.65,36,0.04,1.33,331
7554,26125157100,tract,42.549891,-83.35049,Comcast,Cable,100.0,5.0,140.13,137.29,103.33,198.11,11.11,11.88,4.94,12.13,15,0.02,0.94,193
7611,271630709091,blockgroup,44.989656,-92.95116,CenturyLink,DSL,40.0,2.0,34.01,32.66,2.04,39.87,1.55,1.82,0.61,2.12,19,0.11,1.22,359
7637,350010001082,blockgroup,35.127821,-106.507344,Comcast,Cable,105.0,10.0,113.08,113.59,64.51,123.12,11.9,11.91,11.63,12.18,28,0.01,0.76,341
7723,12009066600,tract,28.165457,-80.594187,Charter,Cable,60.0,5.0,84.99,86.08,16.76,87.87,7.17,7.19,4.37,7.44,28,0.08,1.36,352
7749,40131036072,blockgroup,33.614425,-112.039456,CenturyLink,DSL,40.0,5.0,39.62,40.47,24.68,40.56,5.05,5.07,4.85,5.14,18,0.05,0.86,324
7774,311530102064,blockgroup,41.113499,-95.953035,CenturyLink,DSL,40.0,2.0,40.21,40.81,22.74,40.96,3.02,3.04,2.27,3.14,18,0.03,0.83,243
7842,250173593031,blockgroup,42.491441,-71.280906,Verizon,Fiber,75.0,75.0,81.85,82.09,59.66,82.52,87.28,85.87,70.28,90.81,15,0.02,1.28,349
7871,150030086271,blockgroup,21.45388,-158.071831,Charter,Cable,60.0,5.0,35.02,32.36,0.41,70.27,5.81,5.83,4.32,6.0,62,4.14,1.24,299
7937,510131012001,blockgroup,38.870173,-77.137403,Verizon,Fiber,100.0,100.0,99.72,99.98,92.16,100.09,119.73,120.15,105.96,121.27,7,0.22,0.83,338
7994,120950171111,blockgroup,28.422457,-81.624144,CenturyLink,DSL,25.0,2.0,21.2,22.55,9.22,24.5,1.6,1.64,0.69,1.74,59,0.07,2.87,342
8071,361031347042,blockgroup,40.892381,-73.257185,Verizon,Fiber,75.0,75.0,77.95,80.52,3.38,82.06,80.34,81.22,46.87,85.91,9,0.04,1.6,341
8075,8041004701,tract,38.923124,-104.782114,CenturyLink,DSL,80.0,10.0,78.42,79.47,20.95,79.82,9.99,9.99,9.41,10.09,15,0.02,1.1,329
8105,481210214162,blockgroup,33.138463,-97.099392,Frontier,Fiber,75.0,75.0,76.51,79.29,31.89,82.56,85.65,85.76,81.65,85.93,4,0.01,1.43,346
8106,510190301013,blockgroup,37.404707,-79.303394,Charter,Cable,25.0,2.0,23.26,23.37,18.75,23.43,2.23,2.24,1.78,2.55,29,0.02,1.93,339
8143,482014545041,blockgroup,29.774226,-95.691511,Comcast,Cable,75.0,15.0,83.56,85.83,38.88,90.88,17.03,17.58,8.13,17.87,32,0.2,1.65,333
8144,371510302012,blockgroup,35.702905,-79.80797,Charter,Cable,20.0,2.0,22.3,22.56,4.12,23.41,2.32,2.33,0.73,2.39,30,0.13,1.16,360
8325,27053022400,tract,44.953017,-93.368964,Comcast,Cable,75.0,5.0,87.26,89.11,5.71,89.82,5.93,5.96,4.03,6.04,19,0.03,0.89,335
8402,370319709031,blockgroup,34.671023,-76.993925,Charter,Cable,60.0,5.0,69.43,70.0,63.9,70.24,5.82,5.8,5.45,6.02,29,0.02,1.8,29
8776,271630710253,blockgroup,44.908578,-92.934368,CenturyLink,DSL,100.0,10.0,91.37,95.48,17.0,98.66,9.84,10.01,5.12,10.18,17,0.03,1.0,128
8850,25021422800,tract,42.250638,-70.941354,Comcast,Cable,100.0,5.0,115.15,117.08,72.65,120.31,6.04,6.05,5.18,6.27,18,0.02,0.86,343
8860,24510080101,tract,39.325379,-76.575084,Comcast,Cable,3.0,2.0,3.54,3.56,1.46,3.61,2.38,2.38,1.38,2.55,14,0.06,0.98,356
8943,150090310021,blockgroup,20.883621,-156.501889,Charter,Cable,60.0,5.0,68.85,70.12,6.19,70.27,5.77,5.82,3.59,6.05,64,0.02,1.02,270
8955,60371151012,blockgroup,34.238889,-118.51212,Charter,Cable,20.0,2.0,23.09,23.35,16.73,23.42,2.16,2.17,1.87,2.33,15,0.03,1.54,84
8962,340258002004,blockgroup,40.41092,-74.02077,Verizon,Fiber,15.0,15.0,23.94,23.95,21.07,24.23,14.86,14.85,13.98,15.67,13,0.01,0.94,352
8996,37063002013,tract,35.891215,-78.910704,Charter,Cable,60.0,5.0,67.85,70.15,2.13,70.28,5.91,5.9,5.55,6.1,22,0.03,1.03,297
9019,27037060508,tract,44.809946,-93.089758,CenturyLink,DSL,40.0,5.0,33.37,36.4,10.69,40.73,2.82,2.92,1.55,3.14,33,0.06,1.26,46
9116,420710125024,blockgroup,40.204129,-76.106343,Windstream,DSL,100.0,50.0,59.47,65.32,18.54,76.88,25.37,30.6,9.49,30.76,11,0.1,0.88,343
9143,320030005183,blockgroup,36.163035,-115.089243,Cox,Cable,10.0,1.0,11.79,11.89,6.84,11.95,0.99,0.99,0.85,1.13,16,0.12,1.15,290
9241,360594065012,blockgroup,40.723091,-73.619182,Optimum,Cable,100.0,35.0,114.75,114.97,102.66,116.3,36.39,36.45,34.87,36.68,10,0.23,0.81,306
9370,90010205003,blockgroup,41.086333,-73.574301,Frontier,DSL,6.0,1.0,40.35,49.64,4.92,49.78,40.97,50.95,0.62,51.14,21,0.03,0.83,349
9555,34021001300,tract,40.240825,-74.791179,Verizon,Fiber,100.0,100.0,98.47,98.94,79.74,100.21,118.36,118.37,117.14,119.43,12,0.03,1.04,315
9632,132150106051,blockgroup,32.489212,-84.896927,Mediacom,Cable,60.0,5.0,79.19,79.92,62.83,80.32,5.98,5.74,4.14,9.8,24,1.84,0.8,345
9650,60376211022,blockgroup,33.85832,-118.388144,Charter,Cable,30.0,5.0,34.63,35.07,13.36,35.13,4.65,4.67,3.45,4.81,13,0.02,1.25,334
9661,40130506171,blockgroup,33.410053,-112.587035,CenturyLink,DSL,30.0,1.5,32.43,33.17,6.11,34.49,1.61,1.57,1.39,2.04,43,0.03,1.55,292
9672,360470161003,blockgroup,40.681317,-73.972627,Verizon,Fiber,100.0,100.0,97.2,98.93,60.53,99.98,116.61,117.6,27.26,118.57,13,0.06,1.1,350
9723,270370610074,blockgroup,44.728428,-93.151231,Frontier,DSL,25.0,2.0,22.17,23.3,0.3,23.55,1.85,1.87,0.66,2.13,30,0.28,1.6,341
9746,120110202131,blockgroup,26.243333,-80.227898,Comcast,Cable,3.0,2.0,3.4,3.56,1.79,3.59,2.38,2.39,1.97,2.64,18,0.31,2.76,163
9760,270530269111,blockgroup,45.206555,-93.565233,Comcast,Cable,100.0,5.0,114.29,115.62,74.57,119.45,6.03,6.04,5.34,6.25,21,0.03,0.79,255
9846,550791601012,blockgroup,42.914398,-87.885483,Charter,Cable,20.0,2.0,21.63,22.62,6.77,23.45,2.31,2.32,1.64,2.39,20,0.04,5.49,353
9907,180050101001,blockgroup,39.212565,-85.917082,Comcast,Cable,25.0,2.0,29.5,29.73,21.95,29.98,2.36,2.37,2.06,2.44,22,0.0,1.36,305
9916,170898545041,blockgroup,41.787511,-88.447046,Mediacom,Cable,60.0,5.0,85.87,79.92,77.75,134.76,6.42,5.71,5.52,14.99,15,0.03,1.24,343
9938,210670041062,blockgroup,37.96374,-84.525233,Charter,Cable,20.0,2.0,23.11,23.37,19.88,23.43,2.32,2.32,2.09,2.41,30,0.06,1.51,312
9961,290190015081,blockgroup,38.991266,-92.297805,Mediacom,Cable,60.0,5.0,79.49,79.77,74.64,79.96,5.75,5.71,5.36,11.11,29,0.04,0.87,334
9967,371590518022,blockgroup,35.59204,-80.686625,Windstream,DSL,50.0,1.5,41.76,42.49,24.17,42.64,2.37,2.37,2.19,2.52,15,0.02,0.86,209
10013,171430015001,blockgroup,40.716795,-89.562657,Comcast,Cable,3.0,2.0,3.56,3.56,3.34,3.64,2.38,2.38,2.3,2.44,15,0.0,0.9,332
10060,191530112062,blockgroup,41.605572,-93.763964,Mediacom,Cable,60.0,5.0,89.91,90.96,17.56,93.27,11.62,11.59,4.17,17.62,18,0.05,0.84,360
10090,190490504002,blockgroup,41.842334,-94.107334,Mediacom,Cable,100.0,10.0,124.93,129.49,80.97,131.69,12.78,11.67,2.45,18.53,18,0.29,0.78,333
10152,360670160011,blockgroup,42.947809,-76.258494,Charter,Cable,30.0,4.0,34.46,35.04,26.26,35.13,4.63,4.65,4.11,4.95,38,0.0,1.84,313
10167,211130606002,blockgroup,37.919306,-84.6451,Windstream,DSL,100.0,25.0,107.87,108.94,80.14,110.39,20.92,20.99,18.89,21.09,18,0.07,0.94,344
10181,171379518004,blockgroup,39.728228,-90.242371,Mediacom,Cable,60.0,5.0,93.18,80.0,38.71,132.82,7.92,5.86,5.5,16.56,24,0.04,1.0,343
10219,360790105003,blockgroup,41.472085,-73.720784,Charter,Cable,60.0,5.0,56.98,57.09,51.76,57.18,5.71,5.72,4.7,5.99,27,0.03,0.93,364
10239,133130008022,blockgroup,34.78309,-85.02726,Windstream,DSL,25.0,1.5,25.83,25.89,22.85,25.9,1.39,1.4,1.26,1.42,9,0.01,0.83,355
10347,420034751021,blockgroup,40.337353,-80.034541,Verizon,Fiber,50.0,50.0,56.84,57.08,53.16,57.39,63.26,63.27,60.93,63.54,18,0.0,1.09,286
10358,25017373100,tract,42.355924,-71.184065,Charter,Cable,60.0,5.0,69.78,70.1,63.02,70.83,5.88,5.88,5.09,6.1,15,0.35,0.97,335
10389,25001012002,tract,41.657598,-70.203756,Comcast,Cable,100.0,5.0,118.44,118.92,86.27,120.12,5.93,5.94,5.02,6.02,19,0.02,0.79,344
10428,420792127001,blockgroup,41.270202,-75.901186,Verizon DSL,DSL,7.1,0.768,3.62,3.78,1.28,4.22,0.65,0.66,0.42,0.72,56,0.12,8.15,203
10454,240450106032,blockgroup,38.433449,-75.558027,Cox,Cable,50.0,3.0,54.72,59.42,21.61,59.88,2.96,2.93,1.89,3.3,15,0.04,0.87,336
10458,360130351001,blockgroup,42.547719,-79.163047,Verizon DSL,DSL,3.0,0.768,2.7,2.77,1.69,2.81,0.49,0.49,0.35,0.68,27,0.04,2.56,302
10474,61110059012,blockgroup,34.167373,-118.949279,Charter,Cable,20.0,2.0,22.81,23.35,3.06,23.41,2.21,2.24,1.71,2.47,17,0.02,1.58,202
10569,10510302004,blockgroup,32.693083,-86.116977,Windstream,DSL,12.0,0.768,12.22,12.31,7.59,12.37,0.72,0.71,0.65,0.94,28,0.02,0.98,326
10571,25017382400,tract,42.273766,-71.357335,Verizon,Fiber,100.0,100.0,97.1,99.72,57.76,100.88,118.34,118.37,117.16,118.63,13,0.01,1.11,364
10626,310550074522,blockgroup,41.215205,-96.191217,Optimum,Cable,75.0,35.0,74.03,88.93,9.97,93.31,36.07,36.27,24.68,36.62,13,0.21,1.04,280
10856,60710100161,blockgroup,34.440632,-117.344417,Frontier,DSL,15.0,1.0,14.62,14.65,14.19,15.02,0.61,0.61,0.57,0.64,13,0.01,1.22,7
10861,530110423003,blockgroup,45.637325,-122.675512,Comcast,Cable,35.0,5.0,41.61,41.65,34.61,41.92,5.9,5.97,2.99,6.23,15,0.01,0.83,365
10985,36003951201,tract,42.067083,-78.159573,Charter,Cable,20.0,2.0,22.23,23.08,12.83,23.4,2.17,2.23,0.04,2.37,43,0.13,5.66,124
11094,340270437001,blockgroup,40.785309,-74.467797,Verizon,Fiber,100.0,100.0,97.78,99.29,69.97,100.55,117.53,118.85,87.88,119.53,13,0.02,1.09,349
11106,18167001100,tract,39.493094,-87.397179,Charter,Cable,30.0,4.0,34.88,34.95,30.42,35.01,4.59,4.63,2.04,4.75,32,0.05,1.13,333
11142,60710104283,blockgroup,34.14337,-116.379437,Charter,Cable,60.0,5.0,69.52,70.23,11.76,70.28,5.84,5.84,5.65,5.93,15,0.04,1.17,356
11223,8014031300,tract,39.968749,-105.037957,Charter,Cable,30.0,4.0,33.68,33.9,26.38,34.25,4.5,4.54,3.4,4.84,41,0.05,1.1,250
11316,29019001901,tract,39.122868,-92.392951,CenturyLink,DSL,10.0,0.75,9.19,9.43,3.8,9.75,0.72,0.72,0.59,0.77,35,0.48,1.46,300
11354,131350505601,blockgroup,33.980781,-84.061957,Charter,Cable,15.0,3.0,15.14,15.55,11.69,16.12,3.16,3.18,2.96,3.26,14,0.01,1.07,345
11382,130670304092,blockgroup,33.973001,-84.468521,Comcast,Cable,100.0,5.0,28.96,29.68,20.84,29.81,2.3,2.33,1.17,2.63,18,0.06,0.98,240
11457,51059480903,tract,38.958728,-77.394049,Verizon,Fiber,75.0,75.0,82.02,82.13,76.56,82.45,88.6,88.78,57.17,89.14,7,0.0,1.04,352
11494,13133950301,tract,33.431211,-83.217979,Windstream,DSL,15.0,1.5,16.47,16.53,15.98,16.56,1.34,1.34,1.3,1.39,15,0.0,0.93,11
11605,360470550001,blockgroup,40.609943,-73.952323,Optimum,Cable,100.0,35.0,113.76,114.53,72.61,116.06,36.19,36.31,28.78,36.56,15,0.08,0.97,254
11718,320030032491,blockgroup,36.189534,-115.328584,CenturyLink,DSL,20.0,2.0,21.34,21.66,10.42,21.85,2.03,2.05,1.05,2.2,32,0.07,2.01,268
11722,36091061102,tract,43.085374,-73.766054,Charter,Cable,20.0,2.0,22.0,23.24,9.09,23.41,2.33,2.33,1.96,2.39,34,0.01,2.06,245
11875,370810160083,blockgroup,36.144304,-79.926282,Charter,Cable,60.0,5.0,69.54,70.14,60.79,70.27,5.81,5.83,5.21,5.88,25,0.03,1.07,333
11880,36105951000,tract,41.700784,-74.600662,Verizon DSL,DSL,3.0,0.768,2.27,2.34,0.02,2.47,0.68,0.68,0.59,0.72,36,0.1,4.28,207
11932,490211107024,blockgroup,37.657514,-113.107006,CenturyLink,DSL,20.0,0.896,21.16,21.18,13.66,21.6,0.84,0.84,0.76,0.88,40,0.02,0.88,325
11955,191530104074,blockgroup,41.639063,-93.752356,Mediacom,Cable,60.0,5.0,78.16,79.55,3.88,80.08,6.29,5.79,5.42,11.22,18,0.07,1.12,314
11970,260650070005,blockgroup,42.708328,-84.571429,Comcast,Cable,100.0,5.0,96.73,99.46,47.48,114.62,5.8,5.93,1.09,5.99,20,0.06,0.99,354
12091,34023001415,tract,40.565087,-74.372034,Optimum,Cable,100.0,35.0,107.1,109.03,55.1,116.17,35.46,35.94,15.29,36.55,19,0.13,1.13,360
12302,391559334002,blockgroup,41.165185,-80.837591,Charter,Cable,20.0,2.0,22.76,23.22,10.62,23.41,2.32,2.33,1.56,2.39,32,0.01,2.8,306
12328,171990203001,blockgroup,37.789182,-89.042687,Frontier,DSL,3.0,0.768,1.24,1.24,0.62,1.47,0.35,0.36,0.17,0.38,38,0.18,8.19,308
12413,390351371031,blockgroup,41.427237,-81.733422,Charter,Cable,30.0,5.0,35.73,36.66,27.01,36.86,6.09,6.16,2.7,6.41,28,0.01,1.97,295
12416,17031803017,tract,42.121758,-88.000258,Comcast,Cable,25.0,3.0,28.24,29.35,15.78,29.81,3.4,3.49,0.67,3.84,15,0.02,1.05,194
12485,511076118031,blockgroup,38.900324,-77.515552,Verizon,Fiber,100.0,100.0,99.64,99.86,93.66,101.61,118.14,118.21,116.76,118.47,8,0.0,0.77,311
12532,510594913012,blockgroup,38.820256,-77.450558,Verizon,Fiber,100.0,100.0,99.19,99.79,94.35,100.15,118.42,118.68,111.59,118.76,12,0.01,0.78,113
12581,530330277011,blockgroup,47.49052,-122.462656,CenturyLink,DSL,10.0,0.768,8.04,8.0,3.91,8.43,0.64,0.66,0.21,0.82,23,0.02,1.38,343
12640,340350526041,blockgroup,40.683898,-74.584821,Verizon DSL,DSL,3.0,0.768,2.3,2.34,1.04,2.81,0.71,0.72,0.4,0.72,29,0.05,9.55,333
12757,250214421042,blockgroup,42.107931,-71.419674,Verizon,Fiber,75.0,75.0,80.45,81.52,21.49,82.82,87.76,88.57,72.52,89.05,16,0.02,1.61,305
12891,190130013011,blockgroup,42.466403,-92.345721,CenturyLink,DSL,40.0,5.0,46.44,46.43,46.25,46.75,4.72,4.74,4.46,4.74,25,0.01,0.88,336
12931,60590117071,blockgroup,33.900008,-117.876905,Charter,Cable,60.0,5.0,68.72,70.18,2.97,70.28,5.84,5.84,5.44,5.92,11,0.06,0.99,234
