   ,CATEGORY,STATENAME,COUNT,
100,AUTOMOTIVE SERVICES,WEST VIRGINIA,"3,686",
101,AUTOMOTIVE SERVICES,WISCONSIN,"11,707",
102,AUTOMOTIVE SERVICES,WYOMING,"1,736",
103,AUTOMOTIVE SERVICES,,1,
104,BANKS - FINANCIAL,ALABAMA,"17,732",
105,BANKS - FINANCIAL,ALASKA,"1,929",
106,BANKS - FINANCIAL,ARIZONA,"18,906",
107,BANKS - FINANCIAL,ARKANSAS,"9,849",
108,BANKS - FINANCIAL,CALIFORNIA,"125,955",
109,BANKS - FINANCIAL,COLORADO,"21,101",
110,BANKS - FINANCIAL,CONNECTICUT,"14,122",
111,BANKS - FINANCIAL,DELAWARE,"3,547",
112,BANKS - FINANCIAL,DISTRICT OF COLUMBIA,"3,342",
113,BANKS - FINANCIAL,FLORIDA,"81,058",
114,BANKS - FINANCIAL,GEORGIA,"36,969",
115,BANKS - FINANCIAL,HAWAII,"5,164",
116,BANKS - FINANCIAL,IDAHO,"5,910",
117,BANKS - FINANCIAL,ILLINOIS,"57,388",
118,BANKS - FINANCIAL,INDIANA,"23,237",
119,BANKS - FINANCIAL,IOWA,"12,609",
120,BANKS - FINANCIAL,KANSAS,"12,811",
121,BANKS - FINANCIAL,KENTUCKY,"14,486",
122,BANKS - FINANCIAL,LOUISIANA,"18,619",
123,BANKS - FINANCIAL,MAINE,"4,546",
124,BANKS - FINANCIAL,MARYLAND,"22,311",
125,BANKS - FINANCIAL,MASSACHUSETTS,"27,536",
126,BANKS - FINANCIAL,MICHIGAN,"36,438",
127,BANKS - FINANCIAL,MINNESOTA,"24,329",
128,BANKS - FINANCIAL,MISSISSIPPI,"12,022",
129,BANKS - FINANCIAL,MISSOURI,"25,490",
130,BANKS - FINANCIAL,MONTANA,"5,382",
131,BANKS - FINANCIAL,NEBRASKA,"8,382",
132,BANKS - FINANCIAL,NEVADA,"9,919",
133,BANKS - FINANCIAL,NEW HAMPSHIRE,"5,195",
134,BANKS - FINANCIAL,NEW JERSEY,"34,513",
135,BANKS - FINANCIAL,NEW MEXICO,"6,043",
136,BANKS - FINANCIAL,NEW YORK,"72,020",
137,BANKS - FINANCIAL,NORTH CAROLINA,"33,000",
138,BANKS - FINANCIAL,NORTH DAKOTA,"3,871",
139,BANKS - FINANCIAL,OHIO,"39,916",
140,BANKS - FINANCIAL,OKLAHOMA,"13,463",
141,BANKS - FINANCIAL,OREGON,"15,424",
142,BANKS - FINANCIAL,PENNSYLVANIA,"52,758",
143,BANKS - FINANCIAL,RHODE ISLAND,"3,970",
144,BANKS - FINANCIAL,SOUTH CAROLINA,"18,187",
145,BANKS - FINANCIAL,SOUTH DAKOTA,"5,046",
146,BANKS - FINANCIAL,TENNESSEE,"24,496",
147,BANKS - FINANCIAL,TEXAS,"92,491",
148,BANKS - FINANCIAL,UTAH,"8,567",
149,BANKS - FINANCIAL,VERMONT,"2,405",
150,BANKS - FINANCIAL,VIRGINIA,"28,424",
151,BANKS - FINANCIAL,WASHINGTON,"24,635",
152,BANKS - FINANCIAL,WEST VIRGINIA,"6,186",
153,BANKS - FINANCIAL,WISCONSIN,"25,071",
154,BANKS - FINANCIAL,WYOMING,"2,544",
155,EATING - DRINKING,ALABAMA,"17,663",
156,EATING - DRINKING,ALASKA,"2,268",
157,EATING - DRINKING,ARIZONA,"19,512",
158,EATING - DRINKING,ARKANSAS,"10,681",
159,EATING - DRINKING,CALIFORNIA,"141,077",
160,EATING - DRINKING,COLORADO,"19,890",
161,EATING - DRINKING,CONNECTICUT,"14,536",
162,EATING - DRINKING,DELAWARE,"3,522",
163,EATING - DRINKING,DISTRICT OF COLUMBIA,"3,930",
164,EATING - DRINKING,FLORIDA,"80,015",
165,EATING - DRINKING,GEORGIA,"39,623",
166,EATING - DRINKING,HAWAII,"6,868",
167,EATING - DRINKING,IDAHO,"5,599",
168,EATING - DRINKING,ILLINOIS,"53,742",
169,EATING - DRINKING,INDIANA,"22,283",
170,EATING - DRINKING,IOWA,"12,332",
171,EATING - DRINKING,KANSAS,"10,984",
172,EATING - DRINKING,KENTUCKY,"15,030",
173,EATING - DRINKING,LOUISIANA,"20,044",
174,EATING - DRINKING,MAINE,"5,363",
175,EATING - DRINKING,MARYLAND,"21,284",
176,EATING - DRINKING,MASSACHUSETTS,"28,337",
177,EATING - DRINKING,MICHIGAN,"32,162",
178,EATING - DRINKING,MINNESOTA,"19,257",
179,EATING - DRINKING,MISSISSIPPI,"11,967",
180,EATING - DRINKING,MISSOURI,"22,049",
181,EATING - DRINKING,MONTANA,"4,696",
182,EATING - DRINKING,NEBRASKA,"7,561",
183,EATING - DRINKING,NEVADA,"10,252",
184,EATING - DRINKING,NEW HAMPSHIRE,"5,216",
185,EATING - DRINKING,NEW JERSEY,"40,148",
186,EATING - DRINKING,NEW MEXICO,"6,472",
187,EATING - DRINKING,NEW YORK,"84,185",
188,EATING - DRINKING,NORTH CAROLINA,"36,659",
189,EATING - DRINKING,NORTH DAKOTA,"3,033",
190,EATING - DRINKING,OHIO,"38,886",
191,EATING - DRINKING,OKLAHOMA,"13,707",
192,EATING - DRINKING,OREGON,"17,467",
193,EATING - DRINKING,PENNSYLVANIA,"55,140",
194,EATING - DRINKING,RHODE ISLAND,"4,925",
195,EATING - DRINKING,SOUTH CAROLINA,"19,856",
196,EATING - DRINKING,SOUTH DAKOTA,"3,847",
197,EATING - DRINKING,TENNESSEE,"26,808",
198,EATING - DRINKING,TEXAS,"98,933",
199,EATING - DRINKING,UTAH,"8,804",
200,EATING - DRINKING,VERMONT,"2,445",
201,EATING - DRINKING,VIRGINIA,"29,642",
202,EATING - DRINKING,WASHINGTON,"29,465",
203,EATING - DRINKING,WEST VIRGINIA,"5,813",
204,EATING - DRINKING,WISCONSIN,"20,842",
205,EATING - DRINKING,WYOMING,"2,274",
206,EDUCATION,ALABAMA,"4,531",
207,EDUCATION,ALASKA,941,
208,EDUCATION,ARIZONA,"5,542",
209,EDUCATION,ARKANSAS,"3,113",
210,EDUCATION,CALIFORNIA,"36,734",
211,EDUCATION,COLORADO,"5,680",
212,EDUCATION,CONNECTICUT,"3,954",
213,EDUCATION,DELAWARE,917,
214,EDUCATION,DISTRICT OF COLUMBIA,"1,496",
215,EDUCATION,FLORIDA,"18,758",
216,EDUCATION,GEORGIA,"9,755",
217,EDUCATION,HAWAII,"1,572",
218,EDUCATION,IDAHO,"1,869",
219,EDUCATION,ILLINOIS,"16,977",
220,EDUCATION,INDIANA,"7,094",
221,EDUCATION,IOWA,"4,025",
222,EDUCATION,KANSAS,"4,252",
223,EDUCATION,KENTUCKY,"4,577",
224,EDUCATION,LOUISIANA,"5,251",
225,EDUCATION,MAINE,"1,467",
226,EDUCATION,MARYLAND,"5,945",
227,EDUCATION,MASSACHUSETTS,"8,553",
228,EDUCATION,MICHIGAN,"11,352",
229,EDUCATION,MINNESOTA,"6,204",
230,EDUCATION,MISSISSIPPI,"3,347",
231,EDUCATION,MISSOURI,"7,148",
232,EDUCATION,MONTANA,"1,521",
233,EDUCATION,NEBRASKA,"2,491",
234,EDUCATION,NEVADA,"1,872",
235,EDUCATION,NEW HAMPSHIRE,"1,746",
